Tanggal,Open,High,Low,Close,Volume
,BUMI.JK,BUMI.JK,BUMI.JK,BUMI.JK,BUMI.JK
2018-10-09,200.0,208.0,196.0,200.0,184584700
2018-10-10,202.0,204.0,199.0,200.0,134887400
2018-10-11,197.0,197.0,188.0,188.0,313094100
2018-10-12,190.0,192.0,188.0,190.0,127967600
2018-10-15,191.0,193.0,177.0,178.0,403244100
2018-10-16,180.0,183.0,178.0,179.0,162345700
2018-10-17,181.0,190.0,181.0,182.0,316954100
2018-10-18,183.0,184.0,176.0,177.0,197461700
2018-10-19,177.0,181.0,176.0,177.0,105658800
2018-10-22,178.0,179.0,174.0,174.0,75732000
2018-10-23,175.0,175.0,170.0,170.0,161644200
2018-10-24,170.0,174.0,170.0,173.0,178806600
2018-10-25,170.0,173.0,168.0,172.0,100567900
2018-10-26,172.0,177.0,172.0,172.0,159507300
2018-10-29,172.0,173.0,165.0,167.0,101725200
2018-10-30,166.0,167.0,162.0,164.0,114676000
2018-10-31,165.0,171.0,164.0,169.0,145131500
2018-11-01,169.0,171.0,167.0,167.0,70492500
2018-11-02,167.0,169.0,165.0,165.0,79813600
2018-11-05,165.0,169.0,164.0,165.0,76428200
2018-11-06,164.0,168.0,164.0,166.0,62965500
2018-11-07,168.0,173.0,166.0,169.0,192746300
2018-11-08,170.0,191.0,170.0,190.0,631082700
2018-11-09,189.0,191.0,180.0,182.0,432863400
2018-11-12,183.0,185.0,179.0,180.0,115766700
2018-11-13,177.0,180.0,172.0,175.0,134323800
2018-11-14,177.0,179.0,166.0,166.0,258979800
2018-11-15,166.0,168.0,163.0,166.0,112459300
2018-11-16,168.0,180.0,166.0,171.0,287889200
2018-11-19,172.0,173.0,164.0,164.0,157636100
2018-11-20,164.0,164.0,164.0,164.0,0
2018-11-21,164.0,165.0,150.0,154.0,311727800
2018-11-22,163.0,163.0,152.0,153.0,234497200
2018-11-23,154.0,155.0,151.0,151.0,157285800
2018-11-26,151.0,152.0,135.0,135.0,364252400
2018-11-27,140.0,140.0,130.0,130.0,166173400
2018-11-28,135.0,135.0,125.0,126.0,190877800
2018-11-29,130.0,133.0,128.0,129.0,142524000
