Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,173,202,187,14.69,32
Resistance,241,286,263,22.62,19
Resistance,329,365,347,17.93,23
Resistance,421,485,453,32.16,16
Resistance,537,577,557,20.04,21
Resistance,597,652,624,27.76,21
Resistance,708,768,738,30.03,12
Resistance,812,885,848,36.42,6
Resistance,940,1015,978,37.08,4
Resistance,1180,1366,1273,92.92,3
Support,90,92,91,1.41,2
Support,100,101,100,0.58,3
Support,108,110,109,1.41,2
Support,115,115,115,0.0,1
Support,123,129,126,2.9,10
Support,133,136,134,1.48,5
Support,139,146,142,3.03,12
Support,152,156,154,1.84,11
Support,160,160,160,0.0,2
Support,165,169,167,1.55,6
