Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,602,618,610,7.75,11
Resistance,631,643,637,6.32,10
Resistance,665,684,674,9.5,9
Resistance,706,732,719,12.77,13
Resistance,769,776,772,3.54,2
Resistance,831,861,846,15.17,5
Resistance,917,966,942,24.66,3
Resistance,1037,1086,1062,24.66,3
Resistance,1100,1143,1121,21.75,4
Resistance,1291,1323,1307,16.07,3
Support,210,241,226,15.67,6
Support,259,293,276,16.97,2
Support,370,393,382,11.41,12
Support,416,432,424,7.87,5
Support,444,457,450,6.47,7
Support,467,481,474,6.92,10
Support,492,503,497,5.85,16
Support,514,525,519,5.77,27
Support,538,554,546,7.79,16
Support,571,586,578,7.47,13
