Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,25620,25780,25700,80.36,7
Resistance,27405,28245,27825,420.09,12
Resistance,28534,29276,28905,370.77,10
Resistance,29564,30892,30228,663.79,8
Resistance,33138,34122,33630,491.85,10
Resistance,35715,36868,36292,576.22,9
Resistance,38097,38975,38536,438.77,9
Resistance,39908,40667,40288,379.72,6
Resistance,41208,42225,41717,508.49,12
Resistance,43763,45137,44450,686.72,12
Support,6520,7512,7016,496.1,12
Support,7703,8214,7958,255.47,23
Support,9860,10573,10217,356.6,6
Support,11520,12322,11921,400.89,19
Support,13290,14369,13829,539.34,12
Support,15439,17106,16272,833.71,9
Support,19275,20566,19920,645.45,16
Support,21753,22922,22338,584.17,8
Support,23206,23894,23550,343.69,7
Support,24570,25125,24847,277.39,9
