Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2617,2753,2685,67.61,8
Resistance,2876,2975,2926,49.61,18
Resistance,3062,3140,3101,38.72,12
Resistance,3207,3277,3242,34.58,10
Resistance,3373,3463,3418,45.5,5
Resistance,3684,3854,3769,85.36,9
Resistance,3957,4013,3985,27.77,8
Resistance,4100,4224,4162,62.21,5
Support,576,809,692,116.67,2
Support,889,1015,952,62.6,13
Support,1099,1184,1141,42.49,39
Support,1247,1375,1311,63.71,29
Support,1539,1675,1607,68.24,10
Support,1824,2005,1914,90.34,7
Support,2133,2220,2176,43.65,11
Support,2346,2505,2425,79.12,13
