Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1455,1460,1457,2.89,4
Resistance,1467,1477,1472,5.0,9
Resistance,1484,1500,1492,7.95,9
Resistance,1526,1539,1532,6.45,4
Resistance,1554,1561,1558,3.54,2
Resistance,1577,1598,1588,10.61,2
Resistance,1615,1635,1625,10.0,3
Resistance,1646,1674,1660,14.14,2
Support,306,377,341,35.94,9
Support,464,546,505,40.73,36
Support,600,659,630,29.51,37
Support,723,816,770,46.61,22
Support,862,969,915,53.56,12
Support,1086,1202,1144,57.99,15
Support,1286,1352,1319,33.31,29
Support,1396,1437,1416,20.42,18
