Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,383,414,399,15.52,20
Resistance,430,449,440,9.79,9
Resistance,461,477,469,7.73,10
Resistance,492,513,502,10.45,14
Resistance,523,558,541,17.42,7
Resistance,607,639,623,16.14,13
Resistance,662,681,671,9.46,4
Resistance,744,751,748,3.54,2
Support,137,152,144,7.13,5
Support,176,188,182,6.17,39
Support,207,224,216,8.56,12
Support,230,236,233,3.24,7
Support,248,256,252,3.67,17
Support,265,275,270,4.6,18
Support,295,309,302,6.86,6
Support,345,358,352,6.54,5
