Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1126,1206,1166,39.91,22
Resistance,1296,1374,1335,38.67,22
Resistance,1406,1461,1434,27.63,30
Resistance,1520,1587,1554,33.52,33
Resistance,1641,1734,1688,46.02,14
Resistance,1810,1870,1840,29.98,21
Resistance,1900,1977,1939,38.32,12
Resistance,2112,2243,2178,65.51,4
Support,605,605,605,0.0,1
Support,706,734,720,14.14,2
Support,786,828,807,21.1,5
Support,899,906,902,3.54,2
Support,949,967,958,9.08,5
Support,995,1015,1005,10.31,9
Support,1034,1050,1042,7.99,8
Support,1071,1089,1080,8.66,3
