Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,719,734,727,7.53,6
Resistance,747,772,759,12.42,6
Resistance,783,832,808,24.75,2
Resistance,870,870,870,0.0,2
Resistance,940,940,940,0.0,1
Resistance,990,1010,1000,10.0,3
Resistance,1030,1064,1047,17.18,5
Resistance,1200,1200,1200,0.0,1
Support,207,228,218,10.71,5
Support,274,305,290,15.55,19
Support,333,356,344,11.63,31
Support,368,386,377,9.09,27
Support,424,454,439,15.02,19
Support,469,511,490,21.01,16
Support,613,640,626,13.76,7
Support,663,690,677,13.23,9
