Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,393,399,396,3.07,9
Resistance,409,417,413,4.15,5
Resistance,420,423,422,1.51,6
Resistance,426,428,427,1.15,4
Resistance,433,438,436,2.61,5
Resistance,460,460,460,0.0,1
Resistance,476,476,476,0.0,1
Resistance,505,505,505,0.0,1
Resistance,525,525,525,0.0,1
Support,124,143,134,9.32,4
Support,175,198,186,11.3,10
Support,201,219,210,8.76,18
Support,236,253,245,8.3,11
Support,266,276,271,5.12,14
Support,281,291,286,4.81,16
Support,299,310,305,5.45,32
Support,317,336,327,9.65,17
Support,363,383,373,9.98,15
