Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,188,286,237,48.7,30
Resistance,860,999,930,69.38,22
Resistance,1210,1384,1297,86.85,20
Resistance,1473,1663,1568,94.99,32
Resistance,1759,2105,1932,172.8,23
Resistance,2562,3094,2828,265.84,5
Resistance,3572,3727,3649,77.4,12
Resistance,3966,4374,4170,204.06,6
Resistance,7070,7105,7087,17.68,2
Support,105,105,105,0.0,1
Support,124,124,124,0.0,1
Support,130,130,130,0.0,1
Support,133,133,133,0.0,1
Support,135,135,135,0.0,1
Support,145,145,145,0.0,1
Support,157,157,157,0.0,2
Support,160,160,160,0.0,2
Support,165,165,165,0.0,1
