Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,7845,8059,7952,107.1,15
Resistance,8226,8469,8347,121.48,17
Resistance,8606,8828,8717,110.89,23
Resistance,9047,9196,9122,74.32,15
Resistance,9333,9484,9408,75.4,15
Resistance,9736,10030,9883,146.84,9
Resistance,10267,10513,10390,123.24,5
Resistance,10779,11026,10902,123.72,11
Resistance,11571,11796,11683,112.73,3
Support,3020,3020,3020,0.0,1
Support,3749,4094,3922,172.21,6
Support,4215,4433,4324,109.26,10
Support,4650,5053,4852,201.4,11
Support,5949,6101,6025,76.38,7
Support,6178,6347,6262,84.78,6
Support,6597,6776,6687,89.34,13
Support,6912,7135,7023,111.55,13
Support,7316,7593,7455,138.37,22
