Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,351,364,358,6.2,12,358.0,0.0407,344.0,236.7,1
Resistance,373,386,379,6.34,20,379.0,0.1017,344.0,178.98,2
Resistance,396,402,399,3.43,10,399.0,0.1599,344.0,58.86,3
Resistance,407,417,412,4.98,11,412.0,0.1977,344.0,52.97,4
Resistance,428,442,435,7.15,12,435.0,0.2645,344.0,43.71,5
Resistance,452,472,462,10.28,10,462.0,0.343,344.0,28.33,6
Resistance,583,615,599,15.57,5,599.0,0.7413,344.0,6.66,7
Resistance,545,545,545,0.0,2,545.0,0.5843,344.0,3.37,8
Resistance,510,510,510,0.0,1,510.0,0.4826,344.0,2.03,9
Resistance,645,645,645,0.0,1,645.0,0.875,344.0,1.13,10
Support,338,343,341,2.5,10,341.0,0.0087,344.0,534.16,1
Support,317,328,322,5.1,8,322.0,0.064,344.0,108.18,2
Support,282,292,287,5.3,17,287.0,0.1657,344.0,96.76,3
Support,301,309,305,4.22,11,305.0,0.1134,344.0,89.16,4
Support,256,271,263,7.38,14,263.0,0.2355,344.0,57.03,5
Support,226,241,234,7.52,8,234.0,0.3198,344.0,24.26,6
Support,120,132,126,6.03,13,126.0,0.6337,344.0,20.2,7
Support,202,211,206,4.77,5,206.0,0.4012,344.0,12.16,8
Support,152,154,153,1.41,2,153.0,0.5552,344.0,3.54,9
Support,81,86,84,2.12,2,84.0,0.7558,344.0,2.61,10
