Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,785,807,796,10.94,21,796.0,0.0338,770.0,479.82,1
Resistance,857,876,866,9.37,21,866.0,0.1247,770.0,155.93,2
Resistance,821,835,828,6.96,13,828.0,0.0753,770.0,152.36,3
Resistance,895,924,910,14.57,11,910.0,0.1818,770.0,57.35,4
Resistance,985,1018,1001,16.52,4,1001.0,0.3,770.0,12.9,5
Resistance,1780,1860,1820,39.53,5,1820.0,1.3636,770.0,3.64,6
Resistance,1405,1405,1405,0.0,2,1405.0,0.8247,770.0,2.4,7
Resistance,1135,1135,1135,0.0,1,1135.0,0.474,770.0,2.07,8
Resistance,1500,1500,1500,0.0,1,1500.0,0.9481,770.0,1.04,9
Resistance,1605,1605,1605,0.0,1,1605.0,1.0844,770.0,0.91,10
Support,749,761,755,6.4,12,755.0,0.0195,770.0,407.05,1
Support,724,741,732,8.45,8,732.0,0.0494,770.0,134.79,2
Support,616,644,630,14.07,14,630.0,0.1818,770.0,72.99,3
Support,650,671,660,10.39,10,660.0,0.1429,770.0,65.42,4
Support,691,711,701,10.21,6,701.0,0.0896,770.0,60.23,5
Support,369,384,377,7.65,17,377.0,0.5104,770.0,32.67,6
Support,484,504,494,9.91,6,494.0,0.3584,770.0,16.28,7
Support,430,461,445,15.09,7,445.0,0.4221,770.0,16.2,8
Support,524,571,548,23.98,4,548.0,0.2883,770.0,13.41,9
Support,320,333,326,6.61,4,326.0,0.5766,770.0,6.82,10
