Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,405,417,411,5.76,5,411.0,0.0648,386.0,66.87,1
Resistance,388,388,388,0.0,1,388.0,0.0052,386.0,65.87,2
Resistance,432,434,433,1.15,3,433.0,0.1218,386.0,22.77,3
Resistance,480,506,493,12.53,3,493.0,0.2772,386.0,10.45,4
Resistance,543,554,548,5.77,3,548.0,0.4197,386.0,6.98,5
Resistance,561,576,568,7.64,3,568.0,0.4715,386.0,6.23,6
Resistance,590,596,593,2.89,3,593.0,0.5363,386.0,5.49,7
Resistance,530,530,530,0.0,1,530.0,0.3731,386.0,2.61,8
Resistance,625,625,625,0.0,1,625.0,0.6192,386.0,1.59,9
Resistance,665,665,665,0.0,1,665.0,0.7228,386.0,1.36,10
Support,344,376,360,15.8,6,360.0,0.0674,386.0,77.56,1
Support,87,96,91,4.64,52,91.0,0.7642,386.0,67.16,2
Support,306,322,314,8.16,12,314.0,0.1865,386.0,61.06,3
Support,245,269,257,11.97,16,257.0,0.3342,386.0,46.49,4
Support,282,295,288,6.44,11,288.0,0.2539,386.0,41.68,5
Support,154,168,161,6.69,24,161.0,0.5829,386.0,40.48,6
Support,178,197,187,9.6,20,187.0,0.5155,386.0,38.06,7
Support,109,119,114,4.81,16,114.0,0.7047,386.0,22.39,8
Support,125,140,133,7.09,9,133.0,0.6554,386.0,13.52,9
Support,59,72,66,6.42,5,66.0,0.829,386.0,5.96,10
