Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,65,69,67,2.36,8,67.0,0.0806,62.0,88.26,1
Resistance,73,76,74,1.68,11,74.0,0.1935,62.0,54.04,2
Resistance,78,81,79,1.34,12,79.0,0.2742,62.0,42.22,3
Resistance,84,88,86,2.35,5,86.0,0.3871,62.0,12.59,4
Resistance,91,98,94,3.54,2,94.0,0.5161,62.0,3.8,5
Support,59,60,59,0.58,3,59.0,0.0484,62.0,51.38,1
Support,50,51,51,0.53,7,51.0,0.1774,62.0,37.35,2
Support,56,57,57,0.58,3,57.0,0.0806,62.0,33.1,3
Support,52,53,53,0.45,5,53.0,0.1452,62.0,32.22,4
Support,55,55,55,0.0,3,55.0,0.1129,62.0,24.41,5
