Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,153,168,161,7.36,43,161.0,0.1838,136.0,221.85,1
Resistance,175,185,180,5.06,23,180.0,0.3235,136.0,68.96,2
Resistance,246,274,260,14.31,26,260.0,0.9118,136.0,28.21,3
Resistance,304,337,321,16.41,38,321.0,1.3603,136.0,27.73,4
Resistance,378,434,406,27.76,4,406.0,1.9853,136.0,2.0,5
Support,125,134,130,4.22,5,130.0,0.0441,136.0,92.39,1
Support,110,116,113,3.14,10,113.0,0.1691,136.0,55.83,2
Support,95,102,99,3.5,10,99.0,0.2721,136.0,35.45,3
Support,82,89,86,3.67,9,86.0,0.3676,136.0,23.83,4
Support,58,74,66,7.76,5,66.0,0.5147,136.0,9.53,5
