Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1490,1610,1550,60.12,29,1550.0,0.069,1450.0,367.25,1
Resistance,1747,1944,1845,98.23,26,1845.0,0.2724,1450.0,92.06,2
Resistance,2091,2313,2202,111.31,30,2202.0,0.5186,1450.0,56.75,3
Resistance,2895,3185,3040,145.04,29,3040.0,1.0966,1450.0,26.21,4
Resistance,2503,2752,2628,124.66,21,2628.0,0.8124,1450.0,25.53,5
Support,1361,1431,1396,35.06,15,1396.0,0.0372,1450.0,317.52,1
Support,1228,1317,1273,44.3,19,1273.0,0.1221,1450.0,143.86,2
Support,901,1004,952,51.84,17,952.0,0.3434,1450.0,48.1,3
Support,565,740,652,87.18,14,652.0,0.5503,1450.0,24.98,4
Support,803,891,847,43.89,6,847.0,0.4159,1450.0,14.09,5
