Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,60,64,62,1.86,14,62.0,0.0877,57.0,143.27,1
Resistance,66,71,69,2.16,21,69.0,0.2105,57.0,95.23,2
Resistance,77,81,79,1.6,8,79.0,0.386,57.0,20.2,3
Resistance,87,94,91,3.37,10,91.0,0.5965,57.0,16.49,4
Resistance,103,122,112,9.36,12,112.0,0.9649,57.0,12.31,5
Support,56,56,56,0.0,2,56.0,0.0175,57.0,72.61,1
Support,50,50,50,0.33,9,50.0,0.1228,57.0,67.77,2
Support,53,53,53,0.0,3,53.0,0.0702,57.0,37.42,3
Support,55,55,55,0.0,1,55.0,0.0351,57.0,22.18,4
Support,52,52,52,0.0,2,52.0,0.0877,57.0,20.47,5
