Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,562,580,571,8.84,2,571.0,0.0196,560.0,67.47,1
Resistance,600,600,600,0.0,1,600.0,0.0714,560.0,12.28,2
Resistance,618,618,618,0.0,1,618.0,0.1036,560.0,8.81,3
Resistance,650,650,650,0.0,1,650.0,0.1607,560.0,5.86,4
Resistance,765,765,765,0.0,1,765.0,0.3661,560.0,2.66,5
Support,450,523,486,36.38,13,486.0,0.1321,560.0,91.46,1
Support,258,298,278,19.78,43,278.0,0.5036,560.0,83.73,2
Support,181,219,200,18.58,50,200.0,0.6429,560.0,76.59,3
Support,348,404,376,27.7,21,376.0,0.3286,560.0,62.03,4
Support,120,165,142,22.62,28,142.0,0.7464,560.0,37.02,5
