Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,392,401,397,4.34,10,397.0,0.0179,390.0,357.8,1
Resistance,416,426,421,4.87,14,421.0,0.0795,390.0,156.45,2
Resistance,433,438,436,2.61,5,436.0,0.1179,390.0,39.08,3
Resistance,457,479,468,11.31,2,468.0,0.2,390.0,9.52,4
Resistance,505,505,505,0.0,1,505.0,0.2949,390.0,3.28,5
Resistance,525,525,525,0.0,1,525.0,0.3462,390.0,2.81,6
Support,363,383,373,9.98,15,373.0,0.0436,390.0,279.9,1
Support,304,328,316,11.73,39,316.0,0.1897,390.0,195.25,2
Support,273,296,284,11.06,39,284.0,0.2718,390.0,138.4,3
Support,192,212,202,9.97,23,202.0,0.4821,390.0,46.74,4
Support,229,253,241,12.11,15,241.0,0.3821,390.0,38.26,5
Support,126,164,145,18.89,6,145.0,0.6282,390.0,9.4,6
