Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,202,216,209,7.24,57,209.0,0.0718,195.0,696.87,1
Resistance,226,240,233,6.69,33,233.0,0.1949,195.0,161.08,2
Resistance,245,259,252,6.81,17,252.0,0.2923,195.0,56.23,3
Resistance,301,324,312,11.12,12,312.0,0.6,195.0,19.67,4
Resistance,266,280,273,7.09,8,273.0,0.4,195.0,19.51,5
Resistance,335,367,351,16.36,11,351.0,0.8,195.0,13.58,6
Support,187,192,189,2.47,15,189.0,0.0308,195.0,367.92,1
Support,181,183,182,1.36,8,182.0,0.0667,195.0,104.35,2
Support,159,161,160,1.04,13,160.0,0.1795,195.0,68.61,3
Support,175,179,177,1.89,4,177.0,0.0923,195.0,39.1,4
Support,165,168,166,1.37,6,166.0,0.1487,195.0,37.8,5
Support,154,155,155,0.71,2,155.0,0.2051,195.0,9.3,6
