Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,88,99,93,5.24,6,93.0,0.0941,85.0,57.63,1
Resistance,115,124,120,4.81,12,120.0,0.4118,85.0,28.45,2
Resistance,132,139,136,3.57,13,136.0,0.6,85.0,21.31,3
Resistance,147,159,153,6.25,10,153.0,0.8,85.0,12.35,4
Resistance,186,196,191,5.17,9,191.0,1.2471,85.0,7.16,5
Resistance,170,178,174,4.0,5,174.0,1.0471,85.0,4.73,6
Resistance,215,251,233,18.38,2,233.0,1.7412,85.0,1.14,7
Support,67,70,68,1.19,8,68.0,0.2,85.0,38.1,1
Support,62,65,64,1.3,8,64.0,0.2471,85.0,31.12,2
Support,58,60,59,1.07,7,59.0,0.3059,85.0,22.16,3
Support,73,74,74,0.58,3,74.0,0.1294,85.0,21.52,4
Support,50,53,51,1.38,6,51.0,0.4,85.0,14.63,5
Support,80,80,80,0.0,1,80.0,0.0588,85.0,14.53,6
Support,55,56,56,0.55,5,56.0,0.3412,85.0,14.24,7
