Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1130,1241,1186,55.26,27,1186.0,0.0782,1100.0,306.19,1
Resistance,1355,1430,1392,37.59,40,1392.0,0.2655,1100.0,145.21,2
Resistance,1496,1568,1532,35.86,36,1532.0,0.3927,1100.0,89.39,3
Resistance,1621,1722,1672,50.53,18,1672.0,0.52,1100.0,33.96,4
Resistance,1810,1870,1840,29.98,21,1840.0,0.6727,1100.0,30.76,5
Resistance,1900,1977,1939,38.32,12,1939.0,0.7627,1100.0,15.53,6
Resistance,2112,2243,2178,65.51,4,2178.0,0.98,1100.0,4.04,7
Support,1010,1043,1027,16.38,13,1027.0,0.0664,1100.0,170.24,1
Support,1059,1088,1074,14.36,4,1074.0,0.0236,1100.0,118.92,2
Support,952,991,971,19.59,8,971.0,0.1173,1100.0,62.86,3
Support,786,828,807,21.1,5,807.0,0.2664,1100.0,18.09,4
Support,899,906,902,3.54,2,902.0,0.18,1100.0,10.53,5
Support,706,734,720,14.14,2,720.0,0.3455,1100.0,5.63,6
Support,605,605,605,0.0,1,605.0,0.45,1100.0,2.17,7
