Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,352,418,385,33.02,42,385.0,0.2419,310.0,166.71,1
Resistance,486,563,524,38.22,42,524.0,0.6903,310.0,59.97,2
Resistance,636,735,685,49.66,18,685.0,1.2097,310.0,14.76,3
Resistance,838,919,878,40.66,17,878.0,1.8323,310.0,9.23,4
Resistance,1114,1258,1186,72.43,19,1186.0,2.8258,310.0,6.7,5
Resistance,1358,1532,1445,86.72,6,1445.0,3.6613,310.0,1.63,6
Resistance,1620,1840,1730,110.08,4,1730.0,4.5806,310.0,0.87,7
Support,300,300,300,0.0,2,300.0,0.0323,310.0,47.33,1
Support,246,246,246,0.0,2,246.0,0.2065,310.0,9.24,2
Support,258,258,258,0.0,1,258.0,0.1677,310.0,5.63,3
Support,256,256,256,0.0,1,256.0,0.1742,310.0,5.43,4
Support,242,242,242,0.0,1,242.0,0.2194,310.0,4.36,5
Support,230,230,230,0.0,1,230.0,0.2581,310.0,3.73,6
Support,216,216,216,0.0,1,216.0,0.3032,310.0,3.19,7
