Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,173,222,198,24.71,39,198.0,0.1716,169.0,214.76,1
Resistance,288,356,322,34.41,34,322.0,0.9053,169.0,37.15,2
Resistance,415,484,449,34.68,17,449.0,1.6568,169.0,10.2,3
Resistance,537,577,557,20.04,21,557.0,2.2959,169.0,9.11,4
Resistance,597,652,624,27.76,21,624.0,2.6923,169.0,7.77,5
Resistance,711,797,754,43.06,15,754.0,3.4615,169.0,4.32,6
Resistance,875,995,935,60.14,7,935.0,4.5325,169.0,1.54,7
Resistance,1180,1366,1273,92.92,3,1273.0,6.5325,169.0,0.46,8
Support,165,169,167,1.55,6,167.0,0.0118,169.0,274.8,1
Support,152,158,155,2.81,13,155.0,0.0828,169.0,140.03,2
Support,139,146,142,3.03,12,142.0,0.1598,169.0,70.69,3
Support,123,129,126,2.9,10,126.0,0.2544,169.0,37.82,4
Support,133,136,134,1.48,5,134.0,0.2071,169.0,23.03,5
Support,107,115,111,3.61,3,111.0,0.3432,169.0,8.49,6
Support,100,101,100,0.58,3,100.0,0.4083,169.0,7.17,7
Support,90,92,91,1.41,2,91.0,0.4615,169.0,4.24,8
