Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,115,125,120,4.93,16,120.0,0.1881,101.0,80.76,1
Resistance,107,114,110,3.45,8,110.0,0.0891,101.0,80.72,2
Resistance,152,159,155,3.2,14,155.0,0.5347,101.0,25.7,3
Resistance,138,148,143,5.11,8,143.0,0.4158,101.0,18.79,4
Resistance,181,186,184,2.57,10,184.0,0.8218,101.0,12.02,5
Resistance,162,169,165,3.27,6,165.0,0.6337,101.0,9.32,6
Resistance,191,201,196,5.0,5,196.0,0.9406,101.0,5.26,7
Resistance,234,234,234,0.0,1,234.0,1.3168,101.0,0.75,8
Support,99,99,99,0.0,1,99.0,0.0198,101.0,33.55,1
Support,86,86,86,0.0,1,86.0,0.1485,101.0,6.31,2
Support,84,84,84,0.0,1,84.0,0.1683,101.0,5.61,3
Support,83,83,83,0.0,1,83.0,0.1782,101.0,5.31,4
Support,81,81,81,0.0,1,81.0,0.198,101.0,4.81,5
Support,79,79,79,0.0,1,79.0,0.2178,101.0,4.39,6
Support,76,76,76,0.0,1,76.0,0.2475,101.0,3.88,7
Support,51,51,51,0.0,1,51.0,0.495,101.0,1.98,8
