Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,125,165,145,19.92,48,145.0,0.2719,114.0,170.26,1
Resistance,205,243,224,18.86,37,224.0,0.9649,114.0,37.95,2
Resistance,285,336,311,25.25,20,311.0,1.7281,114.0,11.51,3
Resistance,469,512,491,21.16,20,491.0,3.307,114.0,6.03,4
Resistance,530,578,554,24.06,17,554.0,3.8596,114.0,4.39,5
Resistance,372,419,395,23.55,10,395.0,2.4649,114.0,4.04,6
Resistance,669,792,730,61.39,13,730.0,5.4035,114.0,2.4,7
Resistance,1217,1508,1362,145.75,4,1362.0,10.9474,114.0,0.37,8
Support,110,113,112,1.24,9,112.0,0.0175,114.0,326.75,1
Support,97,98,97,0.45,5,97.0,0.1491,114.0,31.42,2
Support,100,104,102,2.08,3,102.0,0.1053,114.0,26.03,3
Support,60,62,61,1.41,11,61.0,0.4649,114.0,23.16,4
Support,64,69,67,2.59,5,67.0,0.4123,114.0,11.84,5
Support,78,83,80,2.31,3,80.0,0.2982,114.0,9.73,6
Support,53,58,55,2.52,3,55.0,0.5175,114.0,5.69,7
Support,76,76,76,0.0,1,76.0,0.3333,114.0,2.91,8
