Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,188,286,237,48.7,30,237.0,0.4277,166.0,68.54,1
Resistance,856,1081,969,112.81,26,969.0,4.8373,166.0,5.36,2
Resistance,1335,1564,1450,114.55,40,1450.0,7.7349,166.0,5.16,3
Resistance,1702,2013,1857,155.77,30,1857.0,10.1867,166.0,2.94,4
Resistance,3473,3758,3615,142.57,13,3615.0,20.7771,166.0,0.63,5
Resistance,2433,2887,2660,226.61,5,2660.0,15.0241,166.0,0.33,6
Resistance,3966,4374,4170,204.06,6,4170.0,24.1205,166.0,0.25,7
Resistance,7070,7105,7087,17.68,2,7087.0,41.6928,166.0,0.05,8
Support,165,165,165,0.0,1,165.0,0.006,166.0,62.41,1
Support,160,160,160,0.0,2,160.0,0.0361,166.0,43.34,2
Support,157,157,157,0.0,2,157.0,0.0542,166.0,31.14,3
Support,133,135,134,1.41,2,134.0,0.1928,166.0,9.86,4
Support,145,145,145,0.0,1,145.0,0.1265,166.0,7.33,5
Support,130,130,130,0.0,1,130.0,0.2169,166.0,4.41,6
Support,124,124,124,0.0,1,124.0,0.253,166.0,3.8,7
Support,105,105,105,0.0,1,105.0,0.3675,166.0,2.65,8
