Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,25385,26643,26014,629.25,9,26014.0,0.0262,25350.0,248.66,1
Resistance,27949,29764,28856,907.23,27,28856.0,0.1383,25350.0,182.06,2
Resistance,32617,34242,33430,812.24,11,33430.0,0.3187,25350.0,33.46,3
Resistance,35715,36868,36292,576.22,9,36292.0,0.4316,25350.0,20.38,4
Resistance,41208,42225,41717,508.49,12,41717.0,0.6456,25350.0,18.3,5
Resistance,38097,38975,38536,438.77,9,38536.0,0.5202,25350.0,16.98,6
Resistance,43763,45137,44450,686.72,12,44450.0,0.7535,25350.0,15.72,7
Resistance,39908,40667,40288,379.72,6,40288.0,0.5893,25350.0,10.01,8
Support,23844,25053,24448,604.43,14,24448.0,0.0356,25350.0,307.14,1
Support,22229,23049,22639,409.86,9,22639.0,0.1069,25350.0,76.96,2
Support,19300,20685,19993,692.47,17,19993.0,0.2113,25350.0,76.81,3
Support,10649,12267,11458,808.84,24,11458.0,0.548,25350.0,43.01,4
Support,7703,8214,7958,255.47,23,7958.0,0.6861,25350.0,33.04,5
Support,13160,14340,13750,590.02,13,13750.0,0.4576,25350.0,27.8,6
Support,15439,17106,16272,833.71,9,16272.0,0.3581,25350.0,24.45,7
Support,6520,7512,7016,496.1,12,7016.0,0.7232,25350.0,16.37,8
