Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1209,1214,1212,2.58,6,1212.0,0.0058,1205.0,379.53,1
Resistance,1229,1251,1240,10.8,13,1240.0,0.029,1205.0,332.94,2
Resistance,1272,1301,1287,14.35,15,1287.0,0.068,1205.0,192.19,3
Resistance,1312,1335,1323,11.69,6,1323.0,0.0979,1205.0,55.59,4
Resistance,1349,1375,1362,12.55,5,1362.0,0.1303,1205.0,35.64,5
Resistance,1399,1421,1410,11.4,6,1410.0,0.1701,1205.0,33.31,6
Resistance,1474,1513,1494,19.74,4,1494.0,0.2398,1205.0,16.01,7
Resistance,1550,1550,1550,0.0,1,1550.0,0.2863,1205.0,3.37,8
Support,1170,1198,1184,14.36,22,1184.0,0.0174,1205.0,802.12,1
Support,960,1034,997,37.08,27,997.0,0.1726,1205.0,147.85,2
Support,1097,1138,1117,20.59,7,1117.0,0.073,1205.0,84.31,3
Support,365,406,386,20.51,26,386.0,0.6797,1205.0,37.7,4
Support,774,877,825,51.16,11,825.0,0.3154,1205.0,33.81,5
Support,437,498,468,30.24,21,468.0,0.6116,1205.0,33.78,6
Support,602,692,647,45.17,13,647.0,0.4631,1205.0,27.48,7
Support,274,329,301,27.45,17,301.0,0.7502,1205.0,22.36,8
