Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1455,1460,1457,2.89,4,1457.0,0.0048,1450.0,269.77,1
Resistance,1484,1500,1492,7.95,9,1492.0,0.029,1450.0,230.97,2
Resistance,1465,1471,1468,2.74,5,1468.0,0.0124,1450.0,223.08,3
Resistance,1474,1479,1476,2.5,4,1476.0,0.0179,1450.0,143.21,4
Resistance,1526,1539,1532,6.45,4,1532.0,0.0566,1450.0,60.1,5
Resistance,1554,1561,1558,3.54,2,1558.0,0.0745,1450.0,23.67,6
Resistance,1615,1635,1625,10.0,3,1625.0,0.1207,1450.0,22.96,7
Resistance,1577,1598,1588,10.61,2,1588.0,0.0952,1450.0,19.02,8
Resistance,1646,1674,1660,14.14,2,1660.0,0.1448,1450.0,12.92,9
Support,1396,1437,1416,20.42,18,1416.0,0.0234,1450.0,538.14,1
Support,1286,1352,1319,33.31,29,1319.0,0.0903,1450.0,289.0,2
Support,1086,1202,1144,57.99,15,1144.0,0.211,1450.0,67.86,3
Support,611,675,643,32.17,37,643.0,0.5566,1450.0,65.31,4
Support,746,822,784,38.44,18,784.0,0.4593,1450.0,38.35,5
Support,527,569,548,20.86,21,548.0,0.6221,1450.0,33.22,6
Support,862,969,915,53.56,12,915.0,0.369,1450.0,31.67,7
Support,446,501,473,27.42,19,473.0,0.6738,1450.0,27.79,8
Support,306,377,341,35.94,9,341.0,0.7648,1450.0,11.62,9
