Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,602,618,610,7.75,11,610.0,0.0252,595.0,312.41,1
Resistance,631,643,637,6.32,10,637.0,0.0706,595.0,124.09,2
Resistance,666,692,679,13.38,11,679.0,0.1412,595.0,72.76,3
Resistance,709,751,730,21.21,13,730.0,0.2269,595.0,54.88,4
Resistance,831,861,846,15.17,5,846.0,0.4218,595.0,11.58,5
Resistance,917,966,942,24.66,3,942.0,0.5832,595.0,5.06,6
Resistance,1100,1143,1121,21.75,4,1121.0,0.884,595.0,4.47,7
Resistance,1037,1086,1062,24.66,3,1062.0,0.7849,595.0,3.77,8
Resistance,1291,1323,1307,16.07,3,1307.0,1.1966,595.0,2.49,9
Support,571,586,578,7.47,13,578.0,0.0286,595.0,337.04,1
Support,514,525,519,5.77,27,519.0,0.1277,595.0,196.03,2
Support,538,554,546,7.79,16,546.0,0.0824,595.0,173.25,3
Support,486,503,494,8.58,20,494.0,0.1697,595.0,111.27,4
Support,451,470,460,9.15,12,460.0,0.2269,595.0,50.66,5
Support,370,393,382,11.41,12,382.0,0.358,595.0,32.61,6
Support,417,435,426,9.07,6,426.0,0.284,595.0,20.41,7
Support,210,241,226,15.67,6,226.0,0.6202,595.0,9.52,8
Support,259,293,276,16.97,2,276.0,0.5361,595.0,3.66,9
