Emiten,Tanggal,Sebab
DSSA,2024-01-08,Data Adjusted
DSSA,2024-01-09,Data Adjusted
DSSA,2024-01-10,Data Adjusted
DSSA,2024-01-11,Data Adjusted
DSSA,2024-01-12,Data Adjusted
DSSA,2024-01-15,Data Adjusted
DSSA,2024-01-16,Data Adjusted
DSSA,2024-01-17,Data Adjusted
DSSA,2024-01-25,Data Adjusted
DSSA,2024-01-26,Data Adjusted
DSSA,2024-01-30,Data Adjusted
DSSA,2024-01-31,Data Adjusted
DSSA,2024-02-02,Data Adjusted
DSSA,2024-02-20,Data Adjusted
DSSA,2024-02-27,Data Adjusted
DSSA,2024-02-28,Data Adjusted
DSSA,2024-02-29,Data Adjusted
DSSA,2024-03-01,Data Adjusted
DSSA,2024-03-04,Data Adjusted
DSSA,2024-03-05,Data Adjusted
DSSA,2024-03-06,Data Adjusted
DSSA,2024-03-07,Data Adjusted
DSSA,2024-03-08,Data Adjusted
DSSA,2024-03-15,Data Adjusted
DSSA,2024-03-18,Data Adjusted
DSSA,2024-05-21,Data Adjusted
DSSA,2024-05-28,Data Adjusted
DSSA,2024-06-04,Data Adjusted
DSSA,2024-06-14,Data Adjusted
DSSA,2024-06-26,Data Adjusted
DSSA,2024-07-03,Data Adjusted
DSSA,2024-07-04,Data Adjusted
DSSA,2024-07-05,Data Adjusted
WINS,2023-12-28,Data Adjusted
WINS,2023-12-29,Data Adjusted
WINS,2024-01-02,Data Adjusted
WINS,2024-01-03,Data Adjusted
WINS,2024-01-04,Data Adjusted
WINS,2024-01-05,Data Adjusted
WINS,2024-01-08,Data Adjusted
WINS,2024-01-09,Data Adjusted
WINS,2024-01-10,Data Adjusted
WINS,2024-01-11,Data Adjusted
WINS,2024-01-12,Data Adjusted
WINS,2024-01-15,Data Adjusted
WINS,2024-01-16,Data Adjusted
WINS,2024-01-17,Data Adjusted
WINS,2024-01-18,Data Adjusted
WINS,2024-01-19,Data Adjusted
WINS,2024-01-22,Data Adjusted
WINS,2024-01-23,Data Adjusted
WINS,2024-01-24,Data Adjusted
WINS,2024-01-25,Data Adjusted
WINS,2024-01-26,Data Adjusted
WINS,2024-01-29,Data Adjusted
WINS,2024-01-30,Data Adjusted
WINS,2024-01-31,Data Adjusted
