Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,408,25,10,28,0.9257,0.9423,0.9761,0.9589
AKRA,395,30,16,30,0.9023,0.9294,0.9611,0.945
APEX,446,16,3,6,0.9597,0.9654,0.9933,0.9791
ARII,468,0,1,2,0.9979,1.0,0.9979,0.9989
BBRM,368,52,20,31,0.8471,0.8762,0.9485,0.9109
BIPI,287,39,86,59,0.7346,0.8804,0.7694,0.8212
BULL,444,15,3,9,0.9618,0.9673,0.9933,0.9801
BUMI,404,18,24,23,0.9104,0.9573,0.9439,0.9506
DEWA,178,13,82,198,0.7983,0.9319,0.6846,0.7894
DOID,328,18,41,84,0.8747,0.948,0.8889,0.9175
ELSA,341,42,32,56,0.8429,0.8903,0.9142,0.9021
ENRG,338,19,40,74,0.8747,0.9468,0.8942,0.9197
FIRE,253,32,68,118,0.7877,0.8877,0.7882,0.835
HRUM,429,6,11,25,0.9639,0.9862,0.975,0.9806
INDY,446,14,4,7,0.9618,0.9696,0.9911,0.9802
INPS,345,29,35,62,0.8641,0.9225,0.9079,0.9151
ITMA,276,58,41,96,0.7898,0.8263,0.8707,0.8479
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,427,10,11,23,0.9554,0.9771,0.9749,0.976
LEAD,384,60,8,19,0.8556,0.8649,0.9796,0.9187
MBSS,390,25,15,41,0.9151,0.9398,0.963,0.9512
MEDC,360,47,24,40,0.8493,0.8845,0.9375,0.9102
PGAS,421,34,9,7,0.9087,0.9253,0.9791,0.9514
PTBA,466,0,2,3,0.9958,1.0,0.9957,0.9979
PTRO,76,3,116,276,0.7473,0.962,0.3958,0.5609
RAJA,176,1,75,219,0.8386,0.9944,0.7012,0.8224
RUIS,360,23,37,51,0.8726,0.9399,0.9068,0.9231
SOCI,351,32,34,54,0.8599,0.9164,0.9117,0.9141
TAMU,433,13,21,3,0.9277,0.9709,0.9537,0.9622
TCPI,371,13,31,56,0.9066,0.9661,0.9229,0.944
TEBE,353,16,38,64,0.8854,0.9566,0.9028,0.9289
TOBA,407,19,12,32,0.934,0.9554,0.9714,0.9633
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,412,41,7,11,0.8981,0.9095,0.9833,0.945
