Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,138,9,107,215,0.7527,0.9388,0.5633,0.7041
AKRA,100,50,114,205,0.6503,0.6667,0.4673,0.5495
APEX,102,16,132,219,0.6844,0.8644,0.4359,0.5795
ARII,314,29,55,73,0.8217,0.9155,0.8509,0.882
BBRM,78,11,184,198,0.586,0.8764,0.2977,0.4444
BIPI,1,2,229,238,0.5085,0.3333,0.0043,0.0086
BULL,156,28,118,169,0.69,0.8478,0.5693,0.6812
BUMI,160,23,99,187,0.7399,0.8743,0.6178,0.724
DEWA,96,28,119,228,0.6879,0.7742,0.4465,0.5664
DOID,115,13,119,222,0.7186,0.8984,0.4915,0.6354
ELSA,20,13,176,261,0.5979,0.6061,0.102,0.1747
ENRG,230,22,75,143,0.7936,0.9127,0.7541,0.8259
FIRE,17,4,188,260,0.5906,0.8095,0.0829,0.1504
HRUM,179,6,99,185,0.7761,0.9676,0.6439,0.7732
INDY,269,23,60,118,0.8234,0.9212,0.8176,0.8663
INPS,56,22,153,240,0.6285,0.7179,0.2679,0.3902
ITMA,30,12,142,286,0.6723,0.7143,0.1744,0.2804
ITMG,316,0,41,112,0.9126,1.0,0.8852,0.9391
KKGI,58,14,165,232,0.6183,0.8056,0.2601,0.3932
LEAD,38,17,183,233,0.5754,0.6909,0.1719,0.2754
MBSS,251,29,61,129,0.8085,0.8964,0.8045,0.848
MEDC,97,26,120,228,0.69,0.7886,0.447,0.5706
PGAS,24,7,149,289,0.6674,0.7742,0.1387,0.2353
PTBA,111,17,148,195,0.6497,0.8672,0.4286,0.5736
PTRO,58,4,121,288,0.7346,0.9355,0.324,0.4813
RAJA,3,1,127,338,0.7271,0.75,0.0231,0.0448
RUIS,91,19,140,221,0.6624,0.8273,0.3939,0.5337
SOCI,99,26,151,194,0.6234,0.792,0.396,0.528
TCPI,266,12,65,127,0.8362,0.9568,0.8036,0.8736
TEBE,48,7,195,219,0.5693,0.8727,0.1975,0.3221
TOBA,96,9,114,250,0.7377,0.9143,0.4571,0.6095
TPMA,133,26,165,145,0.5928,0.8365,0.4463,0.5821
WINS,77,22,141,231,0.6539,0.7778,0.3532,0.4858
