Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-27,794.0,768.0,,768.0,Support,768.0,1450.0,-682.0
2020-01-28,700.0,650.0,,650.0,Support,650.0,1450.0,-800.0
2020-02-14,610.0,588.0,,588.0,Support,588.0,1450.0,-862.0
2020-02-19,622.0,600.0,,600.0,Support,600.0,1450.0,-850.0
2020-02-28,534.0,478.0,,478.0,Support,478.0,1450.0,-972.0
2020-03-04,524.0,492.0,,492.0,Support,492.0,1450.0,-958.0
2020-03-09,476.0,424.0,,424.0,Support,424.0,1450.0,-1026.0
2020-03-12,386.0,361.0,,361.0,Support,361.0,1450.0,-1089.0
2020-03-17,341.0,313.0,,313.0,Support,313.0,1450.0,-1137.0
2020-03-19,340.0,297.0,,297.0,Support,297.0,1450.0,-1153.0
2020-03-24,345.0,281.0,,281.0,Support,281.0,1450.0,-1169.0
2020-03-31,397.0,372.0,,372.0,Support,372.0,1450.0,-1078.0
2020-04-02,384.0,370.0,,370.0,Support,370.0,1450.0,-1080.0
2020-04-09,410.0,378.0,,378.0,Support,378.0,1450.0,-1072.0
2020-04-16,393.0,362.0,,362.0,Support,362.0,1450.0,-1088.0
2020-04-22,414.0,339.0,,339.0,Support,339.0,1450.0,-1111.0
2020-05-04,470.0,448.0,,448.0,Support,448.0,1450.0,-1002.0
2020-05-08,504.0,466.0,,466.0,Support,466.0,1450.0,-984.0
2020-05-15,464.0,426.0,,426.0,Support,426.0,1450.0,-1024.0
2020-05-20,470.0,432.0,,432.0,Support,432.0,1450.0,-1018.0
2020-06-02,492.0,466.0,,466.0,Support,466.0,1450.0,-984.0
2020-06-04,506.0,478.0,506.0,478.0,Support,478.0,1450.0,-972.0
2020-06-12,482.0,432.0,,432.0,Support,432.0,1450.0,-1018.0
2020-06-18,514.0,496.0,,496.0,Support,496.0,1450.0,-954.0
2020-06-23,514.0,498.0,,498.0,Support,498.0,1450.0,-952.0
2020-06-29,508.0,496.0,,496.0,Support,496.0,1450.0,-954.0
2020-07-06,502.0,488.0,,488.0,Support,488.0,1450.0,-962.0
2020-07-20,498.0,486.0,,486.0,Support,486.0,1450.0,-964.0
2020-07-24,546.0,522.0,,522.0,Support,522.0,1450.0,-928.0
2020-07-29,578.0,560.0,,560.0,Support,560.0,1450.0,-890.0
2020-08-03,580.0,544.0,,544.0,Support,544.0,1450.0,-906.0
2020-08-05,562.0,542.0,,542.0,Support,542.0,1450.0,-908.0
2020-08-10,558.0,548.0,,548.0,Support,548.0,1450.0,-902.0
2020-08-19,572.0,560.0,,560.0,Support,560.0,1450.0,-890.0
2020-09-04,584.0,550.0,,550.0,Support,550.0,1450.0,-900.0
2020-09-11,558.0,494.0,,494.0,Support,494.0,1450.0,-956.0
2020-09-15,572.0,544.0,572.0,544.0,Support,544.0,1450.0,-906.0
2020-09-17,562.0,536.0,562.0,536.0,Support,536.0,1450.0,-914.0
2020-09-24,510.0,490.0,,490.0,Support,490.0,1450.0,-960.0
2020-09-30,514.0,496.0,,496.0,Support,496.0,1450.0,-954.0
2020-10-02,524.0,506.0,,506.0,Support,506.0,1450.0,-944.0
2020-10-13,532.0,522.0,,522.0,Support,522.0,1450.0,-928.0
2020-10-16,542.0,530.0,,530.0,Support,530.0,1450.0,-920.0
2020-10-20,542.0,522.0,,522.0,Support,522.0,1450.0,-928.0
2020-10-22,536.0,522.0,,522.0,Support,522.0,1450.0,-928.0
2020-10-26,532.0,522.0,,522.0,Support,522.0,1450.0,-928.0
2020-11-13,568.0,556.0,,556.0,Support,556.0,1450.0,-894.0
2020-11-23,594.0,584.0,,584.0,Support,584.0,1450.0,-866.0
2020-11-26,588.0,576.0,,576.0,Support,576.0,1450.0,-874.0
2020-11-30,626.0,560.0,626.0,560.0,Support,560.0,1450.0,-890.0
2020-12-04,624.0,604.0,,604.0,Support,604.0,1450.0,-846.0
2020-12-10,670.0,646.0,,646.0,Support,646.0,1450.0,-804.0
2020-12-15,658.0,638.0,,638.0,Support,638.0,1450.0,-812.0
2020-12-23,676.0,622.0,,622.0,Support,622.0,1450.0,-828.0
2021-01-04,656.0,612.0,,612.0,Support,612.0,1450.0,-838.0
2021-01-06,666.0,628.0,,628.0,Support,628.0,1450.0,-822.0
2021-01-12,680.0,654.0,,654.0,Support,654.0,1450.0,-796.0
2021-01-19,674.0,628.0,674.0,628.0,Support,628.0,1450.0,-822.0
2021-01-26,612.0,572.0,,572.0,Support,572.0,1450.0,-878.0
2021-01-29,588.0,554.0,,554.0,Support,554.0,1450.0,-896.0
2021-02-09,684.0,638.0,,638.0,Support,638.0,1450.0,-812.0
2021-02-19,694.0,678.0,,678.0,Support,678.0,1450.0,-772.0
2021-02-24,694.0,662.0,,662.0,Support,662.0,1450.0,-788.0
2021-03-01,676.0,654.0,,654.0,Support,654.0,1450.0,-796.0
2021-03-03,688.0,656.0,,656.0,Support,656.0,1450.0,-794.0
2021-03-10,734.0,708.0,,708.0,Support,708.0,1450.0,-742.0
2021-03-31,656.0,632.0,,632.0,Support,632.0,1450.0,-818.0
2021-04-05,650.0,634.0,,634.0,Support,634.0,1450.0,-816.0
2021-04-13,634.0,616.0,,616.0,Support,616.0,1450.0,-834.0
2021-04-16,634.0,622.0,,622.0,Support,622.0,1450.0,-828.0
2021-04-22,630.0,620.0,,620.0,Support,620.0,1450.0,-830.0
2021-04-28,640.0,628.0,,628.0,Support,628.0,1450.0,-822.0
2021-05-03,658.0,636.0,,636.0,Support,636.0,1450.0,-814.0
2021-05-18,636.0,622.0,,622.0,Support,622.0,1450.0,-828.0
2021-05-24,630.0,610.0,,610.0,Support,610.0,1450.0,-840.0
2021-06-04,668.0,644.0,,644.0,Support,644.0,1450.0,-806.0
2021-06-15,646.0,634.0,,634.0,Support,634.0,1450.0,-816.0
2021-06-21,620.0,596.0,,596.0,Support,596.0,1450.0,-854.0
2021-07-05,630.0,606.0,,606.0,Support,606.0,1450.0,-844.0
2021-07-14,614.0,600.0,,600.0,Support,600.0,1450.0,-850.0
2021-07-21,698.0,660.0,,660.0,Support,660.0,1450.0,-790.0
2021-07-28,712.0,702.0,,702.0,Support,702.0,1450.0,-748.0
2021-08-02,738.0,686.0,738.0,686.0,Support,686.0,1450.0,-764.0
2021-08-10,700.0,680.0,,680.0,Support,680.0,1450.0,-770.0
2021-08-19,740.0,714.0,,714.0,Support,714.0,1450.0,-736.0
2021-08-26,756.0,734.0,,734.0,Support,734.0,1450.0,-716.0
2021-09-03,776.0,760.0,,760.0,Support,760.0,1450.0,-690.0
2021-09-21,780.0,760.0,,760.0,Support,760.0,1450.0,-690.0
2021-09-28,834.0,796.0,,796.0,Support,796.0,1450.0,-654.0
2021-10-07,894.0,818.0,894.0,818.0,Support,818.0,1450.0,-632.0
2021-10-15,872.0,854.0,,854.0,Support,854.0,1450.0,-596.0
2021-10-21,900.0,868.0,,868.0,Support,868.0,1450.0,-582.0
2021-10-28,884.0,836.0,,836.0,Support,836.0,1450.0,-614.0
2021-11-01,858.0,830.0,,830.0,Support,830.0,1450.0,-620.0
2021-11-03,848.0,832.0,,832.0,Support,832.0,1450.0,-618.0
2021-11-05,856.0,830.0,,830.0,Support,830.0,1450.0,-620.0
2021-11-15,874.0,854.0,,854.0,Support,854.0,1450.0,-596.0
2021-11-22,838.0,790.0,,790.0,Support,790.0,1450.0,-660.0
2021-12-30,828.0,814.0,,814.0,Support,814.0,1450.0,-636.0
2022-01-12,845.0,795.0,,795.0,Support,795.0,1450.0,-655.0
2022-01-20,785.0,750.0,,750.0,Support,750.0,1450.0,-700.0
2022-01-27,740.0,700.0,,700.0,Support,700.0,1450.0,-750.0
2022-02-02,740.0,710.0,,710.0,Support,710.0,1450.0,-740.0
2022-02-14,710.0,685.0,,685.0,Support,685.0,1450.0,-765.0
2022-03-01,765.0,725.0,,725.0,Support,725.0,1450.0,-725.0
2022-03-10,810.0,775.0,,775.0,Support,775.0,1450.0,-675.0
2022-03-15,805.0,785.0,,785.0,Support,785.0,1450.0,-665.0
2022-03-31,930.0,890.0,,890.0,Support,890.0,1450.0,-560.0
2022-04-08,930.0,910.0,,910.0,Support,910.0,1450.0,-540.0
2022-04-12,930.0,865.0,,865.0,Support,865.0,1450.0,-585.0
2022-04-20,960.0,930.0,,930.0,Support,930.0,1450.0,-520.0
2022-04-25,990.0,945.0,,945.0,Support,945.0,1450.0,-505.0
2022-05-19,1055.0,1000.0,,1000.0,Support,1000.0,1450.0,-450.0
2022-05-24,1035.0,975.0,,975.0,Support,975.0,1450.0,-475.0
2022-06-03,1095.0,1055.0,,1055.0,Support,1055.0,1450.0,-395.0
2022-06-08,1120.0,1080.0,,1080.0,Support,1080.0,1450.0,-370.0
2022-06-14,1185.0,1125.0,,1125.0,Support,1125.0,1450.0,-325.0
2022-06-23,1095.0,1040.0,,1040.0,Support,1040.0,1450.0,-410.0
2022-07-04,1005.0,895.0,,895.0,Support,895.0,1450.0,-555.0
2022-07-15,1050.0,995.0,,995.0,Support,995.0,1450.0,-455.0
2022-07-27,1120.0,1070.0,,1070.0,Support,1070.0,1450.0,-380.0
2022-08-03,1290.0,1220.0,1290.0,1220.0,Support,1220.0,1450.0,-230.0
2022-08-09,1215.0,1165.0,,1165.0,Support,1165.0,1450.0,-285.0
2022-08-18,1165.0,1140.0,,1140.0,Support,1140.0,1450.0,-310.0
2022-08-22,1205.0,1150.0,,1150.0,Support,1150.0,1450.0,-300.0
2022-08-25,1220.0,1190.0,,1190.0,Support,1190.0,1450.0,-260.0
2022-08-29,1220.0,1175.0,,1175.0,Support,1175.0,1450.0,-275.0
2022-08-31,1235.0,1165.0,,1165.0,Support,1165.0,1450.0,-285.0
2022-09-09,1200.0,1165.0,,1165.0,Support,1165.0,1450.0,-285.0
2022-09-19,1455.0,1315.0,1455.0,1315.0,Resistance,1455.0,1450.0,5.0
2022-09-19,1455.0,1315.0,1455.0,1315.0,Support,1315.0,1450.0,-135.0
2022-09-22,1455.0,1400.0,1455.0,,Resistance,1455.0,1450.0,5.0
2022-09-27,1375.0,1275.0,,1275.0,Support,1275.0,1450.0,-175.0
2022-09-30,1355.0,1310.0,,1310.0,Support,1310.0,1450.0,-140.0
2022-10-06,1475.0,1405.0,1475.0,,Resistance,1475.0,1450.0,25.0
2022-10-13,1460.0,1400.0,1460.0,,Resistance,1460.0,1450.0,10.0
2022-10-17,1430.0,1390.0,,1390.0,Support,1390.0,1450.0,-60.0
2022-10-20,1495.0,1435.0,1495.0,,Resistance,1495.0,1450.0,45.0
2022-10-26,1395.0,1345.0,,1345.0,Support,1345.0,1450.0,-105.0
2022-10-27,1465.0,1385.0,1465.0,,Resistance,1465.0,1450.0,15.0
2022-11-03,1580.0,1495.0,1580.0,,Resistance,1580.0,1450.0,130.0
2022-11-10,1470.0,1430.0,,1430.0,Support,1430.0,1450.0,-20.0
2022-11-11,1485.0,1440.0,1485.0,,Resistance,1485.0,1450.0,35.0
2022-11-15,1435.0,1365.0,,1365.0,Support,1365.0,1450.0,-85.0
2022-11-17,1410.0,1310.0,,1310.0,Support,1310.0,1450.0,-140.0
2022-11-25,1365.0,1340.0,,1340.0,Support,1340.0,1450.0,-110.0
2022-11-30,1405.0,1360.0,,1360.0,Support,1360.0,1450.0,-90.0
2022-12-01,1465.0,1385.0,1465.0,,Resistance,1465.0,1450.0,15.0
2022-12-06,1395.0,1325.0,,1325.0,Support,1325.0,1450.0,-125.0
2022-12-09,1370.0,1335.0,,1335.0,Support,1335.0,1450.0,-115.0
2022-12-19,1375.0,1315.0,,1315.0,Support,1315.0,1450.0,-135.0
2022-12-28,1420.0,1375.0,,1375.0,Support,1375.0,1450.0,-75.0
2023-01-05,1305.0,1200.0,,1200.0,Support,1200.0,1450.0,-250.0
2023-01-10,1270.0,1215.0,,1215.0,Support,1215.0,1450.0,-235.0
2023-01-17,1330.0,1290.0,,1290.0,Support,1290.0,1450.0,-160.0
2023-01-19,1315.0,1280.0,,1280.0,Support,1280.0,1450.0,-170.0
2023-01-31,1345.0,1310.0,,1310.0,Support,1310.0,1450.0,-140.0
