Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2022-02-03,54.0,51.0,,51.0,Support,51.0,101.0,-50.0
2022-03-28,89.0,79.0,,79.0,Support,79.0,101.0,-22.0
2022-04-13,119.0,112.0,119.0,,Resistance,119.0,101.0,18.0
2022-04-19,113.0,99.0,113.0,,Resistance,113.0,101.0,12.0
2022-04-25,92.0,84.0,,84.0,Support,84.0,101.0,-17.0
2022-04-27,90.0,83.0,,83.0,Support,83.0,101.0,-18.0
2022-05-13,82.0,76.0,,76.0,Support,76.0,101.0,-25.0
2022-05-19,85.0,81.0,,81.0,Support,81.0,101.0,-20.0
2022-05-25,90.0,86.0,,86.0,Support,86.0,101.0,-15.0
2022-05-31,108.0,101.0,108.0,,Resistance,108.0,101.0,7.0
2022-06-03,115.0,101.0,115.0,,Resistance,115.0,101.0,14.0
2022-06-09,126.0,116.0,126.0,,Resistance,126.0,101.0,25.0
2022-06-15,129.0,113.0,129.0,,Resistance,129.0,101.0,28.0
2022-06-17,153.0,115.0,153.0,,Resistance,153.0,101.0,52.0
2022-07-01,117.0,114.0,117.0,,Resistance,117.0,101.0,16.0
2022-07-05,127.0,113.0,127.0,,Resistance,127.0,101.0,26.0
2022-07-15,145.0,132.0,145.0,,Resistance,145.0,101.0,44.0
2022-07-22,197.0,152.0,197.0,,Resistance,197.0,101.0,96.0
2022-08-01,234.0,214.0,234.0,,Resistance,234.0,101.0,133.0
2022-08-12,204.0,189.0,204.0,,Resistance,204.0,101.0,103.0
2022-08-16,195.0,188.0,195.0,,Resistance,195.0,101.0,94.0
2022-08-24,193.0,187.0,193.0,,Resistance,193.0,101.0,92.0
2022-09-07,191.0,175.0,191.0,,Resistance,191.0,101.0,90.0
2022-09-12,184.0,177.0,184.0,,Resistance,184.0,101.0,83.0
2022-09-16,183.0,173.0,183.0,,Resistance,183.0,101.0,82.0
2022-09-23,162.0,153.0,162.0,,Resistance,162.0,101.0,61.0
2022-09-27,158.0,135.0,158.0,135.0,Resistance,158.0,101.0,57.0
2022-10-05,161.0,152.0,161.0,,Resistance,161.0,101.0,60.0
2022-10-13,149.0,133.0,149.0,,Resistance,149.0,101.0,48.0
2022-10-18,150.0,141.0,150.0,,Resistance,150.0,101.0,49.0
2022-10-20,157.0,140.0,157.0,,Resistance,157.0,101.0,56.0
2022-10-24,159.0,147.0,159.0,,Resistance,159.0,101.0,58.0
2022-11-07,145.0,134.0,145.0,,Resistance,145.0,101.0,44.0
2022-11-14,152.0,140.0,152.0,,Resistance,152.0,101.0,51.0
2022-11-24,184.0,172.0,184.0,,Resistance,184.0,101.0,83.0
2022-12-01,188.0,181.0,188.0,,Resistance,188.0,101.0,87.0
2022-12-05,186.0,181.0,186.0,,Resistance,186.0,101.0,85.0
2022-12-27,167.0,163.0,167.0,,Resistance,167.0,101.0,66.0
2023-01-03,168.0,164.0,168.0,,Resistance,168.0,101.0,67.0
2023-01-11,159.0,155.0,159.0,,Resistance,159.0,101.0,58.0
2023-01-26,158.0,147.0,158.0,,Resistance,158.0,101.0,57.0
2023-02-01,183.0,174.0,183.0,,Resistance,183.0,101.0,82.0
2023-02-03,179.0,165.0,179.0,,Resistance,179.0,101.0,78.0
2023-02-08,186.0,179.0,186.0,,Resistance,186.0,101.0,85.0
2023-02-14,184.0,170.0,184.0,,Resistance,184.0,101.0,83.0
2023-02-17,181.0,161.0,181.0,,Resistance,181.0,101.0,80.0
2023-02-27,157.0,151.0,157.0,,Resistance,157.0,101.0,56.0
2023-03-02,159.0,151.0,159.0,,Resistance,159.0,101.0,58.0
2023-03-06,165.0,153.0,165.0,,Resistance,165.0,101.0,64.0
2023-03-30,152.0,141.0,152.0,,Resistance,152.0,101.0,51.0
2023-04-04,169.0,146.0,169.0,,Resistance,169.0,101.0,68.0
2023-04-27,156.0,144.0,156.0,,Resistance,156.0,101.0,55.0
2023-05-08,152.0,142.0,152.0,,Resistance,152.0,101.0,51.0
2023-05-10,153.0,148.0,153.0,,Resistance,153.0,101.0,52.0
2023-05-22,148.0,142.0,148.0,,Resistance,148.0,101.0,47.0
2023-05-30,145.0,139.0,145.0,,Resistance,145.0,101.0,44.0
2023-06-23,137.0,132.0,137.0,,Resistance,137.0,101.0,36.0
2023-07-18,127.0,122.0,127.0,,Resistance,127.0,101.0,26.0
2023-07-25,138.0,130.0,138.0,,Resistance,138.0,101.0,37.0
2023-07-31,136.0,128.0,136.0,,Resistance,136.0,101.0,35.0
2023-08-10,120.0,113.0,120.0,,Resistance,120.0,101.0,19.0
