Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-02-03,53.0,51.0,,51.0,Support,51.0,85.0,-34.0
2020-02-05,56.0,50.0,56.0,50.0,Support,50.0,85.0,-35.0
2020-12-03,71.0,56.0,,56.0,Support,56.0,85.0,-29.0
2020-12-11,73.0,67.0,,67.0,Support,67.0,85.0,-18.0
2020-12-15,73.0,68.0,,68.0,Support,68.0,85.0,-17.0
2020-12-17,89.0,69.0,89.0,,Resistance,89.0,85.0,4.0
2020-12-23,76.0,68.0,,68.0,Support,68.0,85.0,-17.0
2021-01-04,77.0,70.0,77.0,70.0,Support,70.0,85.0,-15.0
2021-01-06,75.0,70.0,,70.0,Support,70.0,85.0,-15.0
2021-01-18,156.0,116.0,156.0,,Resistance,156.0,85.0,71.0
2021-02-05,65.0,55.0,,55.0,Support,55.0,85.0,-30.0
2021-02-19,60.0,56.0,,56.0,Support,56.0,85.0,-29.0
2021-02-24,63.0,59.0,,59.0,Support,59.0,85.0,-26.0
2021-03-31,63.0,58.0,,58.0,Support,58.0,85.0,-27.0
2021-04-28,63.0,60.0,,60.0,Support,60.0,85.0,-25.0
2021-05-31,61.0,59.0,,59.0,Support,59.0,85.0,-26.0
2021-07-05,61.0,59.0,,59.0,Support,59.0,85.0,-26.0
2021-07-14,59.0,56.0,,56.0,Support,56.0,85.0,-29.0
2021-07-21,58.0,55.0,,55.0,Support,55.0,85.0,-30.0
2021-08-10,55.0,52.0,,52.0,Support,52.0,85.0,-33.0
2021-09-13,55.0,53.0,,53.0,Support,53.0,85.0,-32.0
2021-09-30,71.0,62.0,71.0,62.0,Support,62.0,85.0,-23.0
2021-10-06,102.0,91.0,102.0,,Resistance,102.0,85.0,17.0
2021-10-08,86.0,80.0,,80.0,Support,80.0,85.0,-5.0
2021-10-12,97.0,91.0,97.0,,Resistance,97.0,85.0,12.0
2021-10-15,90.0,86.0,90.0,,Resistance,90.0,85.0,5.0
2021-10-22,75.0,73.0,,73.0,Support,73.0,85.0,-12.0
2021-11-08,73.0,69.0,,69.0,Support,69.0,85.0,-16.0
2021-11-16,68.0,65.0,,65.0,Support,65.0,85.0,-20.0
2021-11-19,69.0,63.0,,63.0,Support,63.0,85.0,-22.0
2021-12-07,68.0,65.0,,65.0,Support,65.0,85.0,-20.0
2021-12-10,71.0,67.0,,67.0,Support,67.0,85.0,-18.0
2021-12-14,72.0,68.0,,68.0,Support,68.0,85.0,-17.0
2021-12-27,66.0,63.0,,63.0,Support,63.0,85.0,-22.0
2022-01-03,67.0,64.0,,64.0,Support,64.0,85.0,-21.0
2022-01-06,67.0,65.0,,65.0,Support,65.0,85.0,-20.0
2022-01-19,66.0,58.0,,58.0,Support,58.0,85.0,-27.0
2022-01-31,79.0,74.0,,74.0,Support,74.0,85.0,-11.0
2022-02-16,89.0,84.0,89.0,,Resistance,89.0,85.0,4.0
2022-03-02,56.0,50.0,,50.0,Support,50.0,85.0,-35.0
2022-05-13,56.0,53.0,,53.0,Support,53.0,85.0,-32.0
2022-06-29,67.0,61.0,,61.0,Support,61.0,85.0,-24.0
2022-07-04,68.0,62.0,,62.0,Support,62.0,85.0,-23.0
2022-07-15,76.0,74.0,,74.0,Support,74.0,85.0,-11.0
2022-07-27,117.0,104.0,117.0,,Resistance,117.0,85.0,32.0
2022-07-29,122.0,112.0,122.0,,Resistance,122.0,85.0,37.0
2022-08-12,173.0,133.0,173.0,,Resistance,173.0,85.0,88.0
2022-08-19,148.0,134.0,148.0,,Resistance,148.0,85.0,63.0
2022-08-26,184.0,163.0,184.0,,Resistance,184.0,85.0,99.0
2022-09-06,246.0,198.0,246.0,,Resistance,246.0,85.0,161.0
2022-09-14,220.0,192.0,220.0,,Resistance,220.0,85.0,135.0
2022-10-10,199.0,173.0,199.0,,Resistance,199.0,85.0,114.0
2022-10-13,177.0,164.0,177.0,,Resistance,177.0,85.0,92.0
2022-10-18,172.0,162.0,172.0,,Resistance,172.0,85.0,87.0
2022-10-31,192.0,183.0,192.0,,Resistance,192.0,85.0,107.0
2022-11-03,191.0,178.0,191.0,,Resistance,191.0,85.0,106.0
2022-11-09,190.0,183.0,190.0,,Resistance,190.0,85.0,105.0
2022-11-11,194.0,184.0,194.0,,Resistance,194.0,85.0,109.0
2022-11-24,198.0,186.0,198.0,,Resistance,198.0,85.0,113.0
