Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-09,286.0,270.0,,270.0,Support,270.0,344.0,-74.0
2020-01-28,248.0,234.0,,234.0,Support,234.0,344.0,-110.0
2020-02-03,220.0,200.0,,200.0,Support,200.0,344.0,-144.0
2020-02-11,216.0,210.0,,210.0,Support,210.0,344.0,-134.0
2020-02-17,212.0,204.0,,204.0,Support,204.0,344.0,-140.0
2020-02-28,175.0,154.0,,154.0,Support,154.0,344.0,-190.0
2020-03-10,151.0,134.0,,134.0,Support,134.0,344.0,-210.0
2020-03-20,112.0,82.0,112.0,82.0,Support,82.0,344.0,-262.0
2020-03-24,102.0,85.0,,85.0,Support,85.0,344.0,-259.0
2020-04-09,126.0,112.0,,112.0,Support,112.0,344.0,-232.0
2020-04-16,135.0,126.0,,126.0,Support,126.0,344.0,-218.0
2020-04-27,136.0,127.0,,127.0,Support,127.0,344.0,-217.0
2020-04-29,135.0,128.0,,128.0,Support,128.0,344.0,-216.0
2020-05-04,135.0,126.0,,126.0,Support,126.0,344.0,-218.0
2020-05-14,127.0,120.0,,120.0,Support,120.0,344.0,-224.0
2020-05-20,127.0,120.0,,120.0,Support,120.0,344.0,-224.0
2020-05-29,133.0,125.0,,125.0,Support,125.0,344.0,-219.0
2020-06-05,137.0,129.0,,129.0,Support,129.0,344.0,-215.0
2020-06-12,131.0,124.0,,124.0,Support,124.0,344.0,-220.0
2020-06-26,139.0,133.0,,133.0,Support,133.0,344.0,-211.0
2020-07-01,139.0,132.0,,132.0,Support,132.0,344.0,-212.0
2020-07-10,159.0,152.0,,152.0,Support,152.0,344.0,-192.0
2020-07-15,228.0,206.0,,206.0,Support,206.0,344.0,-138.0
2020-08-04,258.0,240.0,,240.0,Support,240.0,344.0,-104.0
2020-08-10,294.0,272.0,,272.0,Support,272.0,344.0,-72.0
2020-08-14,282.0,266.0,,266.0,Support,266.0,344.0,-78.0
2020-09-11,254.0,228.0,,228.0,Support,228.0,344.0,-116.0
2020-09-25,226.0,212.0,,212.0,Support,212.0,344.0,-132.0
2020-09-30,240.0,226.0,,226.0,Support,226.0,344.0,-118.0
2020-10-13,238.0,226.0,,226.0,Support,226.0,344.0,-118.0
2020-10-22,248.0,240.0,,240.0,Support,240.0,344.0,-104.0
2020-11-02,242.0,230.0,,230.0,Support,230.0,344.0,-114.0
2020-11-13,256.0,246.0,,246.0,Support,246.0,344.0,-98.0
2020-12-01,450.0,400.0,450.0,,Resistance,450.0,344.0,106.0
2020-12-03,430.0,408.0,430.0,,Resistance,430.0,344.0,86.0
2020-12-08,466.0,418.0,466.0,,Resistance,466.0,344.0,122.0
2020-12-21,434.0,412.0,434.0,,Resistance,434.0,344.0,90.0
2021-01-04,362.0,328.0,,328.0,Support,328.0,344.0,-16.0
2021-01-05,396.0,362.0,396.0,,Resistance,396.0,344.0,52.0
2021-01-07,368.0,342.0,,342.0,Support,342.0,344.0,-2.0
2021-01-14,420.0,386.0,420.0,,Resistance,420.0,344.0,76.0
2021-01-21,380.0,364.0,380.0,,Resistance,380.0,344.0,36.0
2021-01-29,304.0,274.0,,274.0,Support,274.0,344.0,-70.0
2021-02-04,316.0,292.0,,292.0,Support,292.0,344.0,-52.0
2021-02-11,322.0,308.0,,308.0,Support,308.0,344.0,-36.0
2021-02-19,316.0,310.0,,310.0,Support,310.0,344.0,-34.0
2021-02-24,324.0,312.0,,312.0,Support,312.0,344.0,-32.0
2021-02-26,316.0,304.0,,304.0,Support,304.0,344.0,-40.0
2021-03-09,298.0,284.0,,284.0,Support,284.0,344.0,-60.0
2021-03-16,406.0,366.0,406.0,,Resistance,406.0,344.0,62.0
2021-03-25,460.0,432.0,460.0,,Resistance,460.0,344.0,116.0
2021-04-13,358.0,342.0,,342.0,Support,342.0,344.0,-2.0
2021-04-14,364.0,354.0,364.0,,Resistance,364.0,344.0,20.0
2021-04-20,388.0,374.0,388.0,,Resistance,388.0,344.0,44.0
2021-04-27,368.0,342.0,,342.0,Support,342.0,344.0,-2.0
2021-04-30,376.0,364.0,376.0,,Resistance,376.0,344.0,32.0
2021-05-07,388.0,368.0,388.0,,Resistance,388.0,344.0,44.0
2021-05-17,384.0,368.0,384.0,,Resistance,384.0,344.0,40.0
2021-05-19,398.0,372.0,398.0,,Resistance,398.0,344.0,54.0
2021-06-02,384.0,352.0,384.0,,Resistance,384.0,344.0,40.0
2021-06-08,374.0,360.0,374.0,,Resistance,374.0,344.0,30.0
2021-06-16,386.0,356.0,386.0,,Resistance,386.0,344.0,42.0
2021-06-21,358.0,342.0,,342.0,Support,342.0,344.0,-2.0
2021-06-28,364.0,342.0,364.0,,Resistance,364.0,344.0,20.0
2021-07-01,350.0,324.0,350.0,324.0,Resistance,350.0,344.0,6.0
2021-07-01,350.0,324.0,350.0,324.0,Support,324.0,344.0,-20.0
2021-07-06,346.0,336.0,346.0,,Resistance,346.0,344.0,2.0
2021-07-14,312.0,296.0,,296.0,Support,296.0,344.0,-48.0
2021-07-21,314.0,306.0,,306.0,Support,306.0,344.0,-38.0
2021-08-10,310.0,292.0,,292.0,Support,292.0,344.0,-52.0
2021-08-20,300.0,282.0,,282.0,Support,282.0,344.0,-62.0
2021-08-27,292.0,282.0,,282.0,Support,282.0,344.0,-62.0
2021-09-29,362.0,332.0,362.0,,Resistance,362.0,344.0,18.0
2021-10-05,370.0,340.0,370.0,340.0,Resistance,370.0,344.0,26.0
2021-10-05,370.0,340.0,370.0,340.0,Support,340.0,344.0,-4.0
2021-10-08,338.0,316.0,,316.0,Support,316.0,344.0,-28.0
2021-10-12,358.0,340.0,358.0,,Resistance,358.0,344.0,14.0
2021-10-15,338.0,324.0,,324.0,Support,324.0,344.0,-20.0
2021-10-22,304.0,290.0,,290.0,Support,290.0,344.0,-54.0
2021-10-29,302.0,288.0,302.0,288.0,Support,288.0,344.0,-56.0
2021-11-05,298.0,292.0,,292.0,Support,292.0,344.0,-52.0
2021-11-16,296.0,288.0,,288.0,Support,288.0,344.0,-56.0
2021-11-18,294.0,288.0,,288.0,Support,288.0,344.0,-56.0
2021-12-02,274.0,256.0,,256.0,Support,256.0,344.0,-88.0
2021-12-15,276.0,260.0,276.0,260.0,Support,260.0,344.0,-84.0
2021-12-20,272.0,266.0,,266.0,Support,266.0,344.0,-78.0
2021-12-23,270.0,260.0,,260.0,Support,260.0,344.0,-84.0
2021-12-27,266.0,260.0,,260.0,Support,260.0,344.0,-84.0
2022-01-04,264.0,252.0,,252.0,Support,252.0,344.0,-92.0
2022-01-26,264.0,250.0,,250.0,Support,250.0,344.0,-94.0
2022-02-16,352.0,326.0,352.0,,Resistance,352.0,344.0,8.0
2022-03-01,452.0,412.0,452.0,,Resistance,452.0,344.0,108.0
2022-03-08,484.0,430.0,484.0,,Resistance,484.0,344.0,140.0
2022-03-18,434.0,410.0,434.0,,Resistance,434.0,344.0,90.0
2022-03-23,450.0,430.0,450.0,,Resistance,450.0,344.0,106.0
2022-04-01,434.0,400.0,434.0,,Resistance,434.0,344.0,90.0
2022-04-11,610.0,560.0,610.0,,Resistance,610.0,344.0,266.0
2022-04-14,645.0,605.0,645.0,,Resistance,645.0,344.0,301.0
2022-04-20,600.0,535.0,600.0,,Resistance,600.0,344.0,256.0
2022-05-09,575.0,525.0,575.0,,Resistance,575.0,344.0,231.0
2022-05-11,545.0,500.0,545.0,,Resistance,545.0,344.0,201.0
2022-05-18,595.0,560.0,595.0,,Resistance,595.0,344.0,251.0
2022-05-20,615.0,570.0,615.0,,Resistance,615.0,344.0,271.0
2022-05-30,468.0,420.0,468.0,,Resistance,468.0,344.0,124.0
2022-06-02,442.0,410.0,442.0,,Resistance,442.0,344.0,98.0
2022-06-07,464.0,434.0,464.0,,Resistance,464.0,344.0,120.0
2022-06-16,408.0,380.0,408.0,,Resistance,408.0,344.0,64.0
2022-06-22,418.0,384.0,418.0,,Resistance,418.0,344.0,74.0
2022-07-04,342.0,322.0,,322.0,Support,322.0,344.0,-22.0
2022-07-05,354.0,340.0,354.0,,Resistance,354.0,344.0,10.0
2022-07-06,350.0,336.0,,336.0,Support,336.0,344.0,-8.0
2022-07-18,342.0,330.0,,330.0,Support,330.0,344.0,-14.0
2022-07-29,412.0,392.0,412.0,,Resistance,412.0,344.0,68.0
2022-08-16,380.0,366.0,380.0,366.0,Resistance,380.0,344.0,36.0
2022-08-23,378.0,358.0,378.0,,Resistance,378.0,344.0,34.0
2022-08-30,388.0,378.0,388.0,,Resistance,388.0,344.0,44.0
2022-09-08,428.0,410.0,428.0,,Resistance,428.0,344.0,84.0
2022-09-12,444.0,426.0,444.0,,Resistance,444.0,344.0,100.0
2022-09-15,448.0,424.0,448.0,,Resistance,448.0,344.0,104.0
2022-09-20,460.0,420.0,460.0,,Resistance,460.0,344.0,116.0
2022-09-22,438.0,422.0,438.0,,Resistance,438.0,344.0,94.0
2022-09-28,432.0,398.0,432.0,,Resistance,432.0,344.0,88.0
2022-10-06,410.0,396.0,410.0,,Resistance,410.0,344.0,66.0
2022-10-14,414.0,402.0,414.0,,Resistance,414.0,344.0,70.0
2022-10-18,418.0,392.0,418.0,,Resistance,418.0,344.0,74.0
2022-10-21,398.0,386.0,398.0,,Resistance,398.0,344.0,54.0
2022-10-27,404.0,388.0,404.0,,Resistance,404.0,344.0,60.0
2022-11-03,412.0,384.0,412.0,,Resistance,412.0,344.0,68.0
2022-11-16,388.0,364.0,388.0,,Resistance,388.0,344.0,44.0
2022-11-22,376.0,366.0,376.0,,Resistance,376.0,344.0,32.0
2022-11-30,370.0,360.0,370.0,,Resistance,370.0,344.0,26.0
2022-12-05,376.0,358.0,376.0,,Resistance,376.0,344.0,32.0
2022-12-16,324.0,308.0,,308.0,Support,308.0,344.0,-36.0
2022-12-29,304.0,298.0,,298.0,Support,298.0,344.0,-46.0
2023-01-12,276.0,264.0,,264.0,Support,264.0,344.0,-80.0
2023-01-26,306.0,292.0,,292.0,Support,292.0,344.0,-52.0
2023-02-06,286.0,268.0,,268.0,Support,268.0,344.0,-76.0
2023-02-10,280.0,270.0,,270.0,Support,270.0,344.0,-74.0
2023-03-08,290.0,280.0,,280.0,Support,280.0,344.0,-64.0
2023-03-10,292.0,284.0,,284.0,Support,284.0,344.0,-60.0
2023-03-14,302.0,284.0,,284.0,Support,284.0,344.0,-60.0
2023-03-16,294.0,276.0,,276.0,Support,276.0,344.0,-68.0
2023-03-31,312.0,302.0,,302.0,Support,302.0,344.0,-42.0
2023-04-10,314.0,304.0,,304.0,Support,304.0,344.0,-40.0
2023-05-02,336.0,316.0,,316.0,Support,316.0,344.0,-28.0
2023-05-08,306.0,290.0,,290.0,Support,290.0,344.0,-54.0
2023-05-11,308.0,300.0,,300.0,Support,300.0,344.0,-44.0
2023-05-16,318.0,306.0,,306.0,Support,306.0,344.0,-38.0
2023-06-12,356.0,346.0,356.0,,Resistance,356.0,344.0,12.0
2023-06-13,350.0,342.0,,342.0,Support,342.0,344.0,-2.0
2023-06-15,354.0,342.0,,342.0,Support,342.0,344.0,-2.0
2023-06-16,366.0,350.0,366.0,,Resistance,366.0,344.0,22.0
2023-06-20,360.0,342.0,,342.0,Support,342.0,344.0,-2.0
2023-06-22,372.0,364.0,372.0,,Resistance,372.0,344.0,28.0
2023-07-11,406.0,392.0,406.0,,Resistance,406.0,344.0,62.0
2023-07-17,408.0,396.0,408.0,,Resistance,408.0,344.0,64.0
2023-07-31,404.0,390.0,404.0,,Resistance,404.0,344.0,60.0
2023-08-04,402.0,382.0,402.0,,Resistance,402.0,344.0,58.0
2023-08-10,394.0,382.0,394.0,,Resistance,394.0,344.0,50.0
2023-08-16,400.0,386.0,400.0,,Resistance,400.0,344.0,56.0
2023-09-04,424.0,412.0,424.0,,Resistance,424.0,344.0,80.0
2023-09-14,428.0,416.0,428.0,,Resistance,428.0,344.0,84.0
2023-09-21,466.0,428.0,466.0,,Resistance,466.0,344.0,122.0
2023-09-25,510.0,446.0,510.0,,Resistance,510.0,344.0,166.0
2023-10-03,545.0,500.0,545.0,,Resistance,545.0,344.0,201.0
2023-10-25,396.0,384.0,396.0,,Resistance,396.0,344.0,52.0
2023-10-31,374.0,320.0,,320.0,Support,320.0,344.0,-24.0
2023-11-01,380.0,350.0,380.0,,Resistance,380.0,344.0,36.0
2023-11-17,398.0,390.0,398.0,,Resistance,398.0,344.0,54.0
2023-12-01,372.0,358.0,372.0,,Resistance,372.0,344.0,28.0
2023-12-07,374.0,358.0,374.0,,Resistance,374.0,344.0,30.0
2023-12-13,348.0,336.0,,336.0,Support,336.0,344.0,-8.0
2023-12-15,360.0,346.0,360.0,,Resistance,360.0,344.0,16.0
2023-12-20,360.0,348.0,360.0,,Resistance,360.0,344.0,16.0
