Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-02,1210.0,1175.0,,1175.0,Support,1175.0,1450.0,-275.0
2020-01-06,1255.0,1205.0,,1205.0,Support,1205.0,1450.0,-245.0
2020-01-09,1255.0,1230.0,,1230.0,Support,1230.0,1450.0,-220.0
2020-01-16,1220.0,1190.0,,1190.0,Support,1190.0,1450.0,-260.0
2020-01-23,1110.0,1055.0,,1055.0,Support,1055.0,1450.0,-395.0
2020-01-28,1045.0,955.0,,955.0,Support,955.0,1450.0,-495.0
2020-02-03,965.0,885.0,,885.0,Support,885.0,1450.0,-565.0
2020-02-11,860.0,825.0,,825.0,Support,825.0,1450.0,-625.0
2020-02-17,805.0,775.0,,775.0,Support,775.0,1450.0,-675.0
2020-02-28,750.0,685.0,,685.0,Support,685.0,1450.0,-765.0
2020-03-20,486.0,364.0,,364.0,Support,364.0,1450.0,-1086.0
2020-04-06,775.0,720.0,,720.0,Support,720.0,1450.0,-730.0
2020-04-08,760.0,710.0,,710.0,Support,710.0,1450.0,-740.0
2020-04-22,740.0,690.0,,690.0,Support,690.0,1450.0,-760.0
2020-05-05,735.0,690.0,,690.0,Support,690.0,1450.0,-760.0
2020-05-13,745.0,700.0,,700.0,Support,700.0,1450.0,-750.0
2020-05-18,720.0,675.0,,675.0,Support,675.0,1450.0,-775.0
2020-05-26,710.0,650.0,,650.0,Support,650.0,1450.0,-800.0
2020-06-05,705.0,670.0,,670.0,Support,670.0,1450.0,-780.0
2020-06-12,670.0,625.0,,625.0,Support,625.0,1450.0,-825.0
2020-06-16,690.0,650.0,,650.0,Support,650.0,1450.0,-800.0
2020-06-23,685.0,655.0,,655.0,Support,655.0,1450.0,-795.0
2020-07-01,675.0,650.0,,650.0,Support,650.0,1450.0,-800.0
2020-07-15,965.0,870.0,,870.0,Support,870.0,1450.0,-580.0
2020-07-21,990.0,925.0,,925.0,Support,925.0,1450.0,-525.0
2020-07-23,1080.0,945.0,,945.0,Support,945.0,1450.0,-505.0
2020-07-28,1075.0,1000.0,1075.0,1000.0,Support,1000.0,1450.0,-450.0
2020-08-05,960.0,910.0,,910.0,Support,910.0,1450.0,-540.0
2020-09-01,1060.0,995.0,,995.0,Support,995.0,1450.0,-455.0
2020-09-04,1030.0,1010.0,,1010.0,Support,1010.0,1450.0,-440.0
2020-09-11,935.0,835.0,,835.0,Support,835.0,1450.0,-615.0
2020-09-17,940.0,900.0,,900.0,Support,900.0,1450.0,-550.0
2020-09-30,970.0,905.0,,905.0,Support,905.0,1450.0,-545.0
2020-10-02,935.0,890.0,,890.0,Support,890.0,1450.0,-560.0
2020-10-09,935.0,905.0,,905.0,Support,905.0,1450.0,-545.0
2020-10-13,950.0,905.0,,905.0,Support,905.0,1450.0,-545.0
2020-10-16,1000.0,920.0,,920.0,Support,920.0,1450.0,-530.0
2020-11-02,950.0,920.0,,920.0,Support,920.0,1450.0,-530.0
2020-11-04,950.0,910.0,,910.0,Support,910.0,1450.0,-540.0
2020-11-13,1020.0,990.0,,990.0,Support,990.0,1450.0,-460.0
2020-11-18,1070.0,1040.0,,1040.0,Support,1040.0,1450.0,-410.0
2020-11-25,1555.0,1410.0,1555.0,,Resistance,1555.0,1450.0,105.0
2020-11-30,1840.0,1570.0,1840.0,,Resistance,1840.0,1450.0,390.0
2020-12-08,2010.0,1785.0,2010.0,,Resistance,2010.0,1450.0,560.0
2020-12-21,2050.0,1840.0,2050.0,1840.0,Resistance,2050.0,1450.0,600.0
2020-12-29,1925.0,1840.0,1925.0,,Resistance,1925.0,1450.0,475.0
2021-01-05,1795.0,1685.0,1795.0,,Resistance,1795.0,1450.0,345.0
2021-01-14,2000.0,1855.0,2000.0,,Resistance,2000.0,1450.0,550.0
2021-01-21,1765.0,1700.0,1765.0,,Resistance,1765.0,1450.0,315.0
2021-01-29,1540.0,1375.0,1540.0,,Resistance,1540.0,1450.0,90.0
2021-02-02,1530.0,1430.0,1530.0,,Resistance,1530.0,1450.0,80.0
2021-02-04,1530.0,1390.0,,1390.0,Support,1390.0,1450.0,-60.0
2021-02-05,1615.0,1530.0,1615.0,,Resistance,1615.0,1450.0,165.0
2021-02-19,1440.0,1405.0,,1405.0,Support,1405.0,1450.0,-45.0
2021-02-23,1575.0,1495.0,1575.0,,Resistance,1575.0,1450.0,125.0
2021-02-26,1500.0,1440.0,,1440.0,Support,1440.0,1450.0,-10.0
2021-03-02,1590.0,1500.0,1590.0,,Resistance,1590.0,1450.0,140.0
2021-03-04,1530.0,1445.0,,1445.0,Support,1445.0,1450.0,-5.0
2021-03-08,1490.0,1405.0,1490.0,,Resistance,1490.0,1450.0,40.0
2021-03-16,1585.0,1505.0,1585.0,,Resistance,1585.0,1450.0,135.0
