Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-30,550.0,525.0,,525.0,Support,525.0,595.0,-70.0
2020-01-03,570.0,540.0,,540.0,Support,540.0,595.0,-55.0
2020-01-08,570.0,452.0,,452.0,Support,452.0,595.0,-143.0
2020-01-13,550.0,500.0,,500.0,Support,500.0,595.0,-95.0
2020-01-15,555.0,530.0,,530.0,Support,530.0,595.0,-65.0
2020-01-28,500.0,452.0,,452.0,Support,452.0,595.0,-143.0
2020-01-31,510.0,430.0,,430.0,Support,430.0,595.0,-165.0
2020-02-04,505.0,420.0,,420.0,Support,420.0,595.0,-175.0
2020-02-14,520.0,428.0,520.0,428.0,Support,428.0,595.0,-167.0
2020-02-25,298.0,248.0,,248.0,Support,248.0,595.0,-347.0
2020-02-28,268.0,220.0,,220.0,Support,220.0,595.0,-375.0
2020-03-09,316.0,264.0,,264.0,Support,264.0,595.0,-331.0
2020-03-13,266.0,240.0,,240.0,Support,240.0,595.0,-355.0
2020-03-20,230.0,210.0,,210.0,Support,210.0,595.0,-385.0
2020-03-24,224.0,210.0,,210.0,Support,210.0,595.0,-385.0
2020-03-31,242.0,226.0,,226.0,Support,226.0,595.0,-369.0
2020-04-09,310.0,288.0,,288.0,Support,288.0,595.0,-307.0
2020-04-20,420.0,382.0,,382.0,Support,382.0,595.0,-213.0
2020-04-24,410.0,354.0,,354.0,Support,354.0,595.0,-241.0
2020-04-28,410.0,380.0,,380.0,Support,380.0,595.0,-215.0
2020-08-27,635.0,530.0,635.0,,Resistance,635.0,595.0,40.0
2020-09-01,500.0,466.0,,466.0,Support,466.0,595.0,-129.0
2020-09-09,530.0,482.0,,482.0,Support,482.0,595.0,-113.0
2020-09-11,510.0,478.0,,478.0,Support,478.0,595.0,-117.0
2020-10-07,488.0,450.0,,450.0,Support,450.0,595.0,-145.0
2020-10-13,490.0,470.0,,470.0,Support,470.0,595.0,-125.0
2020-10-23,498.0,470.0,498.0,470.0,Support,470.0,595.0,-125.0
2020-11-03,482.0,450.0,,450.0,Support,450.0,595.0,-145.0
2020-11-16,600.0,490.0,600.0,490.0,Resistance,600.0,595.0,5.0
2020-11-16,600.0,490.0,600.0,490.0,Support,490.0,595.0,-105.0
2020-11-18,500.0,496.0,,496.0,Support,496.0,595.0,-99.0
2020-11-26,525.0,496.0,,496.0,Support,496.0,595.0,-99.0
2020-12-04,525.0,500.0,,500.0,Support,500.0,595.0,-95.0
2020-12-10,530.0,490.0,,490.0,Support,490.0,595.0,-105.0
2020-12-14,530.0,500.0,,500.0,Support,500.0,595.0,-95.0
2020-12-16,525.0,490.0,,490.0,Support,490.0,595.0,-105.0
2021-01-19,630.0,580.0,,580.0,Support,580.0,595.0,-15.0
2021-01-25,725.0,645.0,725.0,,Resistance,725.0,595.0,130.0
2021-01-27,680.0,610.0,680.0,610.0,Resistance,680.0,595.0,85.0
2021-01-29,725.0,600.0,725.0,600.0,Resistance,725.0,595.0,130.0
2021-02-08,720.0,665.0,720.0,,Resistance,720.0,595.0,125.0
2021-02-11,690.0,645.0,690.0,645.0,Resistance,690.0,595.0,95.0
2021-03-04,730.0,650.0,730.0,,Resistance,730.0,595.0,135.0
2021-03-12,720.0,655.0,720.0,,Resistance,720.0,595.0,125.0
2021-03-29,635.0,575.0,635.0,,Resistance,635.0,595.0,40.0
2021-03-31,620.0,580.0,,580.0,Support,580.0,595.0,-15.0
2021-04-01,640.0,595.0,640.0,,Resistance,640.0,595.0,45.0
2021-04-06,600.0,555.0,600.0,,Resistance,600.0,595.0,5.0
2021-04-07,575.0,550.0,,550.0,Support,550.0,595.0,-45.0
2021-04-15,670.0,580.0,670.0,,Resistance,670.0,595.0,75.0
2021-04-21,600.0,590.0,,590.0,Support,590.0,595.0,-5.0
2021-04-23,610.0,585.0,610.0,585.0,Resistance,610.0,595.0,15.0
2021-04-23,610.0,585.0,610.0,585.0,Support,585.0,595.0,-10.0
2021-04-28,600.0,580.0,,580.0,Support,580.0,595.0,-15.0
2021-05-04,595.0,570.0,,570.0,Support,570.0,595.0,-25.0
2021-05-10,545.0,510.0,,510.0,Support,510.0,595.0,-85.0
2021-05-18,590.0,496.0,590.0,496.0,Support,496.0,595.0,-99.0
2021-05-21,550.0,520.0,,520.0,Support,520.0,595.0,-75.0
2021-05-27,560.0,535.0,560.0,535.0,Support,535.0,595.0,-60.0
2021-06-09,530.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-06-14,525.0,505.0,,505.0,Support,505.0,595.0,-90.0
2021-06-21,555.0,505.0,,505.0,Support,505.0,595.0,-90.0
2021-06-23,570.0,540.0,,540.0,Support,540.0,595.0,-55.0
2021-06-25,560.0,535.0,,535.0,Support,535.0,595.0,-60.0
2021-07-01,550.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-07-14,540.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-07-22,530.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-07-29,615.0,525.0,615.0,,Resistance,615.0,595.0,20.0
2021-08-02,615.0,550.0,615.0,,Resistance,615.0,595.0,20.0
2021-08-04,545.0,525.0,,525.0,Support,525.0,595.0,-70.0
2021-08-16,565.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-08-18,620.0,550.0,620.0,,Resistance,620.0,595.0,25.0
2021-08-20,565.0,520.0,,520.0,Support,520.0,595.0,-75.0
2021-08-31,640.0,530.0,640.0,,Resistance,640.0,595.0,45.0
2021-09-08,600.0,530.0,600.0,,Resistance,600.0,595.0,5.0
2021-09-10,550.0,525.0,,525.0,Support,525.0,595.0,-70.0
2021-09-28,540.0,500.0,,500.0,Support,500.0,595.0,-95.0
2021-09-29,675.0,540.0,675.0,,Resistance,675.0,595.0,80.0
2021-10-04,670.0,635.0,670.0,,Resistance,670.0,595.0,75.0
2021-10-08,600.0,575.0,,575.0,Support,575.0,595.0,-20.0
2021-10-12,610.0,590.0,610.0,,Resistance,610.0,595.0,15.0
2021-10-18,585.0,550.0,,550.0,Support,550.0,595.0,-45.0
2021-10-22,580.0,550.0,,550.0,Support,550.0,595.0,-45.0
2021-11-16,535.0,520.0,,520.0,Support,520.0,595.0,-75.0
2021-11-18,530.0,515.0,,515.0,Support,515.0,595.0,-80.0
2021-11-24,575.0,530.0,575.0,530.0,Support,530.0,595.0,-65.0
2021-12-21,520.0,486.0,,486.0,Support,486.0,595.0,-109.0
2022-01-03,840.0,700.0,840.0,,Resistance,840.0,595.0,245.0
2022-01-07,850.0,660.0,850.0,660.0,Resistance,850.0,595.0,255.0
2022-01-17,700.0,640.0,700.0,,Resistance,700.0,595.0,105.0
2022-01-20,770.0,695.0,770.0,,Resistance,770.0,595.0,175.0
2022-02-02,605.0,560.0,,560.0,Support,560.0,595.0,-35.0
2022-02-10,635.0,600.0,635.0,,Resistance,635.0,595.0,40.0
2022-02-15,585.0,540.0,,540.0,Support,540.0,595.0,-55.0
2022-02-17,580.0,545.0,,545.0,Support,545.0,595.0,-50.0
2022-02-24,540.0,484.0,,484.0,Support,484.0,595.0,-111.0
2022-03-04,545.0,520.0,,520.0,Support,520.0,595.0,-75.0
2022-03-10,540.0,515.0,,515.0,Support,515.0,595.0,-80.0
2022-03-23,635.0,500.0,,500.0,Support,500.0,595.0,-95.0
2022-03-24,775.0,595.0,775.0,,Resistance,775.0,595.0,180.0
2022-03-29,610.0,570.0,,570.0,Support,570.0,595.0,-25.0
2022-03-30,615.0,580.0,615.0,,Resistance,615.0,595.0,20.0
2022-04-01,595.0,570.0,,570.0,Support,570.0,595.0,-25.0
2022-04-04,635.0,590.0,635.0,,Resistance,635.0,595.0,40.0
2022-04-08,625.0,590.0,625.0,,Resistance,625.0,595.0,30.0
2022-04-12,600.0,560.0,,560.0,Support,560.0,595.0,-35.0
2022-04-25,545.0,525.0,,525.0,Support,525.0,595.0,-70.0
2022-04-27,540.0,525.0,,525.0,Support,525.0,595.0,-70.0
2022-05-10,525.0,505.0,,505.0,Support,505.0,595.0,-90.0
