Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-11-27,60.0,52.0,60.0,,Resistance,60.0,57.0,3.0
2021-11-12,67.0,50.0,67.0,,Resistance,67.0,57.0,10.0
2021-11-17,64.0,56.0,64.0,,Resistance,64.0,57.0,7.0
2021-11-22,77.0,63.0,77.0,,Resistance,77.0,57.0,20.0
2021-11-25,66.0,58.0,66.0,,Resistance,66.0,57.0,9.0
2021-12-02,59.0,50.0,,50.0,Support,50.0,57.0,-7.0
2021-12-14,59.0,52.0,59.0,,Resistance,59.0,57.0,2.0
2021-12-20,53.0,50.0,,50.0,Support,50.0,57.0,-7.0
2021-12-24,52.0,50.0,,50.0,Support,50.0,57.0,-7.0
2021-12-27,66.0,51.0,66.0,,Resistance,66.0,57.0,9.0
2021-12-30,62.0,53.0,62.0,53.0,Resistance,62.0,57.0,5.0
2021-12-30,62.0,53.0,62.0,53.0,Support,53.0,57.0,-4.0
2022-01-05,62.0,55.0,62.0,,Resistance,62.0,57.0,5.0
2022-01-13,55.0,50.0,55.0,50.0,Support,50.0,57.0,-7.0
2022-01-20,59.0,51.0,59.0,,Resistance,59.0,57.0,2.0
2022-02-11,55.0,50.0,,50.0,Support,50.0,57.0,-7.0
2022-02-18,61.0,50.0,61.0,50.0,Resistance,61.0,57.0,4.0
2022-02-18,61.0,50.0,61.0,50.0,Support,50.0,57.0,-7.0
2022-02-24,52.0,50.0,,50.0,Support,50.0,57.0,-7.0
2022-04-20,52.0,50.0,,50.0,Support,50.0,57.0,-7.0
2022-06-21,63.0,56.0,63.0,,Resistance,63.0,57.0,6.0
2022-06-27,62.0,59.0,62.0,,Resistance,62.0,57.0,5.0
2022-06-29,68.0,60.0,68.0,,Resistance,68.0,57.0,11.0
2022-07-11,56.0,53.0,,53.0,Support,53.0,57.0,-4.0
2022-07-13,60.0,55.0,60.0,,Resistance,60.0,57.0,3.0
2022-08-02,56.0,52.0,56.0,52.0,Support,52.0,57.0,-5.0
2022-08-31,54.0,52.0,,52.0,Support,52.0,57.0,-5.0
2022-09-06,61.0,57.0,61.0,,Resistance,61.0,57.0,4.0
2022-09-15,69.0,63.0,69.0,,Resistance,69.0,57.0,12.0
2022-09-20,88.0,81.0,88.0,,Resistance,88.0,57.0,31.0
2022-09-23,109.0,89.0,109.0,,Resistance,109.0,57.0,52.0
2022-09-29,106.0,89.0,106.0,,Resistance,106.0,57.0,49.0
2022-10-05,103.0,94.0,103.0,,Resistance,103.0,57.0,46.0
2022-10-11,106.0,93.0,106.0,,Resistance,106.0,57.0,49.0
2022-10-17,112.0,97.0,112.0,,Resistance,112.0,57.0,55.0
2022-10-20,108.0,98.0,108.0,,Resistance,108.0,57.0,51.0
2022-10-26,110.0,99.0,110.0,,Resistance,110.0,57.0,53.0
2022-11-03,102.0,94.0,102.0,,Resistance,102.0,57.0,45.0
2022-11-08,126.0,113.0,126.0,,Resistance,126.0,57.0,69.0
2022-11-14,131.0,117.0,131.0,,Resistance,131.0,57.0,74.0
2022-11-17,123.0,115.0,123.0,,Resistance,123.0,57.0,66.0
2022-11-23,110.0,95.0,110.0,,Resistance,110.0,57.0,53.0
2022-11-30,95.0,87.0,95.0,,Resistance,95.0,57.0,38.0
2022-12-05,92.0,87.0,92.0,,Resistance,92.0,57.0,35.0
2022-12-12,80.0,74.0,80.0,,Resistance,80.0,57.0,23.0
2022-12-14,81.0,76.0,81.0,,Resistance,81.0,57.0,24.0
2022-12-19,77.0,72.0,77.0,,Resistance,77.0,57.0,20.0
2022-12-27,79.0,77.0,79.0,,Resistance,79.0,57.0,22.0
2023-01-04,68.0,61.0,68.0,,Resistance,68.0,57.0,11.0
2023-01-06,61.0,56.0,,56.0,Support,56.0,57.0,-1.0
2023-01-10,68.0,59.0,68.0,,Resistance,68.0,57.0,11.0
2023-01-12,64.0,60.0,64.0,,Resistance,64.0,57.0,7.0
2023-01-18,71.0,65.0,71.0,,Resistance,71.0,57.0,14.0
2023-01-27,79.0,70.0,79.0,,Resistance,79.0,57.0,22.0
2023-02-08,68.0,65.0,68.0,,Resistance,68.0,57.0,11.0
2023-02-14,67.0,62.0,67.0,,Resistance,67.0,57.0,10.0
2023-02-17,67.0,62.0,67.0,,Resistance,67.0,57.0,10.0
2023-02-21,67.0,60.0,67.0,60.0,Resistance,67.0,57.0,10.0
