Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-03,486.0,480.0,,480.0,Support,480.0,1205.0,-725.0
2020-01-10,490.0,486.0,,486.0,Support,486.0,1205.0,-719.0
2020-01-16,496.0,480.0,496.0,480.0,Support,480.0,1205.0,-725.0
2020-01-23,434.0,402.0,,402.0,Support,402.0,1205.0,-803.0
2020-02-10,430.0,410.0,,410.0,Support,410.0,1205.0,-795.0
2020-02-13,418.0,402.0,,402.0,Support,402.0,1205.0,-803.0
2020-03-04,372.0,356.0,,356.0,Support,356.0,1205.0,-849.0
2020-03-20,248.0,210.0,,210.0,Support,210.0,1205.0,-995.0
2020-03-31,308.0,292.0,,292.0,Support,292.0,1205.0,-913.0
2020-04-09,350.0,324.0,,324.0,Support,324.0,1205.0,-881.0
2020-04-22,310.0,292.0,,292.0,Support,292.0,1205.0,-913.0
2020-04-24,310.0,290.0,,290.0,Support,290.0,1205.0,-915.0
2020-04-28,310.0,290.0,,290.0,Support,290.0,1205.0,-915.0
2020-05-06,312.0,306.0,,306.0,Support,306.0,1205.0,-899.0
2020-05-19,304.0,298.0,,298.0,Support,298.0,1205.0,-907.0
2020-05-29,308.0,300.0,,300.0,Support,300.0,1205.0,-905.0
2020-06-03,316.0,302.0,,302.0,Support,302.0,1205.0,-903.0
2020-06-05,314.0,308.0,,308.0,Support,308.0,1205.0,-897.0
2020-06-12,318.0,300.0,,300.0,Support,300.0,1205.0,-905.0
2020-06-23,318.0,314.0,,314.0,Support,314.0,1205.0,-891.0
2020-06-25,320.0,308.0,,308.0,Support,308.0,1205.0,-897.0
2020-07-01,326.0,316.0,,316.0,Support,316.0,1205.0,-889.0
2020-07-08,342.0,334.0,,334.0,Support,334.0,1205.0,-871.0
2020-07-21,384.0,372.0,,372.0,Support,372.0,1205.0,-833.0
2020-08-04,404.0,384.0,,384.0,Support,384.0,1205.0,-821.0
2020-08-07,420.0,400.0,,400.0,Support,400.0,1205.0,-805.0
2020-08-31,410.0,388.0,,388.0,Support,388.0,1205.0,-817.0
2020-09-04,400.0,390.0,,390.0,Support,390.0,1205.0,-815.0
2020-09-11,380.0,336.0,,336.0,Support,336.0,1205.0,-869.0
2020-09-24,362.0,346.0,,346.0,Support,346.0,1205.0,-859.0
2020-09-29,376.0,364.0,,364.0,Support,364.0,1205.0,-841.0
2020-10-07,376.0,370.0,,370.0,Support,370.0,1205.0,-835.0
2020-10-09,380.0,370.0,,370.0,Support,370.0,1205.0,-835.0
2020-10-15,380.0,368.0,,368.0,Support,368.0,1205.0,-837.0
2020-10-22,372.0,366.0,,366.0,Support,366.0,1205.0,-839.0
2020-11-02,372.0,366.0,,366.0,Support,366.0,1205.0,-839.0
2020-11-05,374.0,370.0,,370.0,Support,370.0,1205.0,-835.0
2020-11-16,396.0,382.0,,382.0,Support,382.0,1205.0,-823.0
2020-11-20,402.0,374.0,,374.0,Support,374.0,1205.0,-831.0
2020-11-26,414.0,400.0,,400.0,Support,400.0,1205.0,-805.0
2020-12-07,430.0,412.0,,412.0,Support,412.0,1205.0,-793.0
2020-12-18,590.0,540.0,,540.0,Support,540.0,1205.0,-665.0
2021-01-04,505.0,448.0,505.0,448.0,Support,448.0,1205.0,-757.0
2021-01-06,500.0,470.0,,470.0,Support,470.0,1205.0,-735.0
2021-01-19,525.0,484.0,,484.0,Support,484.0,1205.0,-721.0
2021-01-29,420.0,384.0,,384.0,Support,384.0,1205.0,-821.0
2021-02-04,438.0,414.0,438.0,414.0,Support,414.0,1205.0,-791.0
2021-02-26,438.0,428.0,,428.0,Support,428.0,1205.0,-777.0
2021-03-08,438.0,420.0,438.0,420.0,Support,420.0,1205.0,-785.0
2021-03-22,438.0,428.0,,428.0,Support,428.0,1205.0,-777.0
2021-04-01,418.0,408.0,,408.0,Support,408.0,1205.0,-797.0
2021-04-08,418.0,412.0,,412.0,Support,412.0,1205.0,-793.0
2021-05-04,486.0,464.0,,464.0,Support,464.0,1205.0,-741.0
2021-05-18,474.0,440.0,,440.0,Support,440.0,1205.0,-765.0
2021-05-20,458.0,448.0,,448.0,Support,448.0,1205.0,-757.0
2021-06-02,480.0,462.0,,462.0,Support,462.0,1205.0,-743.0
2021-06-04,478.0,460.0,,460.0,Support,460.0,1205.0,-745.0
2021-06-21,470.0,440.0,,440.0,Support,440.0,1205.0,-765.0
2021-06-25,466.0,448.0,,448.0,Support,448.0,1205.0,-757.0
2021-07-01,466.0,456.0,,456.0,Support,456.0,1205.0,-749.0
2021-07-05,464.0,448.0,,448.0,Support,448.0,1205.0,-757.0
2021-07-12,505.0,468.0,,468.0,Support,468.0,1205.0,-737.0
2021-07-27,520.0,510.0,,510.0,Support,510.0,1205.0,-695.0
2021-08-04,555.0,530.0,,530.0,Support,530.0,1205.0,-675.0
2021-08-10,655.0,575.0,,575.0,Support,575.0,1205.0,-630.0
2021-08-16,610.0,590.0,,590.0,Support,590.0,1205.0,-615.0
2021-08-27,645.0,605.0,,605.0,Support,605.0,1205.0,-600.0
2021-09-07,650.0,625.0,,625.0,Support,625.0,1205.0,-580.0
2021-09-17,645.0,625.0,,625.0,Support,625.0,1205.0,-580.0
2021-09-22,645.0,630.0,,630.0,Support,630.0,1205.0,-575.0
2021-09-28,650.0,640.0,,640.0,Support,640.0,1205.0,-565.0
2021-10-04,700.0,665.0,,665.0,Support,665.0,1205.0,-540.0
2021-10-25,715.0,665.0,,665.0,Support,665.0,1205.0,-540.0
2021-10-28,715.0,675.0,,675.0,Support,675.0,1205.0,-530.0
2021-11-02,725.0,690.0,,690.0,Support,690.0,1205.0,-515.0
2021-11-08,785.0,730.0,,730.0,Support,730.0,1205.0,-475.0
2021-11-15,735.0,700.0,,700.0,Support,700.0,1205.0,-505.0
2021-12-06,830.0,780.0,,780.0,Support,780.0,1205.0,-425.0
2021-12-09,820.0,790.0,,790.0,Support,790.0,1205.0,-415.0
2021-12-17,955.0,880.0,,880.0,Support,880.0,1205.0,-325.0
2021-12-27,1035.0,960.0,,960.0,Support,960.0,1205.0,-245.0
2022-01-07,1095.0,845.0,1095.0,845.0,Support,845.0,1205.0,-360.0
2022-01-11,1075.0,985.0,,985.0,Support,985.0,1205.0,-220.0
2022-01-20,1015.0,950.0,,950.0,Support,950.0,1205.0,-255.0
2022-01-26,910.0,845.0,,845.0,Support,845.0,1205.0,-360.0
2022-02-02,865.0,840.0,,840.0,Support,840.0,1205.0,-365.0
2022-02-09,825.0,770.0,,770.0,Support,770.0,1205.0,-435.0
2022-02-17,855.0,790.0,855.0,790.0,Support,790.0,1205.0,-415.0
2022-02-24,820.0,755.0,,755.0,Support,755.0,1205.0,-450.0
2022-03-25,1500.0,1375.0,1500.0,,Resistance,1500.0,1205.0,295.0
2022-03-31,1550.0,1220.0,1550.0,,Resistance,1550.0,1205.0,345.0
2022-04-06,1425.0,1300.0,1425.0,,Resistance,1425.0,1205.0,220.0
2022-04-08,1415.0,1320.0,1415.0,,Resistance,1415.0,1205.0,210.0
2022-04-18,1285.0,1175.0,1285.0,1175.0,Resistance,1285.0,1205.0,80.0
2022-04-18,1285.0,1175.0,1285.0,1175.0,Support,1175.0,1205.0,-30.0
2022-04-22,1315.0,1165.0,1315.0,,Resistance,1315.0,1205.0,110.0
2022-04-25,1210.0,1120.0,,1120.0,Support,1120.0,1205.0,-85.0
2022-05-09,1400.0,1215.0,1400.0,,Resistance,1400.0,1205.0,195.0
2022-05-12,1210.0,1165.0,,1165.0,Support,1165.0,1205.0,-40.0
2022-05-13,1315.0,1175.0,1315.0,,Resistance,1315.0,1205.0,110.0
2022-05-18,1300.0,1230.0,1300.0,,Resistance,1300.0,1205.0,95.0
2022-05-24,1420.0,1275.0,1420.0,,Resistance,1420.0,1205.0,215.0
2022-05-30,1465.0,1375.0,1465.0,,Resistance,1465.0,1205.0,260.0
2022-06-20,990.0,910.0,,910.0,Support,910.0,1205.0,-295.0
2022-06-22,1005.0,965.0,,965.0,Support,965.0,1205.0,-240.0
2022-06-24,1020.0,980.0,,980.0,Support,980.0,1205.0,-225.0
2022-07-04,925.0,875.0,,875.0,Support,875.0,1205.0,-330.0
2022-07-15,1175.0,945.0,1175.0,945.0,Support,945.0,1205.0,-260.0
2022-07-20,1095.0,1055.0,,1055.0,Support,1055.0,1205.0,-150.0
2022-07-25,1070.0,1000.0,,1000.0,Support,1000.0,1205.0,-205.0
2022-07-27,1070.0,1020.0,,1020.0,Support,1020.0,1205.0,-185.0
2022-08-03,1000.0,950.0,,950.0,Support,950.0,1205.0,-255.0
2022-08-08,990.0,950.0,,950.0,Support,950.0,1205.0,-255.0
2022-08-18,1015.0,985.0,,985.0,Support,985.0,1205.0,-220.0
2022-08-29,1080.0,1000.0,,1000.0,Support,1000.0,1205.0,-205.0
2022-09-01,1110.0,1020.0,,1020.0,Support,1020.0,1205.0,-185.0
2022-09-05,1110.0,1045.0,,1045.0,Support,1045.0,1205.0,-160.0
2022-09-20,1140.0,1120.0,,1120.0,Support,1120.0,1205.0,-85.0
2022-09-30,1150.0,1050.0,,1050.0,Support,1050.0,1205.0,-155.0
2022-10-13,1105.0,1080.0,,1080.0,Support,1080.0,1205.0,-125.0
2022-10-26,1510.0,1320.0,1510.0,,Resistance,1510.0,1205.0,305.0
2022-11-02,1290.0,1275.0,1290.0,,Resistance,1290.0,1205.0,85.0
2022-11-08,1305.0,1225.0,1305.0,,Resistance,1305.0,1205.0,100.0
2022-11-21,1235.0,1200.0,1235.0,,Resistance,1235.0,1205.0,30.0
2022-11-23,1215.0,1185.0,1215.0,,Resistance,1215.0,1205.0,10.0
2022-12-08,1225.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2022-12-26,1195.0,1170.0,,1170.0,Support,1170.0,1205.0,-35.0
2022-12-29,1265.0,1190.0,1265.0,,Resistance,1265.0,1205.0,60.0
2023-01-03,1255.0,1195.0,1255.0,1195.0,Resistance,1255.0,1205.0,50.0
2023-01-03,1255.0,1195.0,1255.0,1195.0,Support,1195.0,1205.0,-10.0
2023-01-09,1210.0,1180.0,1210.0,,Resistance,1210.0,1205.0,5.0
2023-01-16,1235.0,1210.0,1235.0,,Resistance,1235.0,1205.0,30.0
2023-01-20,1220.0,1185.0,,1185.0,Support,1185.0,1205.0,-20.0
2023-01-30,1215.0,1200.0,1215.0,,Resistance,1215.0,1205.0,10.0
2023-02-13,1140.0,1030.0,,1030.0,Support,1030.0,1205.0,-175.0
2023-02-17,1100.0,1020.0,,1020.0,Support,1020.0,1205.0,-185.0
2023-02-28,1100.0,1020.0,,1020.0,Support,1020.0,1205.0,-185.0
2023-03-02,1090.0,1050.0,,1050.0,Support,1050.0,1205.0,-155.0
2023-03-06,1090.0,1020.0,1090.0,1020.0,Support,1020.0,1205.0,-185.0
2023-03-08,1075.0,1035.0,,1035.0,Support,1035.0,1205.0,-170.0
2023-03-16,1060.0,940.0,,940.0,Support,940.0,1205.0,-265.0
2023-03-20,990.0,945.0,,945.0,Support,945.0,1205.0,-260.0
2023-03-27,995.0,975.0,,975.0,Support,975.0,1205.0,-230.0
2023-03-29,1035.0,995.0,,995.0,Support,995.0,1205.0,-210.0
2023-04-03,1330.0,1150.0,1330.0,,Resistance,1330.0,1205.0,125.0
2023-04-11,1210.0,1130.0,1210.0,1130.0,Resistance,1210.0,1205.0,5.0
2023-04-11,1210.0,1130.0,1210.0,1130.0,Support,1130.0,1205.0,-75.0
2023-04-18,1295.0,1235.0,1295.0,,Resistance,1295.0,1205.0,90.0
2023-04-27,1235.0,1190.0,,1190.0,Support,1190.0,1205.0,-15.0
2023-05-09,1365.0,1260.0,1365.0,,Resistance,1365.0,1205.0,160.0
2023-05-22,1340.0,1285.0,1340.0,,Resistance,1340.0,1205.0,135.0
2023-05-25,1300.0,1280.0,1300.0,,Resistance,1300.0,1205.0,95.0
2023-05-26,1280.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2023-05-29,1310.0,1255.0,1310.0,,Resistance,1310.0,1205.0,105.0
2023-06-05,1300.0,1230.0,1300.0,,Resistance,1300.0,1205.0,95.0
2023-06-12,1235.0,1100.0,,1100.0,Support,1100.0,1205.0,-105.0
2023-06-14,1230.0,1180.0,,1180.0,Support,1180.0,1205.0,-25.0
2023-06-23,1265.0,1200.0,1265.0,1200.0,Resistance,1265.0,1205.0,60.0
2023-06-23,1265.0,1200.0,1265.0,1200.0,Support,1200.0,1205.0,-5.0
2023-07-03,1400.0,1220.0,1400.0,,Resistance,1400.0,1205.0,195.0
2023-07-06,1330.0,1260.0,1330.0,,Resistance,1330.0,1205.0,125.0
2023-07-10,1350.0,1295.0,1350.0,1295.0,Resistance,1350.0,1205.0,145.0
2023-07-13,1350.0,1310.0,1350.0,,Resistance,1350.0,1205.0,145.0
2023-07-20,1500.0,1310.0,1500.0,,Resistance,1500.0,1205.0,295.0
2023-07-25,1400.0,1310.0,1400.0,,Resistance,1400.0,1205.0,195.0
2023-07-27,1380.0,1335.0,1380.0,,Resistance,1380.0,1205.0,175.0
2023-07-31,1365.0,1320.0,1365.0,,Resistance,1365.0,1205.0,160.0
2023-08-10,1295.0,1260.0,1295.0,,Resistance,1295.0,1205.0,90.0
2023-08-14,1275.0,1250.0,1275.0,,Resistance,1275.0,1205.0,70.0
2023-08-21,1275.0,1235.0,1275.0,,Resistance,1275.0,1205.0,70.0
2023-08-31,1240.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2023-09-01,1255.0,1210.0,1255.0,,Resistance,1255.0,1205.0,50.0
2023-09-14,1285.0,1230.0,1285.0,,Resistance,1285.0,1205.0,80.0
2023-09-25,1300.0,1240.0,1300.0,,Resistance,1300.0,1205.0,95.0
2023-09-27,1265.0,1240.0,1265.0,,Resistance,1265.0,1205.0,60.0
2023-10-02,1255.0,1230.0,1255.0,,Resistance,1255.0,1205.0,50.0
2023-10-03,1245.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2023-10-05,1235.0,1190.0,,1190.0,Support,1190.0,1205.0,-15.0
2023-10-06,1240.0,1215.0,1240.0,,Resistance,1240.0,1205.0,35.0
2023-10-11,1255.0,1230.0,1255.0,,Resistance,1255.0,1205.0,50.0
2023-10-12,1240.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2023-10-19,1235.0,1200.0,,1200.0,Support,1200.0,1205.0,-5.0
2023-10-24,1235.0,1175.0,1235.0,,Resistance,1235.0,1205.0,30.0
2023-10-26,1210.0,1175.0,,1175.0,Support,1175.0,1205.0,-30.0
2023-10-27,1230.0,1200.0,1230.0,,Resistance,1230.0,1205.0,25.0
2023-10-30,1210.0,1180.0,,1180.0,Support,1180.0,1205.0,-25.0
2023-11-01,1200.0,1130.0,,1130.0,Support,1130.0,1205.0,-75.0
2023-11-03,1210.0,1140.0,1210.0,1140.0,Resistance,1210.0,1205.0,5.0
2023-11-03,1210.0,1140.0,1210.0,1140.0,Support,1140.0,1205.0,-65.0
2023-11-08,1200.0,1160.0,,1160.0,Support,1160.0,1205.0,-45.0
2023-11-10,1210.0,1170.0,1210.0,,Resistance,1210.0,1205.0,5.0
2023-11-13,1205.0,1165.0,,1165.0,Support,1165.0,1205.0,-40.0
2023-11-15,1220.0,1160.0,,1160.0,Support,1160.0,1205.0,-45.0
