Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-01-02,740,705,,705.0,Support,705.0,1130.0,-425.0
2020-01-07,765,745,,745.0,Support,745.0,1130.0,-385.0
2020-01-16,715,695,,695.0,Support,695.0,1130.0,-435.0
2020-01-20,720,665,,665.0,Support,665.0,1130.0,-465.0
2020-02-28,545,520,,520.0,Support,520.0,1130.0,-610.0
2020-03-23,290,260,,260.0,Support,260.0,1130.0,-870.0
2020-03-30,324,310,,310.0,Support,310.0,1130.0,-820.0
2020-04-02,390,310,,310.0,Support,310.0,1130.0,-820.0
2020-04-08,440,398,,398.0,Support,398.0,1130.0,-732.0
2020-04-16,386,360,,360.0,Support,360.0,1130.0,-770.0
2020-04-22,342,326,,326.0,Support,326.0,1130.0,-804.0
2020-04-28,348,338,,338.0,Support,338.0,1130.0,-792.0
2020-05-20,412,390,,390.0,Support,390.0,1130.0,-740.0
2020-06-05,410,392,,392.0,Support,392.0,1130.0,-738.0
2020-06-12,398,370,,370.0,Support,370.0,1130.0,-760.0
2020-06-23,406,394,,394.0,Support,394.0,1130.0,-736.0
2020-06-29,388,372,,372.0,Support,372.0,1130.0,-758.0
2020-07-01,398,380,,380.0,Support,380.0,1130.0,-750.0
2020-07-06,396,390,,390.0,Support,390.0,1130.0,-740.0
2020-07-14,394,388,,388.0,Support,388.0,1130.0,-742.0
2020-07-20,406,390,,390.0,Support,390.0,1130.0,-740.0
2020-07-29,392,382,,382.0,Support,382.0,1130.0,-748.0
2020-08-03,396,366,,366.0,Support,366.0,1130.0,-764.0
2020-08-19,448,428,,428.0,Support,428.0,1130.0,-702.0
2020-08-27,510,466,510.0,466.0,Support,466.0,1130.0,-664.0
2020-08-31,496,452,,452.0,Support,452.0,1130.0,-678.0
2020-09-11,428,400,,400.0,Support,400.0,1130.0,-730.0
2020-09-15,412,402,,402.0,Support,402.0,1130.0,-728.0
2020-09-24,380,358,,358.0,Support,358.0,1130.0,-772.0
2020-09-30,358,336,,336.0,Support,336.0,1130.0,-794.0
2020-10-05,346,328,,328.0,Support,328.0,1130.0,-802.0
2020-10-07,356,338,,338.0,Support,338.0,1130.0,-792.0
2020-10-13,356,344,,344.0,Support,344.0,1130.0,-786.0
2020-10-16,388,376,,376.0,Support,376.0,1130.0,-754.0
2020-10-22,374,364,,364.0,Support,364.0,1130.0,-766.0
2020-11-02,378,366,,366.0,Support,366.0,1130.0,-764.0
2020-11-04,382,368,382.0,368.0,Support,368.0,1130.0,-762.0
2020-11-13,404,390,,390.0,Support,390.0,1130.0,-740.0
2020-11-18,424,416,,416.0,Support,416.0,1130.0,-714.0
2020-11-30,540,480,540.0,480.0,Support,480.0,1130.0,-650.0
2020-12-04,565,540,,540.0,Support,540.0,1130.0,-590.0
2020-12-08,580,540,,540.0,Support,540.0,1130.0,-590.0
2020-12-15,645,610,,610.0,Support,610.0,1130.0,-520.0
2020-12-28,625,580,,580.0,Support,580.0,1130.0,-550.0
2021-01-04,635,550,,550.0,Support,550.0,1130.0,-580.0
2021-01-12,745,700,,700.0,Support,700.0,1130.0,-430.0
2021-01-19,665,620,,620.0,Support,620.0,1130.0,-510.0
2021-02-04,705,655,,655.0,Support,655.0,1130.0,-475.0
2021-02-17,705,670,,670.0,Support,670.0,1130.0,-460.0
2021-02-19,690,675,,675.0,Support,675.0,1130.0,-455.0
2021-02-24,720,690,,690.0,Support,690.0,1130.0,-440.0
2021-02-26,705,675,,675.0,Support,675.0,1130.0,-455.0
2021-03-04,670,645,,645.0,Support,645.0,1130.0,-485.0
2021-03-10,665,645,,645.0,Support,645.0,1130.0,-485.0
2021-03-19,620,605,,605.0,Support,605.0,1130.0,-525.0
2021-03-25,615,580,,580.0,Support,580.0,1130.0,-550.0
2021-04-06,595,565,,565.0,Support,565.0,1130.0,-565.0
2021-04-13,575,560,,560.0,Support,560.0,1130.0,-570.0
2021-04-27,605,580,,580.0,Support,580.0,1130.0,-550.0
2021-05-17,730,695,,695.0,Support,695.0,1130.0,-435.0
2021-05-24,725,655,,655.0,Support,655.0,1130.0,-475.0
2021-05-28,715,680,,680.0,Support,680.0,1130.0,-450.0
2021-06-02,705,670,,670.0,Support,670.0,1130.0,-460.0
2021-06-04,695,675,,675.0,Support,675.0,1130.0,-455.0
2021-06-08,685,665,,665.0,Support,665.0,1130.0,-465.0
2021-06-21,680,640,,640.0,Support,640.0,1130.0,-490.0
2021-06-29,660,610,,610.0,Support,610.0,1130.0,-520.0
2021-07-01,645,610,,610.0,Support,610.0,1130.0,-520.0
2021-07-05,640,610,,610.0,Support,610.0,1130.0,-520.0
2021-07-09,605,585,,585.0,Support,585.0,1130.0,-545.0
2021-07-21,560,525,,525.0,Support,525.0,1130.0,-605.0
2021-08-03,486,462,,462.0,Support,462.0,1130.0,-668.0
2021-08-10,496,470,496.0,470.0,Support,470.0,1130.0,-660.0
2021-08-20,456,418,,418.0,Support,418.0,1130.0,-712.0
2021-08-27,486,458,,458.0,Support,458.0,1130.0,-672.0
2021-09-09,484,466,,466.0,Support,466.0,1130.0,-664.0
2021-09-21,486,470,,470.0,Support,470.0,1130.0,-660.0
2021-10-13,625,595,,595.0,Support,595.0,1130.0,-535.0
2021-10-22,590,570,,570.0,Support,570.0,1130.0,-560.0
2021-11-03,560,540,,540.0,Support,540.0,1130.0,-590.0
2021-11-05,560,545,,545.0,Support,545.0,1130.0,-585.0
2021-11-09,570,550,,550.0,Support,550.0,1130.0,-580.0
2021-11-18,545,515,,515.0,Support,515.0,1130.0,-615.0
2021-11-22,530,515,,515.0,Support,515.0,1130.0,-615.0
2021-12-14,500,480,,480.0,Support,480.0,1130.0,-650.0
2021-12-20,480,470,,470.0,Support,470.0,1130.0,-660.0
2021-12-27,488,480,,480.0,Support,480.0,1130.0,-650.0
2022-01-03,468,458,,458.0,Support,458.0,1130.0,-672.0
2022-01-12,484,468,,468.0,Support,468.0,1130.0,-662.0
2022-01-14,478,468,,468.0,Support,468.0,1130.0,-662.0
2022-01-18,480,464,,464.0,Support,464.0,1130.0,-666.0
2022-01-25,498,476,,476.0,Support,476.0,1130.0,-654.0
2022-02-03,570,520,,520.0,Support,520.0,1130.0,-610.0
2022-02-16,575,550,,550.0,Support,550.0,1130.0,-580.0
2022-02-21,570,555,,555.0,Support,555.0,1130.0,-575.0
2022-03-10,635,605,,605.0,Support,605.0,1130.0,-525.0
2022-03-21,610,590,,590.0,Support,590.0,1130.0,-540.0
2022-03-23,610,600,,600.0,Support,600.0,1130.0,-530.0
2022-03-25,610,580,,580.0,Support,580.0,1130.0,-550.0
2022-03-30,580,540,,540.0,Support,540.0,1130.0,-590.0
2022-04-07,555,545,,545.0,Support,545.0,1130.0,-585.0
2022-04-12,530,505,,505.0,Support,505.0,1130.0,-625.0
2022-04-26,545,510,,510.0,Support,510.0,1130.0,-620.0
2022-05-10,565,525,,525.0,Support,525.0,1130.0,-605.0
2022-05-12,575,530,575.0,530.0,Support,530.0,1130.0,-600.0
2022-05-19,565,550,,550.0,Support,550.0,1130.0,-580.0
2022-06-02,595,555,,555.0,Support,555.0,1130.0,-575.0
2022-06-13,605,580,,580.0,Support,580.0,1130.0,-550.0
2022-06-20,675,630,,630.0,Support,630.0,1130.0,-500.0
2022-06-23,655,625,,625.0,Support,625.0,1130.0,-505.0
2022-07-04,605,565,,565.0,Support,565.0,1130.0,-565.0
2022-07-07,575,560,,560.0,Support,560.0,1130.0,-570.0
2022-07-11,585,565,,565.0,Support,565.0,1130.0,-565.0
2022-07-15,565,540,,540.0,Support,540.0,1130.0,-590.0
2022-07-25,585,565,,565.0,Support,565.0,1130.0,-565.0
2022-08-02,620,590,,590.0,Support,590.0,1130.0,-540.0
2022-08-10,630,580,,580.0,Support,580.0,1130.0,-550.0
2022-08-18,630,610,,610.0,Support,610.0,1130.0,-520.0
2022-08-22,625,605,,605.0,Support,605.0,1130.0,-525.0
2022-09-01,925,840,925.0,840.0,Support,840.0,1130.0,-290.0
2022-09-14,975,905,,905.0,Support,905.0,1130.0,-225.0
2022-09-19,980,920,,920.0,Support,920.0,1130.0,-210.0
2022-09-21,965,920,,920.0,Support,920.0,1130.0,-210.0
2022-09-27,920,865,,865.0,Support,865.0,1130.0,-265.0
2022-09-30,925,865,,865.0,Support,865.0,1130.0,-265.0
2022-10-12,995,950,,950.0,Support,950.0,1130.0,-180.0
2022-10-17,1005,955,,955.0,Support,955.0,1130.0,-175.0
2022-10-19,980,960,,960.0,Support,960.0,1130.0,-170.0
2022-10-24,1100,1005,,1005.0,Support,1005.0,1130.0,-125.0
2022-10-26,1095,1055,,1055.0,Support,1055.0,1130.0,-75.0
2022-10-28,1170,1135,1170.0,,Resistance,1170.0,1130.0,40.0
2022-11-01,1150,1075,,1075.0,Support,1075.0,1130.0,-55.0
2022-11-04,1195,1090,,1090.0,Support,1090.0,1130.0,-40.0
2022-11-08,1225,1145,1225.0,1145.0,Resistance,1225.0,1130.0,95.0
2022-11-11,1170,1060,,1060.0,Support,1060.0,1130.0,-70.0
2022-11-14,1185,1145,1185.0,,Resistance,1185.0,1130.0,55.0
2022-11-28,1040,990,,990.0,Support,990.0,1130.0,-140.0
2022-12-02,1135,1075,,1075.0,Support,1075.0,1130.0,-55.0
2022-12-05,1140,1085,1140.0,,Resistance,1140.0,1130.0,10.0
2022-12-08,1075,1020,,1020.0,Support,1020.0,1130.0,-110.0
2022-12-14,1165,1135,1165.0,,Resistance,1165.0,1130.0,35.0
2022-12-20,1115,1050,,1050.0,Support,1050.0,1130.0,-80.0
2022-12-26,1135,1100,1135.0,,Resistance,1135.0,1130.0,5.0
2022-12-30,1030,1010,,1010.0,Support,1010.0,1130.0,-120.0
2023-01-03,1135,1070,1135.0,,Resistance,1135.0,1130.0,5.0
2023-01-06,1040,985,,985.0,Support,985.0,1130.0,-145.0
2023-01-17,1230,1135,1230.0,,Resistance,1230.0,1130.0,100.0
2023-01-24,1430,1310,1430.0,,Resistance,1430.0,1130.0,300.0
2023-02-01,1410,1365,1410.0,,Resistance,1410.0,1130.0,280.0
2023-02-08,1330,1290,1330.0,,Resistance,1330.0,1130.0,200.0
2023-02-20,1100,1045,,1045.0,Support,1045.0,1130.0,-85.0
2023-02-23,1060,1020,,1020.0,Support,1020.0,1130.0,-110.0
2023-03-01,1170,1150,1170.0,,Resistance,1170.0,1130.0,40.0
2023-03-20,915,855,,855.0,Support,855.0,1130.0,-275.0
2023-04-12,1055,1020,,1020.0,Support,1020.0,1130.0,-110.0
2023-04-27,1035,990,,990.0,Support,990.0,1130.0,-140.0
2023-05-05,920,880,,880.0,Support,880.0,1130.0,-250.0
2023-05-15,935,885,,885.0,Support,885.0,1130.0,-245.0
2023-05-19,910,865,,865.0,Support,865.0,1130.0,-265.0
2023-05-29,925,885,,885.0,Support,885.0,1130.0,-245.0
2023-05-31,965,895,965.0,895.0,Support,895.0,1130.0,-235.0
2023-06-06,920,885,,885.0,Support,885.0,1130.0,-245.0
2023-06-13,890,875,,875.0,Support,875.0,1130.0,-255.0
2023-06-20,910,895,,895.0,Support,895.0,1130.0,-235.0
2023-07-03,905,880,,880.0,Support,880.0,1130.0,-250.0
2023-07-07,960,905,960.0,905.0,Support,905.0,1130.0,-225.0
2023-07-28,1145,1070,,1070.0,Support,1070.0,1130.0,-60.0
2023-08-01,1160,1035,1160.0,,Resistance,1160.0,1130.0,30.0
2023-08-02,1120,1025,,1025.0,Support,1025.0,1130.0,-105.0
2023-08-09,1065,1040,,1040.0,Support,1040.0,1130.0,-90.0
2023-08-14,1060,1010,,1010.0,Support,1010.0,1130.0,-120.0
2023-08-21,1095,1050,,1050.0,Support,1050.0,1130.0,-80.0
2023-09-04,1340,1260,1340.0,,Resistance,1340.0,1130.0,210.0
2023-09-13,1585,1520,1585.0,,Resistance,1585.0,1130.0,455.0
2023-09-18,1705,1600,1705.0,,Resistance,1705.0,1130.0,575.0
2023-09-26,1650,1500,1650.0,1500.0,Resistance,1650.0,1130.0,520.0
2023-09-29,1685,1610,1685.0,,Resistance,1685.0,1130.0,555.0
2023-10-10,1515,1440,1515.0,,Resistance,1515.0,1130.0,385.0
2023-10-16,1560,1500,1560.0,,Resistance,1560.0,1130.0,430.0
2023-10-20,1600,1530,1600.0,,Resistance,1600.0,1130.0,470.0
2023-11-03,1280,1230,1280.0,,Resistance,1280.0,1130.0,150.0
2023-11-08,1125,1090,,1090.0,Support,1090.0,1130.0,-40.0
2023-11-15,1240,1190,1240.0,,Resistance,1240.0,1130.0,110.0
2023-11-17,1140,1110,,1110.0,Support,1110.0,1130.0,-20.0
2023-11-20,1175,1135,1175.0,,Resistance,1175.0,1130.0,45.0
2023-11-23,1140,1095,,1095.0,Support,1095.0,1130.0,-35.0
2023-11-27,1135,1105,,1105.0,Support,1105.0,1130.0,-25.0
2023-11-29,1215,1150,1215.0,,Resistance,1215.0,1130.0,85.0
2023-12-07,1015,980,,980.0,Support,980.0,1130.0,-150.0
2023-12-12,1090,1005,1090.0,1005.0,Support,1005.0,1130.0,-125.0
2023-12-15,1165,1125,1165.0,,Resistance,1165.0,1130.0,35.0
2023-12-18,1145,1080,,1080.0,Support,1080.0,1130.0,-50.0
2023-12-20,1160,1130,1160.0,,Resistance,1160.0,1130.0,30.0
2023-12-21,1135,1100,,1100.0,Support,1100.0,1130.0,-30.0
