Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-27,2260.0,2190.0,2260.0,,Resistance,2260.0,1100.0,1160.0
2020-01-06,2200.0,2130.0,2200.0,,Resistance,2200.0,1100.0,1100.0
2020-01-09,2130.0,2070.0,2130.0,,Resistance,2130.0,1100.0,1030.0
2020-01-14,2120.0,2070.0,2120.0,,Resistance,2120.0,1100.0,1020.0
2020-01-22,2000.0,1905.0,2000.0,,Resistance,2000.0,1100.0,900.0
2020-01-29,1845.0,1785.0,1845.0,,Resistance,1845.0,1100.0,745.0
2020-02-07,1555.0,1500.0,1555.0,,Resistance,1555.0,1100.0,455.0
2020-02-11,1560.0,1525.0,1560.0,,Resistance,1560.0,1100.0,460.0
2020-02-17,1525.0,1495.0,1525.0,,Resistance,1525.0,1100.0,425.0
2020-02-20,1580.0,1520.0,1580.0,,Resistance,1580.0,1100.0,480.0
2020-02-25,1520.0,1450.0,1520.0,1450.0,Resistance,1520.0,1100.0,420.0
2020-03-05,1465.0,1400.0,1465.0,,Resistance,1465.0,1100.0,365.0
2020-03-24,680.0,605.0,,605.0,Support,605.0,1100.0,-495.0
2020-04-02,800.0,710.0,,710.0,Support,710.0,1100.0,-390.0
2020-04-13,860.0,800.0,,800.0,Support,800.0,1100.0,-300.0
2020-04-16,840.0,800.0,,800.0,Support,800.0,1100.0,-300.0
2020-04-22,775.0,730.0,,730.0,Support,730.0,1100.0,-370.0
2020-05-15,830.0,780.0,,780.0,Support,780.0,1100.0,-320.0
2020-05-20,850.0,820.0,,820.0,Support,820.0,1100.0,-280.0
2020-05-29,860.0,835.0,,835.0,Support,835.0,1100.0,-265.0
2020-06-05,1030.0,945.0,,945.0,Support,945.0,1100.0,-155.0
2020-06-09,1160.0,1090.0,1160.0,,Resistance,1160.0,1100.0,60.0
2020-06-12,1060.0,960.0,,960.0,Support,960.0,1100.0,-140.0
2020-06-17,1155.0,1095.0,1155.0,,Resistance,1155.0,1100.0,55.0
2020-06-23,1100.0,1040.0,,1040.0,Support,1040.0,1100.0,-60.0
2020-06-24,1170.0,1090.0,1170.0,,Resistance,1170.0,1100.0,70.0
2020-06-25,1130.0,1085.0,,1085.0,Support,1085.0,1100.0,-15.0
2020-06-30,1185.0,1135.0,1185.0,,Resistance,1185.0,1100.0,85.0
2020-07-09,1190.0,1155.0,1190.0,,Resistance,1190.0,1100.0,90.0
2020-07-15,1190.0,1150.0,1190.0,,Resistance,1190.0,1100.0,90.0
2020-07-23,1270.0,1225.0,1270.0,,Resistance,1270.0,1100.0,170.0
2020-08-06,1260.0,1235.0,1260.0,,Resistance,1260.0,1100.0,160.0
2020-09-03,1340.0,1295.0,1340.0,,Resistance,1340.0,1100.0,240.0
2020-09-11,1120.0,995.0,,995.0,Support,995.0,1100.0,-105.0
2020-09-15,1155.0,1100.0,1155.0,,Resistance,1155.0,1100.0,55.0
2020-09-17,1100.0,1035.0,,1035.0,Support,1035.0,1100.0,-65.0
2020-09-24,1000.0,955.0,,955.0,Support,955.0,1100.0,-145.0
2020-09-30,960.0,905.0,,905.0,Support,905.0,1100.0,-195.0
2020-10-02,955.0,900.0,,900.0,Support,900.0,1100.0,-200.0
2020-10-09,985.0,970.0,,970.0,Support,970.0,1100.0,-130.0
2020-10-16,1050.0,1020.0,,1020.0,Support,1020.0,1100.0,-80.0
2020-10-22,1090.0,1040.0,1090.0,1040.0,Support,1040.0,1100.0,-60.0
2020-10-27,1115.0,1075.0,1115.0,,Resistance,1115.0,1100.0,15.0
2020-11-02,1070.0,1045.0,,1045.0,Support,1045.0,1100.0,-55.0
2020-11-04,1090.0,1050.0,1090.0,1050.0,Support,1050.0,1100.0,-50.0
2020-11-11,1230.0,1170.0,1230.0,,Resistance,1230.0,1100.0,130.0
2020-11-25,1475.0,1390.0,1475.0,1390.0,Resistance,1475.0,1100.0,375.0
2020-11-27,1500.0,1420.0,1500.0,,Resistance,1500.0,1100.0,400.0
2020-12-03,1485.0,1450.0,1485.0,,Resistance,1485.0,1100.0,385.0
2020-12-10,1735.0,1630.0,1735.0,,Resistance,1735.0,1100.0,635.0
2020-12-16,1885.0,1795.0,1885.0,,Resistance,1885.0,1100.0,785.0
2020-12-21,1895.0,1790.0,1895.0,,Resistance,1895.0,1100.0,795.0
2020-12-29,1810.0,1720.0,1810.0,,Resistance,1810.0,1100.0,710.0
2021-01-05,1640.0,1520.0,1640.0,,Resistance,1640.0,1100.0,540.0
2021-01-08,1710.0,1630.0,1710.0,,Resistance,1710.0,1100.0,610.0
2021-01-14,1865.0,1590.0,1865.0,1590.0,Resistance,1865.0,1100.0,765.0
2021-01-18,1880.0,1735.0,1880.0,,Resistance,1880.0,1100.0,780.0
2021-01-21,1820.0,1710.0,1820.0,,Resistance,1820.0,1100.0,720.0
2021-02-03,1540.0,1445.0,1540.0,,Resistance,1540.0,1100.0,440.0
2021-02-08,1520.0,1485.0,1520.0,,Resistance,1520.0,1100.0,420.0
2021-02-16,1545.0,1500.0,1545.0,,Resistance,1545.0,1100.0,445.0
2021-02-22,1475.0,1440.0,1475.0,,Resistance,1475.0,1100.0,375.0
2021-03-02,1515.0,1460.0,1515.0,,Resistance,1515.0,1100.0,415.0
2021-03-15,1430.0,1395.0,1430.0,,Resistance,1430.0,1100.0,330.0
2021-03-29,1405.0,1360.0,1405.0,,Resistance,1405.0,1100.0,305.0
2021-04-05,1335.0,1270.0,1335.0,,Resistance,1335.0,1100.0,235.0
2021-04-09,1345.0,1300.0,1345.0,,Resistance,1345.0,1100.0,245.0
2021-04-15,1220.0,1190.0,1220.0,,Resistance,1220.0,1100.0,120.0
2021-04-22,1270.0,1220.0,1270.0,,Resistance,1270.0,1100.0,170.0
2021-04-28,1280.0,1190.0,1280.0,,Resistance,1280.0,1100.0,180.0
2021-05-06,1280.0,1250.0,1280.0,,Resistance,1280.0,1100.0,180.0
2021-05-24,1115.0,1055.0,,1055.0,Support,1055.0,1100.0,-45.0
2021-05-28,1165.0,1115.0,1165.0,,Resistance,1165.0,1100.0,65.0
2021-05-31,1150.0,1085.0,,1085.0,Support,1085.0,1100.0,-15.0
2021-06-03,1225.0,1180.0,1225.0,,Resistance,1225.0,1100.0,125.0
2021-06-11,1250.0,1175.0,1250.0,,Resistance,1250.0,1100.0,150.0
2021-06-21,1065.0,1010.0,,1010.0,Support,1010.0,1100.0,-90.0
2021-06-24,1050.0,1010.0,,1010.0,Support,1010.0,1100.0,-90.0
2021-07-06,1050.0,1010.0,1050.0,1010.0,Support,1010.0,1100.0,-90.0
2021-07-09,1030.0,1000.0,,1000.0,Support,1000.0,1100.0,-100.0
2021-08-02,990.0,960.0,,960.0,Support,960.0,1100.0,-140.0
2021-08-10,1015.0,995.0,,995.0,Support,995.0,1100.0,-105.0
2021-08-20,1010.0,990.0,,990.0,Support,990.0,1100.0,-110.0
2021-09-03,1065.0,1015.0,,1015.0,Support,1015.0,1100.0,-85.0
2021-09-09,1065.0,1030.0,,1030.0,Support,1030.0,1100.0,-70.0
2021-09-13,1060.0,1040.0,,1040.0,Support,1040.0,1100.0,-60.0
2021-09-14,1120.0,1055.0,1120.0,,Resistance,1120.0,1100.0,20.0
2021-09-16,1135.0,1100.0,1135.0,,Resistance,1135.0,1100.0,35.0
2021-10-06,1520.0,1425.0,1520.0,,Resistance,1520.0,1100.0,420.0
2021-10-08,1515.0,1450.0,1515.0,,Resistance,1515.0,1100.0,415.0
2021-10-12,1545.0,1475.0,1545.0,,Resistance,1545.0,1100.0,445.0
2021-10-14,1555.0,1505.0,1555.0,,Resistance,1555.0,1100.0,455.0
2021-10-21,1570.0,1505.0,1570.0,,Resistance,1570.0,1100.0,470.0
2021-10-26,1555.0,1515.0,1555.0,,Resistance,1555.0,1100.0,455.0
2021-11-01,1560.0,1480.0,1560.0,,Resistance,1560.0,1100.0,460.0
2021-11-04,1540.0,1480.0,1540.0,,Resistance,1540.0,1100.0,440.0
2021-11-09,1535.0,1505.0,1535.0,,Resistance,1535.0,1100.0,435.0
2021-11-19,1550.0,1500.0,1550.0,,Resistance,1550.0,1100.0,450.0
2021-11-25,1640.0,1610.0,1640.0,,Resistance,1640.0,1100.0,540.0
2021-12-08,1520.0,1480.0,1520.0,,Resistance,1520.0,1100.0,420.0
2021-12-13,1510.0,1485.0,1510.0,,Resistance,1510.0,1100.0,410.0
2021-12-28,1435.0,1400.0,1435.0,,Resistance,1435.0,1100.0,335.0
2022-01-04,1420.0,1385.0,1420.0,,Resistance,1420.0,1100.0,320.0
2022-01-10,1370.0,1310.0,1370.0,,Resistance,1370.0,1100.0,270.0
2022-01-13,1345.0,1305.0,1345.0,,Resistance,1345.0,1100.0,245.0
2022-01-17,1345.0,1285.0,1345.0,,Resistance,1345.0,1100.0,245.0
2022-01-24,1355.0,1305.0,1355.0,,Resistance,1355.0,1100.0,255.0
2022-01-31,1400.0,1355.0,1400.0,,Resistance,1400.0,1100.0,300.0
2022-02-08,1425.0,1385.0,1425.0,,Resistance,1425.0,1100.0,325.0
2022-02-10,1430.0,1375.0,1430.0,,Resistance,1430.0,1100.0,330.0
2022-02-18,1480.0,1425.0,1480.0,,Resistance,1480.0,1100.0,380.0
2022-03-07,1620.0,1535.0,1620.0,,Resistance,1620.0,1100.0,520.0
2022-03-24,1440.0,1415.0,1440.0,,Resistance,1440.0,1100.0,340.0
2022-04-14,1375.0,1350.0,1375.0,,Resistance,1375.0,1100.0,275.0
2022-04-19,1420.0,1350.0,1420.0,,Resistance,1420.0,1100.0,320.0
2022-04-21,1430.0,1390.0,1430.0,,Resistance,1430.0,1100.0,330.0
2022-05-11,1540.0,1490.0,1540.0,,Resistance,1540.0,1100.0,440.0
2022-05-18,1595.0,1530.0,1595.0,,Resistance,1595.0,1100.0,495.0
2022-05-20,1600.0,1560.0,1600.0,,Resistance,1600.0,1100.0,500.0
2022-05-30,1815.0,1750.0,1815.0,,Resistance,1815.0,1100.0,715.0
2022-06-02,1820.0,1770.0,1820.0,,Resistance,1820.0,1100.0,720.0
2022-06-07,1800.0,1760.0,1800.0,,Resistance,1800.0,1100.0,700.0
2022-06-16,1860.0,1755.0,1860.0,,Resistance,1860.0,1100.0,760.0
2022-06-28,1735.0,1660.0,1735.0,,Resistance,1735.0,1100.0,635.0
2022-07-12,1610.0,1555.0,1610.0,,Resistance,1610.0,1100.0,510.0
2022-07-20,1640.0,1590.0,1640.0,,Resistance,1640.0,1100.0,540.0
2022-07-25,1620.0,1585.0,1620.0,,Resistance,1620.0,1100.0,520.0
2022-07-28,1745.0,1625.0,1745.0,,Resistance,1745.0,1100.0,645.0
2022-08-01,1720.0,1680.0,1720.0,,Resistance,1720.0,1100.0,620.0
2022-08-04,1710.0,1630.0,1710.0,,Resistance,1710.0,1100.0,610.0
2022-08-09,1650.0,1615.0,1650.0,,Resistance,1650.0,1100.0,550.0
2022-08-12,1660.0,1625.0,1660.0,,Resistance,1660.0,1100.0,560.0
2022-09-01,1855.0,1805.0,1855.0,,Resistance,1855.0,1100.0,755.0
2022-09-06,1975.0,1840.0,1975.0,,Resistance,1975.0,1100.0,875.0
2022-09-13,1910.0,1870.0,1910.0,,Resistance,1910.0,1100.0,810.0
2022-09-15,1905.0,1845.0,1905.0,,Resistance,1905.0,1100.0,805.0
