Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-30,2700.0,2640.0,2700.0,,Resistance,2700.0,2400.0,300.0
2020-01-14,2870.0,2780.0,2870.0,,Resistance,2870.0,2400.0,470.0
2020-01-28,2340.0,2200.0,,2200.0,Support,2200.0,2400.0,-200.0
2020-02-03,2220.0,2160.0,,2160.0,Support,2160.0,2400.0,-240.0
2020-02-11,2320.0,2230.0,,2230.0,Support,2230.0,2400.0,-170.0
2020-02-13,2300.0,2250.0,,2250.0,Support,2250.0,2400.0,-150.0
2020-02-20,2510.0,2410.0,2510.0,,Resistance,2510.0,2400.0,110.0
2020-02-25,2430.0,2300.0,,2300.0,Support,2300.0,2400.0,-100.0
2020-02-26,2450.0,2360.0,2450.0,,Resistance,2450.0,2400.0,50.0
2020-03-02,2290.0,2170.0,,2170.0,Support,2170.0,2400.0,-230.0
2020-03-05,2540.0,2460.0,2540.0,,Resistance,2540.0,2400.0,140.0
2020-03-09,2370.0,2210.0,,2210.0,Support,2210.0,2400.0,-190.0
2020-03-12,2190.0,2010.0,,2010.0,Support,2010.0,2400.0,-390.0
2020-03-20,1855.0,1385.0,,1385.0,Support,1385.0,2400.0,-1015.0
2020-04-02,2060.0,1950.0,,1950.0,Support,1950.0,2400.0,-450.0
2020-04-09,2040.0,1935.0,,1935.0,Support,1935.0,2400.0,-465.0
2020-04-16,1990.0,1895.0,,1895.0,Support,1895.0,2400.0,-505.0
2020-04-22,1880.0,1775.0,,1775.0,Support,1775.0,2400.0,-625.0
2020-04-28,1845.0,1770.0,,1770.0,Support,1770.0,2400.0,-630.0
2020-05-05,1865.0,1780.0,,1780.0,Support,1780.0,2400.0,-620.0
2020-05-15,1940.0,1800.0,,1800.0,Support,1800.0,2400.0,-600.0
2020-05-20,1935.0,1890.0,,1890.0,Support,1890.0,2400.0,-510.0
2020-05-29,2090.0,1945.0,,1945.0,Support,1945.0,2400.0,-455.0
2020-06-10,2480.0,2280.0,2480.0,,Resistance,2480.0,2400.0,80.0
2020-06-12,2410.0,2150.0,,2150.0,Support,2150.0,2400.0,-250.0
2020-06-18,2510.0,2430.0,2510.0,,Resistance,2510.0,2400.0,110.0
2020-06-23,2160.0,2030.0,,2030.0,Support,2030.0,2400.0,-370.0
2020-07-01,2090.0,1995.0,,1995.0,Support,1995.0,2400.0,-405.0
2020-07-06,2070.0,2040.0,,2040.0,Support,2040.0,2400.0,-360.0
2020-07-08,2100.0,2040.0,,2040.0,Support,2040.0,2400.0,-360.0
2020-08-03,2040.0,1895.0,,1895.0,Support,1895.0,2400.0,-505.0
2020-08-07,2090.0,2020.0,,2020.0,Support,2020.0,2400.0,-380.0
2020-09-01,2110.0,2020.0,,2020.0,Support,2020.0,2400.0,-380.0
2020-09-11,1975.0,1810.0,,1810.0,Support,1810.0,2400.0,-590.0
2020-09-24,1980.0,1940.0,,1940.0,Support,1940.0,2400.0,-460.0
2020-09-30,1990.0,1940.0,,1940.0,Support,1940.0,2400.0,-460.0
2020-10-16,2060.0,1995.0,,1995.0,Support,1995.0,2400.0,-405.0
2020-10-23,1980.0,1955.0,,1955.0,Support,1955.0,2400.0,-445.0
2020-11-02,1970.0,1940.0,,1940.0,Support,1940.0,2400.0,-460.0
2020-11-04,1965.0,1935.0,,1935.0,Support,1935.0,2400.0,-465.0
2020-11-13,2050.0,2020.0,,2020.0,Support,2020.0,2400.0,-380.0
2020-11-19,2240.0,2100.0,,2100.0,Support,2100.0,2400.0,-300.0
2020-11-25,2350.0,2250.0,,2250.0,Support,2250.0,2400.0,-150.0
2020-11-30,2530.0,2310.0,2530.0,2310.0,Resistance,2530.0,2400.0,130.0
2020-11-30,2530.0,2310.0,2530.0,2310.0,Support,2310.0,2400.0,-90.0
2020-12-03,2510.0,2440.0,2510.0,,Resistance,2510.0,2400.0,110.0
2020-12-10,2870.0,2750.0,2870.0,,Resistance,2870.0,2400.0,470.0
2020-12-21,3080.0,2920.0,3080.0,,Resistance,3080.0,2400.0,680.0
2020-12-29,2940.0,2840.0,2940.0,,Resistance,2940.0,2400.0,540.0
2021-01-05,2860.0,2760.0,2860.0,,Resistance,2860.0,2400.0,460.0
2021-01-08,3000.0,2830.0,3000.0,,Resistance,3000.0,2400.0,600.0
2021-01-14,3100.0,3000.0,3100.0,,Resistance,3100.0,2400.0,700.0
2021-01-18,3020.0,2860.0,3020.0,,Resistance,3020.0,2400.0,620.0
2021-01-21,2930.0,2840.0,2930.0,,Resistance,2930.0,2400.0,530.0
2021-01-27,2850.0,2650.0,2850.0,,Resistance,2850.0,2400.0,450.0
