Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,794.0,794.0,768.0,774.0,26421500,792.0,802.0,810.0,820.0,784.0,774.0,766.0
2019-12-30,774.0,794.0,770.0,790.0,49680000,778.6666666666666,789.3333333333333,804.6666666666666,815.3333333333333,763.3333333333333,752.6666666666666,737.3333333333333
2020-01-02,790.0,798.0,770.0,780.0,54536500,784.6666666666666,799.3333333333333,808.6666666666666,823.3333333333333,775.3333333333333,760.6666666666666,751.3333333333333
2020-01-03,780.0,786.0,756.0,758.0,39577000,782.6666666666666,795.3333333333333,810.6666666666666,823.3333333333333,767.3333333333333,754.6666666666666,739.3333333333333
2020-01-06,758.0,758.0,728.0,728.0,62772000,766.6666666666666,777.3333333333333,796.6666666666666,807.3333333333333,747.3333333333333,736.6666666666666,717.3333333333333
2020-01-07,738.0,740.0,698.0,706.0,86630000,738.0,748.0,768.0,778.0,718.0,708.0,688.0
2020-01-08,700.0,716.0,698.0,712.0,68138500,714.6666666666666,731.3333333333333,756.6666666666666,773.3333333333333,689.3333333333333,672.6666666666666,647.3333333333333
2020-01-09,716.0,726.0,714.0,720.0,56651000,708.6666666666666,719.3333333333333,726.6666666666666,737.3333333333333,701.3333333333333,690.6666666666666,683.3333333333333
2020-01-10,724.0,730.0,720.0,722.0,38274000,720.0,726.0,732.0,738.0,714.0,708.0,702.0
2020-01-13,724.0,724.0,714.0,720.0,67993000,724.0,728.0,734.0,738.0,718.0,714.0,708.0
2020-01-14,720.0,724.0,704.0,708.0,46582500,719.3333333333334,724.6666666666667,729.3333333333334,734.6666666666667,714.6666666666667,709.3333333333334,704.6666666666667
2020-01-15,708.0,724.0,690.0,700.0,84844500,712.0,720.0,732.0,740.0,700.0,692.0,680.0
2020-01-16,700.0,704.0,690.0,694.0,90645000,704.6666666666666,719.3333333333333,738.6666666666666,753.3333333333333,685.3333333333333,670.6666666666666,651.3333333333333
2020-01-17,698.0,704.0,686.0,686.0,65168500,696.0,702.0,710.0,716.0,688.0,682.0,674.0
2020-01-20,686.0,692.0,674.0,680.0,72498000,692.0,698.0,710.0,716.0,680.0,674.0,662.0
2020-01-21,684.0,684.0,672.0,674.0,33568500,682.0,690.0,700.0,708.0,672.0,664.0,654.0
2020-01-22,674.0,688.0,672.0,678.0,75567500,676.6666666666666,681.3333333333333,688.6666666666666,693.3333333333333,669.3333333333333,664.6666666666666,657.3333333333333
