Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,346.0,346.0,346.0,346.0,1000,348.0,348.0,348.0,348.0,348.0,348.0,348.0
2019-12-30,346.0,346.0,346.0,346.0,0,346.0,346.0,346.0,346.0,346.0,346.0,346.0
2020-01-02,346.0,346.0,346.0,346.0,0,346.0,346.0,346.0,346.0,346.0,346.0,346.0
2020-01-03,346.0,346.0,346.0,346.0,0,346.0,346.0,346.0,346.0,346.0,346.0,346.0
2020-01-06,312.0,340.0,312.0,336.0,12800,346.0,346.0,346.0,346.0,346.0,346.0,346.0
2020-01-07,332.0,332.0,332.0,332.0,100,329.3333333333333,346.66666666666663,357.3333333333333,374.66666666666663,318.66666666666663,301.3333333333333,290.66666666666663
2020-01-08,332.0,390.0,332.0,340.0,9400,332.0,332.0,332.0,332.0,332.0,332.0,332.0
2020-01-09,340.0,340.0,262.0,322.0,1500,354.0,376.0,412.0,434.0,318.0,296.0,260.0
2020-01-10,270.0,348.0,270.0,300.0,500,308.0,354.0,386.0,432.0,276.0,230.0,198.0
2020-01-13,300.0,300.0,300.0,300.0,0,306.0,342.0,384.0,420.0,264.0,228.0,186.0
2020-01-14,284.0,300.0,264.0,300.0,29600,300.0,300.0,300.0,300.0,300.0,300.0,300.0
2020-01-15,370.0,370.0,266.0,266.0,6400,288.0,312.0,324.0,348.0,276.0,252.0,240.0
2020-01-16,268.0,290.0,264.0,278.0,577000,300.6666666666667,335.33333333333337,404.6666666666667,439.33333333333337,231.33333333333337,196.66666666666669,127.33333333333337
2020-01-17,278.0,278.0,260.0,268.0,583700,277.3333333333333,290.66666666666663,303.3333333333333,316.66666666666663,264.66666666666663,251.33333333333331,238.66666666666663
2020-01-20,288.0,320.0,242.0,260.0,10600,268.6666666666667,277.33333333333337,286.6666666666667,295.33333333333337,259.33333333333337,250.66666666666669,241.33333333333337
2020-01-21,250.0,272.0,250.0,272.0,8400,274.0,306.0,352.0,384.0,228.0,196.0,150.0
2020-01-22,292.0,292.0,270.0,270.0,3200,264.6666666666667,279.33333333333337,286.6666666666667,301.33333333333337,257.33333333333337,242.66666666666669,235.33333333333337
2020-01-23,270.0,270.0,270.0,270.0,0,277.3333333333333,284.66666666666663,299.3333333333333,306.66666666666663,262.66666666666663,255.33333333333331,240.66666666666663
2020-01-24,268.0,268.0,268.0,268.0,100,270.0,270.0,270.0,270.0,270.0,270.0,270.0
2020-01-27,268.0,268.0,260.0,260.0,3000,268.0,268.0,268.0,268.0,268.0,268.0,268.0
2020-01-28,270.0,270.0,244.0,244.0,400,262.6666666666667,265.33333333333337,270.6666666666667,273.33333333333337,257.33333333333337,254.66666666666669,249.33333333333337
2020-01-29,244.0,264.0,244.0,244.0,203800,252.66666666666666,261.3333333333333,278.66666666666663,287.3333333333333,235.33333333333331,226.66666666666666,209.33333333333331
2020-01-30,244.0,266.0,244.0,244.0,51100,250.66666666666666,257.3333333333333,270.66666666666663,277.3333333333333,237.33333333333331,230.66666666666666,217.33333333333331
2020-01-31,260.0,260.0,250.0,250.0,20100,251.33333333333334,258.6666666666667,273.33333333333337,280.6666666666667,236.66666666666669,229.33333333333334,214.66666666666669
2020-02-03,250.0,258.0,250.0,258.0,4800,253.33333333333334,256.6666666666667,263.33333333333337,266.6666666666667,246.66666666666669,243.33333333333334,236.66666666666669
2020-02-04,272.0,272.0,220.0,236.0,23200,255.33333333333334,260.6666666666667,263.33333333333337,268.6666666666667,252.66666666666669,247.33333333333334,244.66666666666669
