Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,265.0,265.0,263.0,264.0,1980000,263.3333333333333,265.66666666666663,267.3333333333333,269.66666666666663,261.66666666666663,259.3333333333333,257.66666666666663
2019-12-30,265.0,265.0,263.0,264.0,5568500,264.0,265.0,266.0,267.0,263.0,262.0,261.0
2020-01-02,264.0,265.0,263.0,264.0,1319000,264.0,265.0,266.0,267.0,263.0,262.0,261.0
2020-01-03,264.0,268.0,264.0,265.0,1836000,264.0,265.0,266.0,267.0,263.0,262.0,261.0
2020-01-06,268.0,270.0,264.0,266.0,1674000,265.6666666666667,267.33333333333337,269.6666666666667,271.33333333333337,263.33333333333337,261.6666666666667,259.33333333333337
2020-01-07,266.0,267.0,264.0,265.0,1568500,266.6666666666667,269.33333333333337,272.6666666666667,275.33333333333337,263.33333333333337,260.6666666666667,257.33333333333337
2020-01-08,265.0,266.0,264.0,265.0,1993000,265.3333333333333,266.66666666666663,268.3333333333333,269.66666666666663,263.66666666666663,262.3333333333333,260.66666666666663
2020-01-09,265.0,265.0,262.0,265.0,3837000,265.0,266.0,267.0,268.0,264.0,263.0,262.0
2020-01-10,265.0,271.0,265.0,267.0,5756000,264.0,266.0,267.0,269.0,263.0,261.0,260.0
2020-01-13,269.0,277.0,269.0,271.0,11113000,267.6666666666667,270.33333333333337,273.6666666666667,276.33333333333337,264.33333333333337,261.6666666666667,258.33333333333337
2020-01-14,274.0,275.0,268.0,271.0,6953500,272.3333333333333,275.66666666666663,280.3333333333333,283.66666666666663,267.66666666666663,264.3333333333333,259.66666666666663
2020-01-15,271.0,272.0,267.0,271.0,10122500,271.3333333333333,274.66666666666663,278.3333333333333,281.66666666666663,267.66666666666663,264.3333333333333,260.66666666666663
2020-01-16,272.0,273.0,270.0,271.0,2550000,270.0,273.0,275.0,278.0,268.0,265.0,263.0
2020-01-17,272.0,272.0,269.0,271.0,1335500,271.3333333333333,272.66666666666663,274.3333333333333,275.66666666666663,269.66666666666663,268.3333333333333,266.66666666666663
2020-01-20,270.0,272.0,265.0,270.0,4502000,270.6666666666667,272.33333333333337,273.6666666666667,275.33333333333337,269.33333333333337,267.6666666666667,266.33333333333337
2020-01-21,269.0,271.0,268.0,270.0,3367000,269.0,273.0,276.0,280.0,266.0,262.0,259.0
2020-01-22,270.0,270.0,267.0,270.0,5134000,269.6666666666667,271.33333333333337,272.6666666666667,274.33333333333337,268.33333333333337,266.6666666666667,265.33333333333337
2020-01-23,269.0,270.0,268.0,270.0,2584500,269.0,271.0,272.0,274.0,268.0,266.0,265.0
