Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,4020.0,4030.0,4010.0,4010.0,51100,4013.3333333333335,4016.666666666667,4023.3333333333335,4026.666666666667,4006.666666666667,4003.3333333333335,3996.666666666667
2019-12-30,4010.0,4050.0,4010.0,4050.0,47300,4016.6666666666665,4023.333333333333,4036.6666666666665,4043.333333333333,4003.333333333333,3996.6666666666665,3983.333333333333
2020-01-02,4050.0,4060.0,4050.0,4060.0,49700,4036.6666666666665,4063.333333333333,4076.6666666666665,4103.333333333333,4023.333333333333,3996.6666666666665,3983.333333333333
2020-01-03,4060.0,4070.0,4000.0,4000.0,50600,4056.6666666666665,4063.333333333333,4066.6666666666665,4073.333333333333,4053.333333333333,4046.6666666666665,4043.333333333333
2020-01-06,4010.0,4030.0,3980.0,4000.0,47100,4023.3333333333335,4046.666666666667,4093.3333333333335,4116.666666666667,3976.666666666667,3953.3333333333335,3906.666666666667
2020-01-07,4000.0,4100.0,3960.0,4100.0,55200,4003.3333333333335,4026.666666666667,4053.3333333333335,4076.666666666667,3976.666666666667,3953.3333333333335,3926.666666666667
2020-01-08,4010.0,4100.0,3990.0,4000.0,67300,4053.3333333333335,4146.666666666667,4193.333333333334,4286.666666666667,4006.666666666667,3913.3333333333335,3866.666666666667
2020-01-09,4010.0,4010.0,4000.0,4000.0,51200,4030.0,4070.0,4140.0,4180.0,3960.0,3920.0,3850.0
2020-01-10,4000.0,4000.0,3990.0,4000.0,53900,4003.3333333333335,4006.666666666667,4013.3333333333335,4016.666666666667,3996.666666666667,3993.3333333333335,3986.666666666667
2020-01-13,4010.0,4010.0,3940.0,3990.0,49900,3996.6666666666665,4003.333333333333,4006.6666666666665,4013.333333333333,3993.333333333333,3986.6666666666665,3983.333333333333
2020-01-14,4000.0,4000.0,3930.0,3990.0,54800,3980.0,4020.0,4050.0,4090.0,3950.0,3910.0,3880.0
2020-01-15,4000.0,4000.0,3960.0,3960.0,61700,3973.3333333333335,4016.666666666667,4043.3333333333335,4086.666666666667,3946.666666666667,3903.3333333333335,3876.666666666667
2020-01-16,4000.0,4000.0,3990.0,3990.0,54400,3973.3333333333335,3986.666666666667,4013.3333333333335,4026.666666666667,3946.666666666667,3933.3333333333335,3906.666666666667
2020-01-17,3990.0,3990.0,3990.0,3990.0,55400,3993.3333333333335,3996.666666666667,4003.3333333333335,4006.666666666667,3986.666666666667,3983.3333333333335,3976.666666666667
2020-01-20,4020.0,4020.0,4010.0,4010.0,58300,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0
2020-01-21,4020.0,4030.0,4020.0,4030.0,56200,4013.3333333333335,4016.666666666667,4023.3333333333335,4026.666666666667,4006.666666666667,4003.3333333333335,3996.666666666667
2020-01-22,4040.0,4040.0,3990.0,4030.0,57800,4026.6666666666665,4033.333333333333,4036.6666666666665,4043.333333333333,4023.333333333333,4016.6666666666665,4013.333333333333
2020-01-23,4020.0,4020.0,4000.0,4010.0,60500,4020.0,4050.0,4070.0,4100.0,4000.0,3970.0,3950.0
2020-01-24,4020.0,4020.0,4000.0,4010.0,35200,4010.0,4020.0,4030.0,4040.0,4000.0,3990.0,3980.0
2020-01-27,4010.0,4010.0,3950.0,3980.0,53500,4010.0,4020.0,4030.0,4040.0,4000.0,3990.0,3980.0
2020-01-28,4000.0,4000.0,3990.0,3990.0,51600,3980.0,4010.0,4040.0,4070.0,3950.0,3920.0,3890.0
2020-01-29,3990.0,3990.0,3950.0,3980.0,53400,3993.3333333333335,3996.666666666667,4003.3333333333335,4006.666666666667,3986.666666666667,3983.3333333333335,3976.666666666667
2020-01-30,4000.0,4010.0,3990.0,4000.0,770500,3973.3333333333335,3996.666666666667,4013.3333333333335,4036.666666666667,3956.666666666667,3933.3333333333335,3916.666666666667
2020-01-31,4010.0,4010.0,3980.0,4000.0,566400,4000.0,4010.0,4020.0,4030.0,3990.0,3980.0,3970.0
