Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,555.0,555.0,535.0,545.0,57400,538.3333333333334,551.6666666666667,573.3333333333334,586.6666666666667,516.6666666666667,503.33333333333337,481.66666666666674
2019-12-30,530.0,550.0,525.0,540.0,133500,545.0,555.0,565.0,575.0,535.0,525.0,515.0
2020-01-02,560.0,590.0,550.0,565.0,12700,538.3333333333334,551.6666666666667,563.3333333333334,576.6666666666667,526.6666666666667,513.3333333333334,501.66666666666674
2020-01-03,565.0,570.0,540.0,550.0,47900,568.3333333333334,586.6666666666667,608.3333333333334,626.6666666666667,546.6666666666667,528.3333333333334,506.66666666666674
2020-01-06,550.0,550.0,550.0,550.0,24600,553.3333333333334,566.6666666666667,583.3333333333334,596.6666666666667,536.6666666666667,523.3333333333334,506.66666666666674
2020-01-07,550.0,585.0,550.0,555.0,15500,550.0,550.0,550.0,550.0,550.0,550.0,550.0
2020-01-08,555.0,570.0,452.0,550.0,46800,563.3333333333334,576.6666666666667,598.3333333333334,611.6666666666667,541.6666666666667,528.3333333333334,506.66666666666674
2020-01-09,550.0,550.0,500.0,550.0,2100,524.0,596.0,642.0,714.0,478.0,406.0,360.0
2020-01-10,510.0,550.0,510.0,550.0,9900,533.3333333333334,566.6666666666667,583.3333333333334,616.6666666666667,516.6666666666667,483.33333333333337,466.66666666666674
2020-01-13,550.0,550.0,500.0,545.0,77600,536.6666666666666,563.3333333333333,576.6666666666666,603.3333333333333,523.3333333333333,496.66666666666663,483.33333333333326
2020-01-14,540.0,575.0,540.0,555.0,1800,531.6666666666666,563.3333333333333,581.6666666666666,613.3333333333333,513.3333333333333,481.66666666666663,463.33333333333326
2020-01-15,555.0,555.0,530.0,530.0,300,556.6666666666666,573.3333333333333,591.6666666666666,608.3333333333333,538.3333333333333,521.6666666666666,503.33333333333326
2020-01-16,550.0,570.0,550.0,570.0,600,538.3333333333334,546.6666666666667,563.3333333333334,571.6666666666667,521.6666666666667,513.3333333333334,496.66666666666674
2020-01-17,530.0,535.0,525.0,530.0,6000,563.3333333333334,576.6666666666667,583.3333333333334,596.6666666666667,556.6666666666667,543.3333333333334,536.6666666666667
2020-01-20,530.0,530.0,525.0,525.0,11000,530.0,535.0,540.0,545.0,525.0,520.0,515.0
2020-01-21,525.0,545.0,520.0,545.0,7800,526.6666666666666,528.3333333333333,531.6666666666666,533.3333333333333,523.3333333333333,521.6666666666666,518.3333333333333
2020-01-22,540.0,540.0,520.0,520.0,120400,536.6666666666666,553.3333333333333,561.6666666666666,578.3333333333333,528.3333333333333,511.66666666666663,503.33333333333326
