Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,11200.0,11325.0,11150.0,11225.0,532400,11258.333333333334,11366.666666666668,11483.333333333334,11591.666666666668,11141.666666666668,11033.333333333334,10916.666666666668
2019-12-30,11225.0,11525.0,11225.0,11475.0,1387600,11233.333333333334,11316.666666666668,11408.333333333334,11491.666666666668,11141.666666666668,11058.333333333334,10966.666666666668
2020-01-02,11450.0,11450.0,11225.0,11350.0,866600,11408.333333333334,11591.666666666668,11708.333333333334,11891.666666666668,11291.666666666668,11108.333333333334,10991.666666666668
2020-01-03,11550.0,11775.0,11400.0,11725.0,1902800,11341.666666666666,11458.333333333332,11566.666666666666,11683.333333333332,11233.333333333332,11116.666666666666,11008.333333333332
2020-01-06,11725.0,12025.0,11575.0,11800.0,1353300,11633.333333333334,11866.666666666668,12008.333333333334,12241.666666666668,11491.666666666668,11258.333333333334,11116.666666666668
2020-01-07,11900.0,11950.0,11750.0,11900.0,1004200,11800.0,12025.0,12250.0,12475.0,11575.0,11350.0,11125.0
2020-01-08,11875.0,12050.0,11725.0,11725.0,1420400,11866.666666666666,11983.333333333332,12066.666666666666,12183.333333333332,11783.333333333332,11666.666666666666,11583.333333333332
2020-01-09,11725.0,11875.0,11700.0,11825.0,1452100,11833.333333333334,11941.666666666668,12158.333333333334,12266.666666666668,11616.666666666668,11508.333333333334,11291.666666666668
2020-01-10,12200.0,12750.0,12200.0,12675.0,4392600,11800.0,11900.0,11975.0,12075.0,11725.0,11625.0,11550.0
2020-01-13,12975.0,13400.0,12975.0,13350.0,3302800,12541.666666666666,12883.333333333332,13091.666666666666,13433.333333333332,12333.333333333332,11991.666666666666,11783.333333333332
2020-01-14,13500.0,13625.0,13150.0,13300.0,2644100,13241.666666666666,13508.333333333332,13666.666666666666,13933.333333333332,13083.333333333332,12816.666666666666,12658.333333333332
2020-01-15,13000.0,13100.0,12425.0,12700.0,3030500,13358.333333333334,13566.666666666668,13833.333333333334,14041.666666666668,13091.666666666668,12883.333333333334,12616.666666666668
2020-01-16,12650.0,12850.0,12625.0,12700.0,1596900,12741.666666666666,13058.333333333332,13416.666666666666,13733.333333333332,12383.333333333332,12066.666666666666,11708.333333333332
2020-01-17,12700.0,12850.0,12650.0,12775.0,742500,12725.0,12825.0,12950.0,13050.0,12600.0,12500.0,12375.0
2020-01-20,12775.0,12800.0,12275.0,12375.0,763900,12758.333333333334,12866.666666666668,12958.333333333334,13066.666666666668,12666.666666666668,12558.333333333334,12466.666666666668
2020-01-21,12400.0,12425.0,12150.0,12150.0,604400,12483.333333333334,12691.666666666668,13008.333333333334,13216.666666666668,12166.666666666668,11958.333333333334,11641.666666666668
2020-01-22,12125.0,12125.0,11925.0,12025.0,954600,12241.666666666666,12333.333333333332,12516.666666666666,12608.333333333332,12058.333333333332,11966.666666666666,11783.333333333332
2020-01-23,12075.0,12275.0,11800.0,11850.0,1422800,12025.0,12125.0,12225.0,12325.0,11925.0,11825.0,11725.0
2020-01-24,11875.0,11975.0,11700.0,11700.0,693100,11975.0,12150.0,12450.0,12625.0,11675.0,11500.0,11200.0
2020-01-27,11625.0,11625.0,11250.0,11350.0,903000,11791.666666666666,11883.333333333332,12066.666666666666,12158.333333333332,11608.333333333332,11516.666666666666,11333.333333333332
2020-01-28,11250.0,11350.0,11050.0,11175.0,2068400,11408.333333333334,11566.666666666668,11783.333333333334,11941.666666666668,11191.666666666668,11033.333333333334,10816.666666666668
2020-01-29,11200.0,11350.0,10900.0,10900.0,2517600,11191.666666666666,11333.333333333332,11491.666666666666,11633.333333333332,11033.333333333332,10891.666666666666,10733.333333333332
2020-01-30,10900.0,10975.0,10600.0,10750.0,1403900,11050.0,11200.0,11500.0,11650.0,10750.0,10600.0,10300.0
2020-01-31,10750.0,10800.0,10050.0,10050.0,2668400,10775.0,10950.0,11150.0,11325.0,10575.0,10400.0,10200.0
2020-02-03,10050.0,10400.0,9800.0,10050.0,3045400,10300.0,10550.0,11050.0,11300.0,9800.0,9550.0,9050.0
2020-02-04,10100.0,10350.0,10075.0,10150.0,1370400,10083.333333333334,10366.666666666668,10683.333333333334,10966.666666666668,9766.666666666668,9483.333333333334,9166.666666666668
2020-02-05,10375.0,10550.0,10375.0,10450.0,2809900,10191.666666666666,10308.333333333332,10466.666666666666,10583.333333333332,10033.333333333332,9916.666666666666,9758.333333333332
2020-02-06,10750.0,10775.0,10475.0,10525.0,1858900,10458.333333333334,10541.666666666668,10633.333333333334,10716.666666666668,10366.666666666668,10283.333333333334,10191.666666666668
2020-02-07,10525.0,10550.0,10325.0,10425.0,1145100,10591.666666666666,10708.333333333332,10891.666666666666,11008.333333333332,10408.333333333332,10291.666666666666,10108.333333333332
2020-02-10,10400.0,10400.0,10100.0,10150.0,1627900,10433.333333333334,10541.666666666668,10658.333333333334,10766.666666666668,10316.666666666668,10208.333333333334,10091.666666666668
2020-02-11,10125.0,10250.0,10025.0,10150.0,1430800,10216.666666666666,10333.333333333332,10516.666666666666,10633.333333333332,10033.333333333332,9916.666666666666,9733.333333333332
2020-02-12,10250.0,10275.0,10050.0,10075.0,1471100,10141.666666666666,10258.333333333332,10366.666666666666,10483.333333333332,10033.333333333332,9916.666666666666,9808.333333333332
2020-02-13,10200.0,10200.0,10050.0,10150.0,940400,10133.333333333334,10216.666666666668,10358.333333333334,10441.666666666668,9991.666666666668,9908.333333333334,9766.666666666668
2020-02-14,10100.0,10175.0,10025.0,10050.0,1156400,10133.333333333334,10216.666666666668,10283.333333333334,10366.666666666668,10066.666666666668,9983.333333333334,9916.666666666668
2020-02-17,10125.0,10500.0,10075.0,10500.0,1853300,10083.333333333334,10141.666666666668,10233.333333333334,10291.666666666668,9991.666666666668,9933.333333333334,9841.666666666668
2020-02-18,10525.0,10975.0,10525.0,10950.0,2077500,10358.333333333334,10641.666666666668,10783.333333333334,11066.666666666668,10216.666666666668,9933.333333333334,9791.666666666668
2020-02-19,10925.0,10925.0,10675.0,10800.0,1313300,10816.666666666666,11108.333333333332,11266.666666666666,11558.333333333332,10658.333333333332,10366.666666666666,10208.333333333332
2020-02-20,10800.0,11075.0,10775.0,10925.0,1956000,10800.0,10925.0,11050.0,11175.0,10675.0,10550.0,10425.0
2020-02-21,10850.0,10850.0,10475.0,10575.0,1617700,10925.0,11075.0,11225.0,11375.0,10775.0,10625.0,10475.0
2020-02-24,10400.0,10675.0,10300.0,10650.0,1927500,10633.333333333334,10791.666666666668,11008.333333333334,11166.666666666668,10416.666666666668,10258.333333333334,10041.666666666668
2020-02-25,10600.0,11175.0,10450.0,11000.0,3497200,10541.666666666666,10783.333333333332,10916.666666666666,11158.333333333332,10408.333333333332,10166.666666666666,10033.333333333332
2020-02-26,10650.0,11175.0,10650.0,11150.0,2552400,10875.0,11300.0,11600.0,12025.0,10575.0,10150.0,9850.0
2020-02-27,11175.0,11350.0,10525.0,11025.0,3220000,10991.666666666666,11333.333333333332,11516.666666666666,11858.333333333332,10808.333333333332,10466.666666666666,10283.333333333332
2020-02-28,10725.0,11300.0,10325.0,11300.0,3843400,10966.666666666666,11408.333333333332,11791.666666666666,12233.333333333332,10583.333333333332,10141.666666666666,9758.333333333332
2020-03-02,11150.0,11225.0,10700.0,10875.0,2510300,10975.0,11625.0,11950.0,12600.0,10650.0,10000.0,9675.0
2020-03-03,10875.0,11200.0,10875.0,11050.0,2895600,10933.333333333334,11166.666666666668,11458.333333333334,11691.666666666668,10641.666666666668,10408.333333333334,10116.666666666668
2020-03-04,10850.0,11200.0,10825.0,10950.0,2944300,11041.666666666666,11208.333333333332,11366.666666666666,11533.333333333332,10883.333333333332,10716.666666666666,10558.333333333332
2020-03-05,10950.0,11150.0,10875.0,10900.0,1200100,10991.666666666666,11158.333333333332,11366.666666666666,11533.333333333332,10783.333333333332,10616.666666666666,10408.333333333332
2020-03-06,10700.0,10800.0,10400.0,10425.0,2154300,10975.0,11075.0,11250.0,11350.0,10800.0,10700.0,10525.0
2020-03-09,10000.0,10125.0,9550.0,9550.0,2647400,10541.666666666666,10683.333333333332,10941.666666666666,11083.333333333332,10283.333333333332,10141.666666666666,9883.333333333332
2020-03-10,9450.0,9925.0,9450.0,9500.0,2336200,9741.666666666666,9933.333333333332,10316.666666666666,10508.333333333332,9358.333333333332,9166.666666666666,8783.333333333332
2020-03-11,9500.0,9650.0,9025.0,9025.0,1714900,9625.0,9800.0,10100.0,10275.0,9325.0,9150.0,8850.0
2020-03-12,8900.0,8900.0,8300.0,8300.0,1698600,9233.333333333334,9441.666666666668,9858.333333333334,10066.666666666668,8816.666666666668,8608.333333333334,8191.666666666668
2020-03-13,8200.0,8200.0,7725.0,7975.0,2625200,8500.0,8700.0,9100.0,9300.0,8100.0,7900.0,7500.0
