Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,2190.0,2200.0,2170.0,2190.0,20650000,,
2019-12-27,2190.0,2260.0,2190.0,2250.0,59014500,2260.0,
2019-12-30,2250.0,2250.0,2160.0,2170.0,34735400,,
2020-01-02,2170.0,2180.0,2110.0,2140.0,20783400,,
2020-01-03,2140.0,2160.0,2110.0,2160.0,24049800,,
2020-01-06,2160.0,2200.0,2130.0,2150.0,46296100,2200.0,
2020-01-07,2120.0,2140.0,2070.0,2100.0,59205400,,2070.0
2020-01-08,2080.0,2120.0,2080.0,2100.0,28479000,,
2020-01-09,2120.0,2130.0,2070.0,2100.0,32457400,2130.0,
2020-01-10,2120.0,2120.0,2070.0,2080.0,26998000,,
2020-01-13,2090.0,2100.0,2070.0,2090.0,15791100,,
2020-01-14,2080.0,2120.0,2070.0,2090.0,32691200,2120.0,
2020-01-15,2090.0,2100.0,2010.0,2040.0,44648300,,2010.0
2020-01-16,2040.0,2070.0,2020.0,2030.0,31412600,,
2020-01-17,2060.0,2060.0,2020.0,2020.0,19358000,,
2020-01-20,2040.0,2040.0,1950.0,1965.0,53652300,,
2020-01-21,1950.0,1980.0,1940.0,1955.0,14857900,,
2020-01-22,1955.0,2000.0,1905.0,1910.0,47647200,2000.0,
2020-01-23,1930.0,1935.0,1900.0,1915.0,29497600,,
2020-01-24,1915.0,1930.0,1880.0,1880.0,51592500,,
2020-01-27,1880.0,1880.0,1810.0,1815.0,49087600,,
2020-01-28,1800.0,1830.0,1770.0,1810.0,61800200,,1770.0
2020-01-29,1820.0,1845.0,1785.0,1795.0,53926300,1845.0,
2020-01-30,1805.0,1840.0,1795.0,1800.0,54175900,,
2020-01-31,1810.0,1820.0,1705.0,1705.0,85530800,,
2020-02-03,1680.0,1725.0,1675.0,1700.0,38058200,,
2020-02-04,1700.0,1710.0,1520.0,1520.0,166404400,,
2020-02-05,1530.0,1585.0,1445.0,1475.0,209517700,,1445.0
2020-02-06,1500.0,1540.0,1480.0,1520.0,119388900,,
2020-02-07,1520.0,1555.0,1500.0,1540.0,110802500,1555.0,
2020-02-10,1530.0,1535.0,1500.0,1525.0,58728700,,
2020-02-11,1540.0,1560.0,1525.0,1535.0,55085900,1560.0,
2020-02-12,1540.0,1545.0,1490.0,1495.0,82712000,,
2020-02-13,1495.0,1525.0,1480.0,1505.0,66759400,,1480.0
2020-02-14,1505.0,1520.0,1495.0,1520.0,47548200,,
2020-02-17,1520.0,1525.0,1495.0,1495.0,37343600,1525.0,
2020-02-18,1495.0,1520.0,1490.0,1505.0,37718000,,1490.0
2020-02-19,1505.0,1550.0,1505.0,1530.0,70151200,,
2020-02-20,1530.0,1580.0,1520.0,1555.0,99359700,1580.0,
2020-02-21,1545.0,1555.0,1520.0,1525.0,56583600,,
2020-02-24,1500.0,1510.0,1480.0,1480.0,51143600,,
2020-02-25,1450.0,1520.0,1450.0,1500.0,54574200,1520.0,1450.0
2020-02-26,1480.0,1515.0,1480.0,1495.0,42886300,,
2020-02-27,1485.0,1500.0,1385.0,1385.0,80697700,,
2020-02-28,1340.0,1340.0,1255.0,1280.0,151189200,,1255.0
2020-03-02,1290.0,1350.0,1270.0,1290.0,88138900,,
2020-03-03,1310.0,1350.0,1310.0,1345.0,90612800,,
2020-03-04,1330.0,1435.0,1320.0,1425.0,88812700,,
2020-03-05,1450.0,1465.0,1400.0,1425.0,64954800,1465.0,
2020-03-06,1385.0,1395.0,1340.0,1345.0,56318300,,
2020-03-09,1275.0,1280.0,1165.0,1170.0,87316700,,1165.0
2020-03-10,1170.0,1240.0,1170.0,1205.0,84443700,,
2020-03-11,1205.0,1210.0,1120.0,1125.0,77772500,,
2020-03-12,1070.0,1070.0,1000.0,1005.0,78399800,,
2020-03-13,960.0,1040.0,935.0,980.0,114304900,,
2020-03-16,940.0,940.0,915.0,915.0,50015600,,
2020-03-17,860.0,870.0,855.0,855.0,78689700,,
2020-03-18,855.0,860.0,800.0,800.0,74146200,,
2020-03-19,745.0,750.0,745.0,745.0,10353900,,
2020-03-20,695.0,740.0,695.0,695.0,230646600,,
2020-03-23,695.0,695.0,650.0,650.0,13816900,,
2020-03-24,610.0,680.0,605.0,605.0,200609000,,605.0
2020-03-26,615.0,705.0,615.0,680.0,284924500,,
2020-03-27,700.0,835.0,700.0,760.0,316415300,835.0,
2020-03-30,745.0,745.0,710.0,730.0,86472900,,
2020-03-31,750.0,790.0,745.0,775.0,129356000,,
2020-04-01,765.0,815.0,735.0,735.0,148067300,815.0,
2020-04-02,730.0,800.0,710.0,800.0,176088600,,710.0
2020-04-03,810.0,840.0,795.0,800.0,199167500,,
2020-04-06,820.0,895.0,815.0,895.0,297293100,,
2020-04-07,925.0,950.0,875.0,915.0,307009600,950.0,
2020-04-08,900.0,915.0,855.0,855.0,125212700,,
2020-04-09,850.0,880.0,820.0,835.0,172427700,,
2020-04-13,800.0,860.0,800.0,830.0,92693600,,800.0
2020-04-14,850.0,900.0,835.0,900.0,219176300,,
2020-04-15,910.0,920.0,840.0,840.0,285125800,920.0,
2020-04-16,830.0,840.0,800.0,805.0,143174400,,800.0
2020-04-17,825.0,845.0,820.0,835.0,126383900,,
2020-04-20,830.0,845.0,800.0,805.0,114845000,,
2020-04-21,800.0,800.0,760.0,765.0,99714000,,
2020-04-22,755.0,775.0,730.0,765.0,136720300,,730.0
2020-04-23,775.0,800.0,760.0,770.0,121051000,,
2020-04-24,785.0,800.0,760.0,770.0,142957600,,
2020-04-27,775.0,790.0,760.0,785.0,50742100,,
2020-04-28,775.0,790.0,770.0,780.0,42480100,,
2020-04-29,790.0,795.0,780.0,790.0,39795500,,
2020-04-30,800.0,855.0,800.0,855.0,180202200,855.0,
2020-05-04,850.0,850.0,810.0,820.0,116776300,,
2020-05-05,825.0,835.0,805.0,815.0,121349800,,
2020-05-06,815.0,835.0,805.0,815.0,178524800,,
2020-05-08,830.0,865.0,815.0,860.0,318826400,,
2020-05-11,870.0,905.0,870.0,895.0,332702600,905.0,
2020-05-12,895.0,900.0,850.0,855.0,148852200,,
2020-05-13,820.0,870.0,815.0,855.0,127208100,,
2020-05-14,840.0,855.0,805.0,810.0,145351000,,
2020-05-15,820.0,830.0,780.0,790.0,142061100,,780.0
2020-05-18,810.0,840.0,800.0,835.0,97806100,,
2020-05-19,850.0,860.0,835.0,840.0,117706600,860.0,
2020-05-20,840.0,850.0,820.0,830.0,86715700,,820.0
2020-05-26,850.0,890.0,840.0,890.0,198105500,,
2020-05-27,900.0,910.0,870.0,885.0,223054200,910.0,
2020-05-28,890.0,905.0,870.0,885.0,207684500,,
2020-05-29,855.0,860.0,835.0,860.0,266711300,,835.0
2020-06-02,860.0,925.0,860.0,885.0,244429200,,
2020-06-03,900.0,980.0,895.0,970.0,544273300,,
2020-06-04,980.0,1030.0,950.0,955.0,418446600,,
2020-06-05,965.0,1030.0,945.0,1030.0,341658900,,945.0
2020-06-08,1070.0,1135.0,1050.0,1110.0,393276900,,
2020-06-09,1150.0,1160.0,1090.0,1095.0,276527100,1160.0,
2020-06-10,1095.0,1110.0,1020.0,1040.0,272865000,,
2020-06-11,1030.0,1070.0,1000.0,1030.0,206158300,,
2020-06-12,1015.0,1060.0,960.0,1045.0,249131400,,960.0
2020-06-15,1045.0,1060.0,995.0,995.0,197702600,,
2020-06-16,1020.0,1125.0,1020.0,1120.0,393632700,,
2020-06-17,1125.0,1155.0,1095.0,1125.0,234780900,1155.0,
2020-06-18,1115.0,1135.0,1090.0,1110.0,138139000,,
2020-06-19,1105.0,1125.0,1080.0,1080.0,130995700,,
2020-06-22,1085.0,1090.0,1055.0,1060.0,78736100,,
2020-06-23,1045.0,1100.0,1040.0,1095.0,108966000,,1040.0
2020-06-24,1100.0,1170.0,1090.0,1130.0,293977300,1170.0,
2020-06-25,1100.0,1130.0,1085.0,1090.0,168840200,,1085.0
2020-06-26,1105.0,1160.0,1100.0,1135.0,283310800,,
2020-06-29,1125.0,1160.0,1115.0,1150.0,201770400,,
2020-06-30,1175.0,1185.0,1135.0,1135.0,280957000,1185.0,
2020-07-01,1135.0,1150.0,1110.0,1135.0,113680900,,1110.0
2020-07-02,1145.0,1150.0,1120.0,1125.0,149236800,,
2020-07-03,1130.0,1140.0,1110.0,1110.0,90082800,,1110.0
2020-07-06,1125.0,1135.0,1115.0,1135.0,72598300,,
2020-07-07,1140.0,1155.0,1130.0,1140.0,141417300,,
2020-07-08,1150.0,1180.0,1140.0,1170.0,213135400,,
2020-07-09,1185.0,1190.0,1155.0,1160.0,143608200,1190.0,
2020-07-10,1160.0,1165.0,1130.0,1135.0,80850900,,1130.0
2020-07-13,1140.0,1165.0,1140.0,1160.0,49146600,,
2020-07-14,1160.0,1185.0,1145.0,1165.0,104248000,,
2020-07-15,1180.0,1190.0,1150.0,1155.0,97700600,1190.0,
2020-07-16,1160.0,1170.0,1150.0,1160.0,65006200,,
2020-07-17,1155.0,1170.0,1145.0,1160.0,50234900,,
2020-07-20,1160.0,1165.0,1135.0,1140.0,54876400,,1135.0
2020-07-21,1145.0,1170.0,1145.0,1155.0,74949000,,
2020-07-22,1165.0,1230.0,1160.0,1220.0,414497900,,
2020-07-23,1235.0,1270.0,1225.0,1245.0,187897700,1270.0,
2020-07-24,1250.0,1260.0,1210.0,1220.0,110530200,,
2020-07-27,1210.0,1250.0,1210.0,1230.0,67576100,,
2020-07-28,1235.0,1245.0,1210.0,1220.0,56839200,,
2020-07-29,1220.0,1250.0,1205.0,1230.0,100171500,,1205.0
2020-07-30,1250.0,1280.0,1230.0,1265.0,221126300,,
2020-08-03,1265.0,1280.0,1180.0,1200.0,192588400,,1180.0
2020-08-04,1190.0,1230.0,1190.0,1205.0,105825800,,
2020-08-05,1205.0,1235.0,1200.0,1235.0,83862900,,
2020-08-06,1240.0,1260.0,1235.0,1235.0,70343000,1260.0,
