Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,2620.0,2670.0,2620.0,2640.0,11773200,,
2019-12-27,2640.0,2680.0,2630.0,2650.0,10007300,,
2019-12-30,2650.0,2700.0,2640.0,2660.0,14763500,2700.0,
2020-01-02,2640.0,2680.0,2600.0,2630.0,8093400,,
2020-01-03,2610.0,2670.0,2600.0,2670.0,13483900,,
2020-01-06,2650.0,2740.0,2630.0,2730.0,26770600,,
2020-01-07,2730.0,2740.0,2640.0,2710.0,22952100,,
2020-01-08,2700.0,2700.0,2640.0,2670.0,15608000,,
2020-01-09,2670.0,2690.0,2650.0,2670.0,10703400,,
2020-01-10,2690.0,2800.0,2690.0,2780.0,52606300,,
2020-01-13,2810.0,2850.0,2810.0,2830.0,44452800,,
2020-01-14,2850.0,2870.0,2780.0,2790.0,28139900,2870.0,
2020-01-15,2780.0,2790.0,2690.0,2690.0,27000700,,
2020-01-16,2700.0,2740.0,2650.0,2680.0,23356800,,2650.0
2020-01-17,2690.0,2710.0,2660.0,2670.0,9792700,,
2020-01-20,2660.0,2680.0,2580.0,2590.0,21197700,,
2020-01-21,2560.0,2610.0,2540.0,2560.0,20624800,,
2020-01-22,2560.0,2570.0,2470.0,2480.0,27981500,,
2020-01-23,2460.0,2470.0,2390.0,2410.0,35676700,,
2020-01-24,2410.0,2420.0,2350.0,2370.0,25342900,,
2020-01-27,2340.0,2340.0,2240.0,2240.0,39268200,,
2020-01-28,2230.0,2340.0,2200.0,2330.0,48613600,,2200.0
2020-01-29,2360.0,2400.0,2320.0,2330.0,31015700,2400.0,
2020-01-30,2310.0,2330.0,2240.0,2240.0,30619900,,
2020-01-31,2260.0,2270.0,2200.0,2210.0,17939300,,
2020-02-03,2180.0,2220.0,2160.0,2170.0,35172600,,2160.0
2020-02-04,2190.0,2240.0,2170.0,2230.0,21085800,,
2020-02-05,2280.0,2340.0,2280.0,2320.0,32483400,,
2020-02-06,2360.0,2360.0,2280.0,2290.0,15297600,2360.0,
2020-02-07,2270.0,2340.0,2260.0,2320.0,11738300,,
2020-02-10,2300.0,2310.0,2250.0,2250.0,13933600,,
2020-02-11,2260.0,2320.0,2230.0,2310.0,13944500,,2230.0
2020-02-12,2330.0,2350.0,2260.0,2280.0,16223000,2350.0,
2020-02-13,2300.0,2300.0,2250.0,2280.0,11677000,,2250.0
2020-02-14,2280.0,2340.0,2260.0,2330.0,18474200,,
2020-02-17,2330.0,2360.0,2310.0,2340.0,13087400,,
2020-02-18,2350.0,2380.0,2340.0,2380.0,17424900,,
2020-02-19,2380.0,2420.0,2370.0,2400.0,20155700,,
2020-02-20,2420.0,2510.0,2410.0,2490.0,32998700,2510.0,
2020-02-21,2450.0,2470.0,2380.0,2410.0,22774600,,
2020-02-24,2400.0,2400.0,2320.0,2350.0,17784200,,
2020-02-25,2310.0,2430.0,2300.0,2410.0,23201800,,2300.0
2020-02-26,2410.0,2450.0,2360.0,2360.0,26455900,2450.0,
2020-02-27,2360.0,2420.0,2280.0,2290.0,26832100,,
2020-02-28,2250.0,2290.0,2190.0,2240.0,42001000,,
2020-03-02,2290.0,2290.0,2170.0,2200.0,39002300,,2170.0
2020-03-03,2250.0,2400.0,2250.0,2370.0,30483600,,
2020-03-04,2370.0,2500.0,2350.0,2470.0,33038400,,
2020-03-05,2530.0,2540.0,2460.0,2460.0,29850800,2540.0,
2020-03-06,2420.0,2480.0,2420.0,2450.0,18529800,,
2020-03-09,2370.0,2370.0,2210.0,2210.0,38358000,,2210.0
2020-03-10,2220.0,2320.0,2220.0,2310.0,23587000,,
2020-03-11,2330.0,2350.0,2170.0,2200.0,24599500,2350.0,
2020-03-12,2100.0,2190.0,2010.0,2060.0,23191300,,2010.0
2020-03-13,2060.0,2060.0,2060.0,2060.0,0,,
2020-03-16,2060.0,2060.0,2060.0,2060.0,0,,
2020-03-17,1835.0,1850.0,1710.0,1710.0,23282900,,
2020-03-18,1710.0,1710.0,1595.0,1595.0,29978700,,
2020-03-19,1590.0,1590.0,1485.0,1485.0,2795600,,
2020-03-20,1485.0,1855.0,1385.0,1800.0,79840200,,1385.0
2020-03-23,1790.0,1895.0,1675.0,1675.0,74786200,1895.0,
2020-03-24,1700.0,1815.0,1700.0,1790.0,48910700,,
2020-03-26,1850.0,2120.0,1830.0,2020.0,41809200,,
2020-03-27,2090.0,2240.0,1995.0,2040.0,71887800,2240.0,
2020-03-30,2040.0,2040.0,1900.0,1900.0,16821100,,
2020-03-31,1930.0,2180.0,1900.0,2180.0,33618700,,
2020-04-01,2120.0,2230.0,2040.0,2050.0,30561000,2230.0,
2020-04-02,2030.0,2060.0,1950.0,2030.0,23837600,,1950.0
2020-04-03,2020.0,2130.0,2020.0,2110.0,25841300,,
2020-04-06,2100.0,2160.0,2090.0,2160.0,18666000,,
2020-04-07,2250.0,2250.0,2090.0,2100.0,21588800,2250.0,
2020-04-08,2100.0,2150.0,1955.0,1995.0,19039300,,
2020-04-09,1995.0,2040.0,1935.0,1980.0,9649000,,1935.0
2020-04-13,1980.0,2030.0,1955.0,2000.0,5783600,,
2020-04-14,2020.0,2100.0,2010.0,2080.0,15932800,,
2020-04-15,2100.0,2120.0,1960.0,1960.0,19782000,2120.0,
2020-04-16,1980.0,1990.0,1895.0,1905.0,15573500,,1895.0
2020-04-17,1920.0,2000.0,1920.0,1980.0,14020600,,
2020-04-20,1990.0,2020.0,1935.0,1935.0,7323100,2020.0,
2020-04-21,1925.0,1925.0,1800.0,1825.0,26386000,,
2020-04-22,1800.0,1880.0,1775.0,1855.0,18720700,,1775.0
2020-04-23,1880.0,1925.0,1855.0,1890.0,25778600,,
2020-04-24,1880.0,1960.0,1845.0,1850.0,28119600,1960.0,
2020-04-27,1875.0,1890.0,1815.0,1825.0,16358000,,
2020-04-28,1815.0,1845.0,1770.0,1780.0,17254900,,1770.0
2020-04-29,1795.0,1820.0,1785.0,1790.0,9910000,,
2020-04-30,1815.0,1890.0,1815.0,1875.0,20464800,1890.0,
2020-05-04,1870.0,1870.0,1790.0,1815.0,11936000,,
2020-05-05,1850.0,1865.0,1780.0,1815.0,35220100,,1780.0
2020-05-06,1825.0,1910.0,1820.0,1895.0,58599000,,
2020-05-08,1915.0,2080.0,1895.0,2060.0,86015500,,
2020-05-11,2080.0,2160.0,2030.0,2050.0,38337600,2160.0,
2020-05-12,2100.0,2100.0,1980.0,1990.0,26412900,,
2020-05-13,1940.0,1975.0,1860.0,1905.0,58253000,,
2020-05-14,1870.0,1950.0,1855.0,1865.0,37832000,,
2020-05-15,1880.0,1940.0,1800.0,1815.0,30769700,,1800.0
2020-05-18,1830.0,1910.0,1805.0,1900.0,45956600,,
2020-05-19,1935.0,1985.0,1910.0,1915.0,45276000,1985.0,
2020-05-20,1920.0,1935.0,1890.0,1920.0,24247000,,1890.0
2020-05-26,1945.0,2060.0,1930.0,2040.0,51276500,,
2020-05-27,2070.0,2110.0,2020.0,2090.0,41042300,,
2020-05-28,2120.0,2140.0,2070.0,2090.0,46169400,2140.0,
2020-05-29,2090.0,2090.0,1945.0,1945.0,364481600,,1945.0
2020-06-02,1975.0,2100.0,1970.0,2080.0,125564400,,
2020-06-03,2100.0,2140.0,2050.0,2110.0,87870700,,
2020-06-04,2140.0,2300.0,2130.0,2180.0,132199300,2300.0,
2020-06-05,2200.0,2250.0,2160.0,2210.0,66641200,,
2020-06-08,2250.0,2320.0,2250.0,2300.0,93899700,,
2020-06-09,2320.0,2400.0,2310.0,2390.0,119439500,,
2020-06-10,2380.0,2480.0,2280.0,2370.0,269829400,2480.0,
2020-06-11,2350.0,2380.0,2250.0,2280.0,115570200,,
2020-06-12,2160.0,2410.0,2150.0,2390.0,161447100,,2150.0
2020-06-15,2400.0,2480.0,2350.0,2360.0,132252000,,
2020-06-16,2420.0,2480.0,2420.0,2440.0,99983800,,
2020-06-17,2480.0,2490.0,2420.0,2470.0,115857300,,
2020-06-18,2500.0,2510.0,2430.0,2450.0,216195200,2510.0,
2020-06-19,2280.0,2280.0,2280.0,2280.0,109431900,,
2020-06-22,2140.0,2200.0,2130.0,2130.0,207937000,,
2020-06-23,2070.0,2160.0,2030.0,2080.0,156000400,,2030.0
2020-06-24,2100.0,2160.0,2090.0,2120.0,108004000,,
2020-06-25,2080.0,2120.0,2050.0,2060.0,79582000,,
2020-06-26,2100.0,2110.0,2050.0,2060.0,48365400,,
2020-06-29,2050.0,2080.0,2010.0,2030.0,63577100,,
2020-06-30,2050.0,2070.0,2000.0,2020.0,51448600,,
2020-07-01,2020.0,2090.0,1995.0,2090.0,82565200,,1995.0
2020-07-02,2110.0,2120.0,2060.0,2070.0,80132800,2120.0,
2020-07-03,2100.0,2100.0,2050.0,2050.0,31700400,,
2020-07-06,2060.0,2070.0,2040.0,2070.0,33927100,,2040.0
2020-07-07,2080.0,2090.0,2050.0,2050.0,30740100,,
2020-07-08,2050.0,2100.0,2040.0,2080.0,57910300,,2040.0
2020-07-09,2080.0,2170.0,2060.0,2100.0,129801200,2170.0,
2020-07-10,2100.0,2130.0,2060.0,2070.0,53632400,,
2020-07-13,2080.0,2170.0,2070.0,2170.0,142137400,,
2020-07-14,2180.0,2200.0,2140.0,2140.0,111290100,2200.0,
2020-07-15,2190.0,2190.0,2130.0,2150.0,51534200,,
2020-07-16,2170.0,2180.0,2120.0,2120.0,31992300,,
2020-07-17,2140.0,2170.0,2110.0,2140.0,59441700,,
2020-07-20,2160.0,2160.0,2080.0,2080.0,44068400,,
2020-07-21,2080.0,2130.0,2080.0,2110.0,29396200,,
2020-07-22,2130.0,2140.0,2080.0,2080.0,31878600,,
