Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,187.0,193.0,186.0,190.0,186200,,
2019-12-27,193.0,193.0,187.0,190.0,141500,,
2019-12-30,192.0,192.0,188.0,189.0,336200,,
2020-01-02,189.0,190.0,187.0,187.0,306200,,
2020-01-03,187.0,200.0,187.0,193.0,1028800,,
2020-01-06,197.0,202.0,193.0,193.0,668200,202.0,
2020-01-07,193.0,194.0,183.0,185.0,1147700,,
2020-01-08,189.0,190.0,182.0,185.0,434300,,
2020-01-09,185.0,185.0,180.0,183.0,672700,,180.0
2020-01-10,183.0,185.0,181.0,184.0,342600,,
2020-01-13,185.0,185.0,182.0,184.0,443200,,
2020-01-14,184.0,185.0,183.0,184.0,300900,,
2020-01-15,184.0,187.0,177.0,183.0,999500,187.0,177.0
2020-01-16,183.0,183.0,180.0,181.0,364900,,
2020-01-17,181.0,184.0,180.0,180.0,528200,184.0,
2020-01-20,180.0,182.0,170.0,170.0,1387400,,
2020-01-21,169.0,170.0,162.0,167.0,1179400,,
2020-01-22,167.0,171.0,154.0,157.0,2429900,171.0,
2020-01-23,157.0,167.0,149.0,151.0,5327500,,
2020-01-24,151.0,157.0,146.0,147.0,1413300,,
2020-01-27,147.0,149.0,138.0,138.0,1559700,,
2020-01-28,138.0,160.0,137.0,144.0,2936900,160.0,137.0
2020-01-29,144.0,146.0,140.0,140.0,764700,,
2020-01-30,143.0,143.0,139.0,139.0,333700,,
2020-01-31,140.0,140.0,127.0,130.0,1595000,,
2020-02-03,128.0,128.0,110.0,122.0,1758300,,110.0
2020-02-04,123.0,127.0,123.0,123.0,317400,,
2020-02-05,125.0,133.0,124.0,126.0,768900,133.0,
2020-02-06,128.0,130.0,125.0,126.0,735000,,
2020-02-07,126.0,130.0,125.0,126.0,738100,,
2020-02-10,126.0,127.0,118.0,121.0,1260000,,118.0
2020-02-11,122.0,163.0,119.0,153.0,60904900,163.0,
2020-02-12,143.0,154.0,130.0,130.0,11414400,,
2020-02-13,120.0,147.0,120.0,132.0,13357800,,120.0
2020-02-14,132.0,134.0,124.0,126.0,2354000,,
2020-02-17,126.0,133.0,123.0,126.0,2905500,,123.0
2020-02-18,129.0,129.0,125.0,125.0,1400000,,
2020-02-19,131.0,139.0,126.0,128.0,11256500,139.0,
2020-02-20,128.0,129.0,123.0,124.0,3033700,,
2020-02-21,124.0,126.0,122.0,123.0,1732500,,
2020-02-24,123.0,123.0,117.0,119.0,1393800,,
2020-02-25,120.0,128.0,115.0,117.0,3474100,128.0,
2020-02-26,117.0,118.0,103.0,108.0,8390200,,
2020-02-27,115.0,115.0,98.0,98.0,6274000,,
2020-02-28,90.0,98.0,80.0,92.0,4496800,,80.0
2020-03-02,95.0,100.0,84.0,89.0,4573900,,
2020-03-03,95.0,105.0,90.0,92.0,15203000,105.0,
2020-03-04,92.0,96.0,89.0,91.0,12111600,,89.0
2020-03-05,92.0,108.0,92.0,94.0,57954300,,
2020-03-06,94.0,108.0,92.0,101.0,43232600,,
2020-03-09,100.0,103.0,90.0,92.0,19471300,,
2020-03-10,93.0,98.0,90.0,94.0,13089500,,
2020-03-11,95.0,96.0,86.0,89.0,10001300,,
2020-03-12,88.0,88.0,81.0,82.0,6286800,,
2020-03-13,82.0,82.0,77.0,79.0,6239200,,77.0
2020-03-16,79.0,79.0,79.0,79.0,0,,
2020-03-17,70.0,74.0,69.0,69.0,2478800,,
2020-03-18,68.0,68.0,65.0,65.0,1187500,,
2020-03-19,61.0,61.0,61.0,61.0,510000,,
2020-03-20,57.0,64.0,57.0,59.0,5464400,64.0,
2020-03-23,55.0,57.0,55.0,56.0,2300900,,55.0
2020-03-24,56.0,63.0,56.0,61.0,9095300,,
2020-03-26,62.0,77.0,62.0,73.0,13346000,,
2020-03-27,75.0,85.0,75.0,79.0,12564500,85.0,
2020-03-30,76.0,76.0,74.0,74.0,1745600,,
2020-03-31,71.0,89.0,69.0,82.0,18472800,,69.0
2020-04-01,84.0,93.0,81.0,86.0,14518100,,
2020-04-02,86.0,116.0,81.0,104.0,128293400,,
2020-04-03,110.0,118.0,102.0,103.0,48923400,118.0,
2020-04-06,105.0,109.0,99.0,103.0,26339200,,
2020-04-07,103.0,106.0,97.0,102.0,10926800,,
2020-04-08,103.0,104.0,95.0,96.0,7081700,,
2020-04-09,98.0,103.0,93.0,97.0,14411900,,93.0
2020-04-13,97.0,124.0,97.0,115.0,166304500,124.0,
2020-04-14,114.0,117.0,107.0,109.0,37879400,,
2020-04-15,110.0,112.0,102.0,102.0,18249500,,
2020-04-16,98.0,102.0,95.0,95.0,40481900,,
2020-04-17,90.0,104.0,90.0,97.0,29693700,104.0,90.0
2020-04-20,100.0,102.0,91.0,93.0,25911800,,
2020-04-21,87.0,95.0,87.0,89.0,12679200,,
2020-04-22,87.0,90.0,84.0,88.0,11870900,,84.0
2020-04-23,90.0,96.0,89.0,94.0,16268700,,
2020-04-24,95.0,97.0,90.0,91.0,8256000,97.0,
2020-04-27,91.0,94.0,89.0,91.0,3051600,,
2020-04-28,91.0,92.0,88.0,89.0,3325400,,
2020-04-29,90.0,90.0,87.0,89.0,4980200,,87.0
2020-04-30,90.0,100.0,89.0,96.0,34043900,100.0,
2020-05-04,95.0,98.0,93.0,95.0,9878300,,
2020-05-05,97.0,103.0,95.0,99.0,16313200,,
2020-05-06,104.0,106.0,97.0,98.0,17392000,106.0,
2020-05-08,99.0,100.0,96.0,96.0,5122900,,
2020-05-11,96.0,97.0,94.0,96.0,2829600,,
2020-05-12,96.0,96.0,92.0,93.0,3093700,,
2020-05-13,93.0,96.0,91.0,94.0,2869200,,
2020-05-14,94.0,95.0,89.0,90.0,5320900,,
2020-05-15,91.0,92.0,87.0,88.0,2701000,,87.0
2020-05-18,90.0,93.0,89.0,93.0,4945200,,
2020-05-19,94.0,96.0,90.0,92.0,3517100,96.0,
2020-05-20,91.0,92.0,90.0,91.0,1369300,,
2020-05-26,92.0,93.0,90.0,91.0,2123500,93.0,
2020-05-27,92.0,92.0,89.0,91.0,2457300,,89.0
2020-05-28,92.0,97.0,90.0,96.0,12068300,,
2020-05-29,97.0,100.0,94.0,95.0,19769500,100.0,
2020-06-02,95.0,97.0,92.0,95.0,3496500,,92.0
2020-06-03,95.0,101.0,93.0,97.0,19867600,101.0,
2020-06-04,97.0,99.0,95.0,96.0,7618400,,
2020-06-05,96.0,112.0,95.0,103.0,81491400,,
2020-06-08,105.0,113.0,104.0,111.0,57608500,,
2020-06-09,112.0,115.0,105.0,105.0,19428400,115.0,
2020-06-10,106.0,109.0,100.0,103.0,7536700,,
2020-06-11,104.0,105.0,96.0,99.0,2939100,,
2020-06-12,99.0,103.0,94.0,100.0,7193300,,94.0
2020-06-15,103.0,117.0,100.0,113.0,72471700,117.0,
2020-06-16,115.0,115.0,106.0,107.0,36078000,,
2020-06-17,107.0,108.0,102.0,105.0,9183600,,102.0
2020-06-18,105.0,109.0,104.0,107.0,11028200,,
2020-06-19,110.0,113.0,107.0,108.0,22048300,113.0,
2020-06-22,110.0,111.0,106.0,106.0,5923500,,
2020-06-23,106.0,115.0,106.0,110.0,39839900,,
2020-06-24,111.0,122.0,108.0,115.0,60542400,122.0,
2020-06-25,114.0,118.0,108.0,110.0,28765600,,
2020-06-26,112.0,113.0,108.0,109.0,7901800,,
2020-06-29,109.0,109.0,107.0,107.0,3083700,,
2020-06-30,108.0,112.0,107.0,109.0,13897500,,
2020-07-01,110.0,114.0,107.0,114.0,14825300,,
2020-07-02,116.0,116.0,111.0,113.0,9100300,116.0,
2020-07-03,114.0,115.0,110.0,111.0,5500800,,
2020-07-06,111.0,113.0,110.0,112.0,4280100,,
2020-07-07,113.0,113.0,111.0,111.0,2268100,,
2020-07-08,111.0,114.0,110.0,111.0,4842700,,
2020-07-09,112.0,114.0,110.0,110.0,9737200,,
2020-07-10,109.0,111.0,109.0,109.0,3599400,,
2020-07-13,110.0,112.0,109.0,111.0,4773900,,
2020-07-14,111.0,115.0,110.0,111.0,12052500,115.0,
2020-07-15,113.0,114.0,110.0,112.0,5144000,,
2020-07-16,113.0,119.0,111.0,114.0,39495700,119.0,
2020-07-17,115.0,117.0,113.0,115.0,11695500,,
2020-07-20,115.0,116.0,112.0,114.0,6994900,,
2020-07-21,114.0,115.0,112.0,113.0,5812300,,
2020-07-22,115.0,123.0,113.0,121.0,60503600,,
2020-07-23,122.0,131.0,121.0,122.0,62651100,131.0,
2020-07-24,122.0,126.0,117.0,119.0,27388600,,
2020-07-27,120.0,120.0,117.0,117.0,7874600,,
2020-07-28,117.0,128.0,116.0,123.0,32266800,,116.0
2020-07-29,123.0,128.0,121.0,121.0,12292600,,
2020-07-30,123.0,124.0,118.0,119.0,7755900,,
2020-08-03,119.0,121.0,111.0,111.0,22373000,,
2020-08-04,107.0,114.0,107.0,110.0,11499700,,107.0
2020-08-05,108.0,113.0,108.0,111.0,7055400,,
2020-08-06,113.0,121.0,113.0,121.0,18406300,,
2020-08-07,123.0,125.0,117.0,119.0,11274000,125.0,
2020-08-10,119.0,120.0,114.0,115.0,7718800,,
2020-08-11,118.0,121.0,114.0,116.0,23609900,121.0,
2020-08-12,119.0,119.0,114.0,115.0,14228200,,
2020-08-13,117.0,118.0,114.0,114.0,11029000,,
2020-08-14,114.0,116.0,112.0,113.0,5117200,,
2020-08-18,113.0,114.0,111.0,112.0,10413100,,
2020-08-19,114.0,116.0,110.0,111.0,26848600,116.0,
2020-08-24,110.0,113.0,108.0,109.0,28907000,,108.0
2020-08-25,110.0,115.0,109.0,112.0,46324200,,
2020-08-26,114.0,119.0,112.0,113.0,60651100,119.0,
2020-08-27,113.0,118.0,112.0,115.0,20815900,,
2020-08-28,115.0,150.0,115.0,132.0,379291200,150.0,
2020-08-31,133.0,137.0,124.0,127.0,76274100,,
2020-09-01,127.0,154.0,122.0,145.0,238872400,154.0,122.0
2020-09-02,142.0,148.0,135.0,144.0,48215600,,
2020-09-03,146.0,146.0,137.0,137.0,25481600,,
2020-09-04,136.0,139.0,131.0,133.0,17890800,,131.0
2020-09-07,133.0,141.0,132.0,136.0,15189900,141.0,
2020-09-08,135.0,139.0,134.0,134.0,12550800,,
2020-09-09,133.0,133.0,126.0,128.0,25286600,,
2020-09-10,128.0,129.0,120.0,120.0,9816300,,
2020-09-11,112.0,122.0,112.0,117.0,44212300,,112.0
2020-09-14,118.0,133.0,118.0,126.0,33851300,133.0,
2020-09-15,126.0,129.0,124.0,125.0,12350800,,
2020-09-16,126.0,131.0,120.0,121.0,22330100,131.0,120.0
2020-09-17,123.0,129.0,122.0,124.0,28668300,,
2020-09-18,124.0,128.0,122.0,124.0,11605100,,
2020-09-21,124.0,124.0,119.0,120.0,14198500,,
2020-09-22,120.0,120.0,114.0,115.0,12453700,,
2020-09-23,115.0,119.0,110.0,113.0,12641100,,
2020-09-24,113.0,114.0,106.0,107.0,17086300,,106.0
2020-09-25,110.0,117.0,108.0,113.0,32495300,,
2020-09-28,114.0,126.0,111.0,118.0,79470500,126.0,
2020-09-29,120.0,123.0,114.0,115.0,22699200,,
2020-09-30,115.0,116.0,111.0,114.0,8401500,,111.0
2020-10-01,115.0,120.0,114.0,117.0,24071000,120.0,
2020-10-02,117.0,119.0,113.0,115.0,11841500,,113.0
2020-10-05,115.0,118.0,115.0,116.0,10877100,,
2020-10-06,119.0,127.0,117.0,127.0,62657200,,
2020-10-07,130.0,130.0,121.0,122.0,34010400,130.0,
2020-10-08,123.0,126.0,120.0,124.0,18666100,,120.0
2020-10-09,126.0,128.0,122.0,125.0,22733100,128.0,
2020-10-12,125.0,126.0,121.0,122.0,15965600,,
2020-10-13,123.0,133.0,121.0,127.0,81506500,133.0,
2020-10-14,128.0,130.0,124.0,124.0,24768600,,
2020-10-15,124.0,127.0,123.0,123.0,14716600,,
2020-10-16,123.0,128.0,122.0,124.0,17340700,,122.0
2020-10-19,126.0,128.0,124.0,126.0,14980700,,
2020-10-20,128.0,128.0,124.0,124.0,8782500,,
2020-10-21,125.0,126.0,123.0,124.0,10053500,,
2020-10-22,125.0,125.0,122.0,123.0,7110700,,
2020-10-23,125.0,125.0,122.0,122.0,7343100,,
2020-10-26,125.0,152.0,123.0,141.0,231001700,152.0,
2020-10-27,141.0,142.0,132.0,132.0,37321600,,
2020-11-02,132.0,142.0,123.0,134.0,50512800,,123.0
2020-11-03,138.0,139.0,130.0,131.0,31625600,,
2020-11-04,132.0,136.0,128.0,128.0,19719400,,
2020-11-05,130.0,136.0,128.0,131.0,20622000,,
2020-11-06,131.0,136.0,130.0,134.0,16682800,,
2020-11-09,137.0,138.0,133.0,134.0,18085000,,
2020-11-10,138.0,141.0,135.0,135.0,24742900,,
2020-11-11,138.0,144.0,137.0,144.0,51616600,,
2020-11-12,145.0,147.0,140.0,141.0,25864000,147.0,
2020-11-13,141.0,144.0,137.0,139.0,8761500,,137.0
2020-11-16,139.0,142.0,139.0,140.0,7648400,,
2020-11-17,142.0,161.0,141.0,152.0,96770400,,
2020-11-18,154.0,184.0,145.0,169.0,259345100,184.0,
2020-11-19,169.0,179.0,165.0,172.0,61279100,,
2020-11-20,173.0,189.0,168.0,178.0,111903100,189.0,
2020-11-23,180.0,182.0,175.0,180.0,27095700,,
2020-11-24,182.0,196.0,177.0,189.0,127575200,,
2020-11-25,191.0,196.0,182.0,185.0,34063600,,
2020-11-26,185.0,210.0,185.0,200.0,98775300,210.0,
2020-11-27,202.0,206.0,195.0,200.0,55828200,,
2020-11-30,202.0,204.0,186.0,190.0,54916200,,
2020-12-01,192.0,197.0,181.0,190.0,32733300,,181.0
2020-12-02,191.0,197.0,190.0,196.0,28806000,,
2020-12-03,200.0,206.0,195.0,197.0,36073200,206.0,
2020-12-04,198.0,200.0,192.0,194.0,13015700,,192.0
2020-12-07,195.0,200.0,194.0,198.0,16890600,,
2020-12-08,199.0,226.0,195.0,224.0,143883500,,
2020-12-10,228.0,228.0,212.0,216.0,50980800,228.0,
2020-12-11,218.0,220.0,212.0,214.0,18126500,,
2020-12-14,214.0,232.0,210.0,228.0,76181600,,210.0
2020-12-15,232.0,284.0,222.0,284.0,187456800,,
2020-12-16,284.0,320.0,268.0,270.0,228798100,320.0,
2020-12-17,270.0,282.0,256.0,282.0,55465400,,256.0
2020-12-18,286.0,294.0,280.0,280.0,55977300,,
2020-12-21,280.0,300.0,278.0,282.0,69493400,300.0,
2020-12-22,284.0,288.0,268.0,270.0,26212000,,
2020-12-23,270.0,276.0,252.0,260.0,40414500,,
2020-12-28,270.0,290.0,252.0,290.0,98972700,,
2020-12-29,292.0,294.0,270.0,270.0,60944900,294.0,
2020-12-30,270.0,274.0,252.0,252.0,48405400,,
2021-01-04,256.0,256.0,236.0,240.0,33871100,,
2021-01-05,240.0,262.0,230.0,244.0,45025300,262.0,
2021-01-06,244.0,258.0,230.0,240.0,25136800,,
2021-01-07,250.0,252.0,240.0,244.0,22852000,,
2021-01-08,246.0,262.0,244.0,254.0,64489700,,
2021-01-11,270.0,292.0,258.0,282.0,235142700,292.0,
2021-01-12,282.0,286.0,272.0,274.0,37877800,,
2021-01-13,280.0,286.0,274.0,276.0,51984400,,
2021-01-14,278.0,308.0,266.0,292.0,296064300,308.0,266.0
2021-01-15,298.0,298.0,272.0,274.0,71752700,,
2021-01-18,274.0,288.0,258.0,258.0,76943400,,
