Tanggal,Open,High,Low,Close,Volume,Pivot_High,Pivot_Low
2019-12-26,348.0,410.0,340.0,410.0,9339600,,
2019-12-27,410.0,412.0,358.0,388.0,15198200,412.0,
2019-12-30,390.0,390.0,360.0,390.0,1111600,,
2020-01-02,394.0,400.0,344.0,348.0,14831800,400.0,
2020-01-03,352.0,360.0,334.0,358.0,6899000,,334.0
2020-01-06,364.0,364.0,338.0,354.0,15078600,364.0,
2020-01-07,358.0,358.0,336.0,336.0,4167500,,
2020-01-08,340.0,340.0,316.0,336.0,16324300,,
2020-01-09,340.0,340.0,314.0,322.0,2284100,,
2020-01-10,328.0,328.0,312.0,312.0,16300500,,
2020-01-13,316.0,346.0,300.0,346.0,6356900,,300.0
2020-01-14,346.0,346.0,316.0,330.0,16596900,,
2020-01-15,340.0,340.0,314.0,336.0,8967000,,314.0
2020-01-16,338.0,338.0,316.0,316.0,15979500,,
2020-01-17,322.0,322.0,310.0,318.0,11280000,,
2020-01-20,322.0,322.0,304.0,312.0,16766600,,304.0
2020-01-21,316.0,318.0,308.0,316.0,25666800,,
2020-01-22,320.0,320.0,304.0,306.0,20830300,320.0,
2020-01-23,314.0,314.0,300.0,302.0,24953100,,
2020-01-24,310.0,312.0,296.0,298.0,16964300,,
2020-01-27,302.0,304.0,296.0,300.0,17525300,,
2020-01-28,300.0,304.0,250.0,250.0,19105100,,
2020-01-29,264.0,264.0,216.0,260.0,2164500,,
2020-01-30,264.0,264.0,200.0,250.0,23372900,,200.0
2020-01-31,252.0,252.0,204.0,204.0,2671000,,
2020-02-03,204.0,218.0,186.0,206.0,27009500,,186.0
2020-02-04,206.0,212.0,200.0,208.0,529600,,
2020-02-05,208.0,212.0,200.0,210.0,24967900,,
2020-02-06,212.0,214.0,206.0,214.0,728200,,
2020-02-07,216.0,220.0,210.0,220.0,28977400,,
2020-02-10,222.0,222.0,204.0,210.0,2746800,222.0,204.0
2020-02-11,212.0,220.0,206.0,206.0,30165600,,
2020-02-12,210.0,216.0,160.0,165.0,2352000,,160.0
2020-02-13,172.0,218.0,165.0,198.0,38326900,218.0,
2020-02-14,200.0,200.0,165.0,165.0,801000,,
2020-02-17,170.0,170.0,160.0,163.0,37178700,,
2020-02-18,167.0,168.0,158.0,165.0,430600,,158.0
2020-02-19,167.0,168.0,160.0,164.0,36866900,,
2020-02-20,166.0,168.0,156.0,164.0,310100,,
2020-02-21,165.0,165.0,150.0,153.0,38872600,,
2020-02-24,154.0,154.0,123.0,123.0,1101200,,
2020-02-25,123.0,123.0,104.0,107.0,53480800,,
2020-02-26,111.0,120.0,88.0,93.0,1741200,,
2020-02-27,100.0,105.0,78.0,85.0,63597100,,
2020-02-28,87.0,95.0,67.0,95.0,33947600,,67.0
2020-03-02,101.0,121.0,97.0,110.0,68777900,121.0,
2020-03-03,113.0,118.0,105.0,114.0,4806800,,
2020-03-04,115.0,152.0,113.0,150.0,57482100,,
2020-03-05,153.0,164.0,149.0,159.0,6398600,164.0,
2020-03-06,160.0,160.0,149.0,152.0,40020000,,
2020-03-09,151.0,151.0,109.0,117.0,715200,,109.0
2020-03-10,121.0,129.0,112.0,120.0,53867300,,
2020-03-11,122.0,140.0,119.0,128.0,1467300,140.0,
2020-03-12,132.0,132.0,116.0,118.0,48148500,,
2020-03-13,118.0,118.0,110.0,110.0,73300,,
2020-03-16,111.0,111.0,103.0,103.0,61733900,,
2020-03-17,103.0,105.0,96.0,105.0,5801100,,96.0
2020-03-18,104.0,120.0,98.0,104.0,65411000,120.0,
2020-03-19,105.0,119.0,97.0,119.0,5656800,,97.0
2020-03-20,120.0,120.0,111.0,111.0,60215900,,
2020-03-23,110.0,148.0,104.0,148.0,30508800,,104.0
2020-03-24,153.0,153.0,138.0,138.0,63500000,,
2020-03-26,139.0,186.0,133.0,186.0,37173600,,133.0
2020-03-27,189.0,230.0,185.0,200.0,54171800,230.0,
2020-03-30,190.0,193.0,186.0,193.0,84900,,
2020-03-31,193.0,194.0,180.0,180.0,499000,194.0,
2020-04-01,180.0,180.0,180.0,180.0,0,,
2020-04-02,180.0,180.0,180.0,180.0,0,,
2020-04-03,180.0,180.0,180.0,180.0,0,,
2020-04-06,180.0,180.0,180.0,180.0,0,,
2020-04-07,180.0,180.0,180.0,180.0,0,,
2020-04-08,180.0,180.0,180.0,180.0,0,,
2020-04-09,180.0,180.0,180.0,180.0,0,,
2020-04-13,180.0,180.0,180.0,180.0,0,,
2020-04-14,180.0,180.0,180.0,180.0,0,,
2020-04-15,180.0,180.0,180.0,180.0,0,,
2020-04-16,180.0,180.0,180.0,180.0,0,,
2020-04-17,180.0,180.0,180.0,180.0,0,,
2020-04-20,180.0,180.0,180.0,180.0,0,,
2020-04-21,180.0,180.0,180.0,180.0,0,,
2020-04-22,180.0,180.0,180.0,180.0,0,,
2020-04-23,180.0,180.0,180.0,180.0,0,,
2020-04-24,180.0,180.0,180.0,180.0,0,,
2020-04-27,180.0,180.0,180.0,180.0,0,,
2020-04-28,180.0,180.0,180.0,180.0,0,,
2020-04-29,180.0,180.0,180.0,180.0,0,,
2020-04-30,180.0,180.0,180.0,180.0,0,,
2020-05-04,179.0,180.0,168.0,168.0,52900,,
2020-05-05,157.0,157.0,157.0,157.0,30300,,
2020-05-06,147.0,147.0,147.0,147.0,15700,,
2020-05-08,140.0,140.0,137.0,137.0,16200,,
