Tanggal,Open,High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3
2019-12-27,350.0,358.0,350.0,358.0,44100,360.6666666666667,365.33333333333337,372.6666666666667,377.33333333333337,353.33333333333337,348.6666666666667,341.33333333333337
2019-12-30,358.0,370.0,352.0,358.0,11000,355.3333333333333,360.66666666666663,363.3333333333333,368.66666666666663,352.66666666666663,347.3333333333333,344.66666666666663
2020-01-02,370.0,370.0,350.0,368.0,29400,360.0,368.0,378.0,386.0,350.0,342.0,332.0
2020-01-03,352.0,362.0,352.0,362.0,130000,362.6666666666667,375.33333333333337,382.6666666666667,395.33333333333337,355.33333333333337,342.6666666666667,335.33333333333337
2020-01-06,362.0,362.0,358.0,358.0,15200,358.6666666666667,365.33333333333337,368.6666666666667,375.33333333333337,355.33333333333337,348.6666666666667,345.33333333333337
2020-01-07,344.0,358.0,344.0,358.0,20100,359.3333333333333,360.66666666666663,363.3333333333333,364.66666666666663,356.66666666666663,355.3333333333333,352.66666666666663
2020-01-08,358.0,358.0,358.0,358.0,20100,353.3333333333333,362.66666666666663,367.3333333333333,376.66666666666663,348.66666666666663,339.3333333333333,334.66666666666663
2020-01-09,346.0,358.0,346.0,358.0,25100,358.0,358.0,358.0,358.0,358.0,358.0,358.0
2020-01-10,370.0,370.0,342.0,358.0,56800,354.0,362.0,366.0,374.0,350.0,342.0,338.0
2020-01-13,356.0,358.0,356.0,358.0,50600,356.6666666666667,371.33333333333337,384.6666666666667,399.33333333333337,343.33333333333337,328.6666666666667,315.33333333333337
2020-01-14,358.0,358.0,358.0,358.0,60000,357.3333333333333,358.66666666666663,359.3333333333333,360.66666666666663,356.66666666666663,355.3333333333333,354.66666666666663
2020-01-15,346.0,356.0,342.0,354.0,231400,358.0,358.0,358.0,358.0,358.0,358.0,358.0
2020-01-16,344.0,354.0,344.0,354.0,104000,350.6666666666667,359.33333333333337,364.6666666666667,373.33333333333337,345.33333333333337,336.6666666666667,331.33333333333337
2020-01-17,344.0,352.0,344.0,352.0,22100,350.6666666666667,357.33333333333337,360.6666666666667,367.33333333333337,347.33333333333337,340.6666666666667,337.33333333333337
2020-01-20,352.0,352.0,352.0,352.0,600,349.3333333333333,354.66666666666663,357.3333333333333,362.66666666666663,346.66666666666663,341.3333333333333,338.66666666666663
2020-01-21,368.0,368.0,368.0,368.0,20000,352.0,352.0,352.0,352.0,352.0,352.0,352.0
2020-01-22,346.0,358.0,346.0,358.0,30100,368.0,368.0,368.0,368.0,368.0,368.0,368.0
2020-01-23,340.0,370.0,340.0,370.0,20500,354.0,362.0,366.0,374.0,350.0,342.0,338.0
2020-01-24,350.0,370.0,350.0,370.0,10200,360.0,380.0,390.0,410.0,350.0,330.0,320.0
2020-01-27,370.0,370.0,370.0,370.0,50000,363.3333333333333,376.66666666666663,383.3333333333333,396.66666666666663,356.66666666666663,343.3333333333333,336.66666666666663
2020-01-28,358.0,358.0,338.0,356.0,52800,370.0,370.0,370.0,370.0,370.0,370.0,370.0
2020-01-29,350.0,354.0,326.0,354.0,151100,350.6666666666667,363.33333333333337,370.6666666666667,383.33333333333337,343.33333333333337,330.6666666666667,323.33333333333337
