Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-08,390.0,332.0,390.0,,Resistance,390.0,169.0,221.0,0.038180208641611875,380.37914691943126,251.98534588632796
2020-01-10,348.0,270.0,348.0,,Resistance,348.0,169.0,179.0,-0.12849615046280383,380.37914691943126,251.98534588632796
2020-01-15,370.0,266.0,370.0,,Resistance,370.0,169.0,201.0,-0.04118948617001465,380.37914691943126,251.98534588632796
2020-01-20,320.0,242.0,320.0,242.0,Resistance,320.0,169.0,151.0,-0.23961372319908097,380.37914691943126,251.98534588632796
2020-01-22,292.0,270.0,292.0,,Resistance,292.0,169.0,123.0,-0.3507312959353581,380.37914691943126,251.98534588632796
2020-01-28,270.0,244.0,270.0,,Resistance,270.0,169.0,101.0,-0.4380379602281473,380.37914691943126,251.98534588632796
2020-01-30,266.0,244.0,266.0,,Resistance,266.0,169.0,97.0,-0.4539118991904726,380.37914691943126,251.98534588632796
2020-02-04,272.0,220.0,272.0,220.0,Resistance,272.0,169.0,103.0,-0.4301009907469846,380.37914691943126,251.98534588632796
2020-02-12,246.0,230.0,246.0,,Resistance,246.0,169.0,77.0,-0.5332815940020991,380.37914691943126,251.98534588632796
2020-02-27,130.0,129.0,,129.0,Support,129.0,169.0,-40.0,-0.9975943086501143,380.37914691943126,251.98534588632796
2020-03-04,150.0,101.0,,101.0,Support,101.0,169.0,-68.0,-1.1087118813863914,380.37914691943126,251.98534588632796
2020-03-10,120.0,100.0,,100.0,Support,100.0,169.0,-69.0,-1.1126803661269729,380.37914691943126,251.98534588632796
2020-03-16,135.0,100.0,,100.0,Support,100.0,169.0,-69.0,-1.1126803661269729,380.37914691943126,251.98534588632796
2020-03-18,226.0,160.0,226.0,,Resistance,226.0,169.0,57.0,-0.6126512888137257,380.37914691943126,251.98534588632796
2020-03-20,165.0,156.0,,156.0,Support,156.0,169.0,-13.0,-0.8904452206544184,380.37914691943126,251.98534588632796
2020-03-23,210.0,160.0,210.0,,Resistance,210.0,169.0,41.0,-0.6761470446630269,380.37914691943126,251.98534588632796
2020-04-07,150.0,122.0,,122.0,Support,122.0,169.0,-47.0,-1.0253737018341835,380.37914691943126,251.98534588632796
2020-04-16,117.0,108.0,,108.0,Support,108.0,169.0,-61.0,-1.0809324882023221,380.37914691943126,251.98534588632796
2020-04-22,130.0,115.0,,115.0,Support,115.0,169.0,-54.0,-1.0531530950182528,380.37914691943126,251.98534588632796
2020-05-20,95.0,92.0,,92.0,Support,92.0,169.0,-77.0,-1.1444282440516234,380.37914691943126,251.98534588632796
2020-06-04,100.0,90.0,,90.0,Support,90.0,169.0,-79.0,-1.152365213532786,380.37914691943126,251.98534588632796
2020-06-15,123.0,110.0,,110.0,Support,110.0,169.0,-59.0,-1.0729955187211595,380.37914691943126,251.98534588632796
2020-06-19,143.0,125.0,,125.0,Support,125.0,169.0,-44.0,-1.0134682476124397,380.37914691943126,251.98534588632796
2020-06-25,268.0,220.0,268.0,,Resistance,268.0,169.0,99.0,-0.4459749297093099,380.37914691943126,251.98534588632796
2020-07-01,230.0,200.0,230.0,,Resistance,230.0,169.0,61.0,-0.5967773498514003,380.37914691943126,251.98534588632796
2020-07-08,183.0,168.0,,168.0,Support,168.0,169.0,-1.0,-0.8428234037674426,380.37914691943126,251.98534588632796
2020-07-13,183.0,175.0,183.0,,Resistance,183.0,169.0,14.0,-0.7832961326587227,380.37914691943126,251.98534588632796
2020-07-29,179.0,154.0,179.0,,Resistance,179.0,169.0,10.0,-0.7991700716210479,380.37914691943126,251.98534588632796
2020-08-04,160.0,150.0,,150.0,Support,150.0,169.0,-19.0,-0.9142561290979064,380.37914691943126,251.98534588632796
2020-08-05,170.0,160.0,170.0,,Resistance,170.0,169.0,1.0,-0.83488643428628,380.37914691943126,251.98534588632796
2020-08-13,145.0,140.0,,140.0,Support,140.0,169.0,-29.0,-0.9539409765037197,380.37914691943126,251.98534588632796
2020-08-19,149.0,132.0,,132.0,Support,132.0,169.0,-37.0,-0.9856888544283703,380.37914691943126,251.98534588632796
2020-09-01,145.0,134.0,,134.0,Support,134.0,169.0,-35.0,-0.9777518849472077,380.37914691943126,251.98534588632796
2020-09-02,170.0,142.0,170.0,,Resistance,170.0,169.0,1.0,-0.83488643428628,380.37914691943126,251.98534588632796
2020-09-03,152.0,135.0,,135.0,Support,135.0,169.0,-34.0,-0.9737834002066263,380.37914691943126,251.98534588632796
2020-09-11,134.0,121.0,,121.0,Support,121.0,169.0,-48.0,-1.029342186574765,380.37914691943126,251.98534588632796
2020-09-17,140.0,129.0,,129.0,Support,129.0,169.0,-40.0,-0.9975943086501143,380.37914691943126,251.98534588632796
2020-09-22,135.0,125.0,,125.0,Support,125.0,169.0,-44.0,-1.0134682476124397,380.37914691943126,251.98534588632796
2020-09-29,142.0,128.0,142.0,128.0,Support,128.0,169.0,-41.0,-1.0015627933906956,380.37914691943126,251.98534588632796
2020-10-01,138.0,127.0,,127.0,Support,127.0,169.0,-42.0,-1.0055312781312769,380.37914691943126,251.98534588632796
2020-10-05,130.0,129.0,,129.0,Support,129.0,169.0,-40.0,-0.9975943086501143,380.37914691943126,251.98534588632796
2020-10-07,148.0,127.0,,127.0,Support,127.0,169.0,-42.0,-1.0055312781312769,380.37914691943126,251.98534588632796
2020-10-09,145.0,136.0,,136.0,Support,136.0,169.0,-33.0,-0.969814915466045,380.37914691943126,251.98534588632796
2020-10-13,158.0,140.0,,140.0,Support,140.0,169.0,-29.0,-0.9539409765037197,380.37914691943126,251.98534588632796
2020-10-15,190.0,170.0,190.0,,Resistance,190.0,169.0,21.0,-0.7555167394746534,380.37914691943126,251.98534588632796
2020-10-19,174.0,156.0,,156.0,Support,156.0,169.0,-13.0,-0.8904452206544184,380.37914691943126,251.98534588632796
2020-10-22,160.0,142.0,,142.0,Support,142.0,169.0,-27.0,-0.946004007022557,380.37914691943126,251.98534588632796
2020-11-05,153.0,147.0,,147.0,Support,147.0,169.0,-22.0,-0.9261615833196504,380.37914691943126,251.98534588632796
2020-11-18,180.0,152.0,180.0,,Resistance,180.0,169.0,11.0,-0.7952015868804666,380.37914691943126,251.98534588632796
2020-11-24,166.0,156.0,,156.0,Support,156.0,169.0,-13.0,-0.8904452206544184,380.37914691943126,251.98534588632796
2020-12-02,170.0,154.0,170.0,,Resistance,170.0,169.0,1.0,-0.83488643428628,380.37914691943126,251.98534588632796
2020-12-18,565.0,494.0,565.0,,Resistance,565.0,169.0,396.0,0.732665038243344,380.37914691943126,251.98534588632796
2020-12-22,585.0,510.0,585.0,,Resistance,585.0,169.0,416.0,0.8120347330549705,380.37914691943126,251.98534588632796
2021-02-05,670.0,505.0,670.0,505.0,Resistance,670.0,169.0,501.0,1.1493559360043832,380.37914691943126,251.98534588632796
2021-02-09,710.0,610.0,710.0,,Resistance,710.0,169.0,541.0,1.3080953256276362,380.37914691943126,251.98534588632796
2021-02-19,600.0,500.0,600.0,,Resistance,600.0,169.0,431.0,0.8715620041636903,380.37914691943126,251.98534588632796
2021-02-24,595.0,510.0,595.0,,Resistance,595.0,169.0,426.0,0.8517195804607838,380.37914691943126,251.98534588632796
