Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-06,166.0,159.0,166.0,,Resistance,166.0,136.0,30.0,-0.44764147130287507,205.09248554913296,87.32990139486631
2020-01-17,181.0,170.0,181.0,,Resistance,181.0,136.0,45.0,-0.2758789963611391,205.09248554913296,87.32990139486631
2020-01-22,179.0,175.0,179.0,,Resistance,179.0,136.0,43.0,-0.2987806596867039,205.09248554913296,87.32990139486631
2020-01-24,186.0,175.0,186.0,,Resistance,186.0,136.0,50.0,-0.2186248380472271,205.09248554913296,87.32990139486631
2020-01-30,181.0,173.0,181.0,,Resistance,181.0,136.0,45.0,-0.2758789963611391,205.09248554913296,87.32990139486631
2020-02-05,180.0,175.0,180.0,,Resistance,180.0,136.0,44.0,-0.2873298280239215,205.09248554913296,87.32990139486631
2020-02-11,177.0,167.0,177.0,,Resistance,177.0,136.0,41.0,-0.3216823230122687,205.09248554913296,87.32990139486631
2020-02-17,166.0,162.0,166.0,,Resistance,166.0,136.0,30.0,-0.44764147130287507,205.09248554913296,87.32990139486631
2020-02-20,166.0,160.0,166.0,160.0,Resistance,166.0,136.0,30.0,-0.44764147130287507,205.09248554913296,87.32990139486631
2020-02-24,167.0,159.0,167.0,,Resistance,167.0,136.0,31.0,-0.4361906396400927,205.09248554913296,87.32990139486631
2020-02-28,153.0,133.0,,133.0,Support,133.0,136.0,-3.0,-0.8255189161746943,205.09248554913296,87.32990139486631
2020-03-02,155.0,147.0,155.0,,Resistance,155.0,136.0,19.0,-0.5736006195934815,205.09248554913296,87.32990139486631
2020-03-04,153.0,148.0,153.0,,Resistance,153.0,136.0,17.0,-0.5965022829190463,205.09248554913296,87.32990139486631
2020-03-13,140.0,125.0,,125.0,Support,125.0,136.0,-11.0,-0.9171255694769535,205.09248554913296,87.32990139486631
2020-03-20,118.0,111.0,,111.0,Support,111.0,136.0,-25.0,-1.077437212755907,205.09248554913296,87.32990139486631
2020-03-26,142.0,117.0,,117.0,Support,117.0,136.0,-19.0,-1.0087322227792126,205.09248554913296,87.32990139486631
2020-03-27,159.0,139.0,159.0,,Resistance,159.0,136.0,23.0,-0.5277972929423519,205.09248554913296,87.32990139486631
2020-04-03,169.0,154.0,169.0,,Resistance,169.0,136.0,33.0,-0.4132889763145279,205.09248554913296,87.32990139486631
2020-04-07,168.0,157.0,168.0,,Resistance,168.0,136.0,32.0,-0.4247398079773103,205.09248554913296,87.32990139486631
2020-04-13,169.0,153.0,169.0,,Resistance,169.0,136.0,33.0,-0.4132889763145279,205.09248554913296,87.32990139486631
2020-04-15,166.0,156.0,166.0,,Resistance,166.0,136.0,30.0,-0.44764147130287507,205.09248554913296,87.32990139486631
2020-04-17,164.0,159.0,164.0,,Resistance,164.0,136.0,28.0,-0.4705431346284399,205.09248554913296,87.32990139486631
2020-04-21,163.0,149.0,163.0,149.0,Resistance,163.0,136.0,27.0,-0.48199396629122226,205.09248554913296,87.32990139486631
2020-04-24,164.0,152.0,164.0,,Resistance,164.0,136.0,28.0,-0.4705431346284399,205.09248554913296,87.32990139486631
2020-04-29,189.0,162.0,189.0,,Resistance,189.0,136.0,53.0,-0.1842723430588799,205.09248554913296,87.32990139486631
2020-05-18,252.0,224.0,252.0,,Resistance,252.0,136.0,116.0,0.5371300516964113,205.09248554913296,87.32990139486631
2020-05-27,236.0,224.0,236.0,,Resistance,236.0,136.0,100.0,0.35391674509189286,205.09248554913296,87.32990139486631
2020-06-04,248.0,220.0,248.0,,Resistance,248.0,136.0,112.0,0.4913267250452817,205.09248554913296,87.32990139486631
2020-06-08,256.0,238.0,256.0,,Resistance,256.0,136.0,120.0,0.5829333783475409,205.09248554913296,87.32990139486631
2020-06-17,254.0,240.0,254.0,,Resistance,254.0,136.0,118.0,0.560031715021976,205.09248554913296,87.32990139486631
2020-06-29,334.0,314.0,334.0,,Resistance,334.0,136.0,198.0,1.4760982480445681,205.09248554913296,87.32990139486631
2020-07-03,310.0,298.0,310.0,298.0,Resistance,310.0,136.0,174.0,1.2012782881377904,205.09248554913296,87.32990139486631
2020-07-10,356.0,302.0,356.0,,Resistance,356.0,136.0,220.0,1.728016544625781,205.09248554913296,87.32990139486631
