Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-09,286.0,270.0,,270.0,Support,270.0,344.0,-74.0,-0.6045073563938579,335.61494252873564,108.54283547541345
2020-01-28,248.0,234.0,,234.0,Support,234.0,344.0,-110.0,-0.9361736505561706,335.61494252873564,108.54283547541345
2020-02-03,220.0,200.0,,200.0,Support,200.0,344.0,-144.0,-1.249414039487244,335.61494252873564,108.54283547541345
2020-02-11,216.0,210.0,,210.0,Support,210.0,344.0,-134.0,-1.1572845133310459,335.61494252873564,108.54283547541345
2020-02-17,212.0,204.0,,204.0,Support,204.0,344.0,-140.0,-1.2125622290247646,335.61494252873564,108.54283547541345
2020-02-28,175.0,154.0,,154.0,Support,154.0,344.0,-190.0,-1.6732098598057548,335.61494252873564,108.54283547541345
2020-03-10,151.0,134.0,,134.0,Support,134.0,344.0,-210.0,-1.8574689121181507,335.61494252873564,108.54283547541345
2020-03-20,112.0,82.0,112.0,82.0,Support,82.0,344.0,-262.0,-2.33654244813038,335.61494252873564,108.54283547541345
2020-03-24,102.0,85.0,,85.0,Support,85.0,344.0,-259.0,-2.3089035902835207,335.61494252873564,108.54283547541345
2020-04-09,126.0,112.0,,112.0,Support,112.0,344.0,-232.0,-2.0601538696617863,335.61494252873564,108.54283547541345
2020-04-16,135.0,126.0,,126.0,Support,126.0,344.0,-218.0,-1.931172533043109,335.61494252873564,108.54283547541345
2020-04-27,136.0,127.0,,127.0,Support,127.0,344.0,-217.0,-1.9219595804274892,335.61494252873564,108.54283547541345
2020-04-29,135.0,128.0,,128.0,Support,128.0,344.0,-216.0,-1.9127466278118694,335.61494252873564,108.54283547541345
2020-05-04,135.0,126.0,,126.0,Support,126.0,344.0,-218.0,-1.931172533043109,335.61494252873564,108.54283547541345
2020-05-14,127.0,120.0,,120.0,Support,120.0,344.0,-224.0,-1.9864502487368279,335.61494252873564,108.54283547541345
2020-05-20,127.0,120.0,,120.0,Support,120.0,344.0,-224.0,-1.9864502487368279,335.61494252873564,108.54283547541345
2020-05-29,133.0,125.0,,125.0,Support,125.0,344.0,-219.0,-1.9403854856587288,335.61494252873564,108.54283547541345
2020-06-05,137.0,129.0,,129.0,Support,129.0,344.0,-215.0,-1.9035336751962497,335.61494252873564,108.54283547541345
2020-06-12,131.0,124.0,,124.0,Support,124.0,344.0,-220.0,-1.9495984382743488,335.61494252873564,108.54283547541345
2020-06-26,139.0,133.0,,133.0,Support,133.0,344.0,-211.0,-1.8666818647337704,335.61494252873564,108.54283547541345
2020-07-01,139.0,132.0,,132.0,Support,132.0,344.0,-212.0,-1.8758948173493903,335.61494252873564,108.54283547541345
2020-07-10,159.0,152.0,,152.0,Support,152.0,344.0,-192.0,-1.6916357650369942,335.61494252873564,108.54283547541345
2020-07-15,228.0,206.0,,206.0,Support,206.0,344.0,-138.0,-1.194136323793525,335.61494252873564,108.54283547541345
2020-08-04,258.0,240.0,,240.0,Support,240.0,344.0,-104.0,-0.8808959348624519,335.61494252873564,108.54283547541345
2020-08-10,294.0,272.0,,272.0,Support,272.0,344.0,-72.0,-0.5860814511626182,335.61494252873564,108.54283547541345
2020-08-14,282.0,266.0,,266.0,Support,266.0,344.0,-78.0,-0.6413591668563371,335.61494252873564,108.54283547541345
2020-09-11,254.0,228.0,,228.0,Support,228.0,344.0,-116.0,-0.9914513662498895,335.61494252873564,108.54283547541345
2020-09-25,226.0,212.0,,212.0,Support,212.0,344.0,-132.0,-1.1388586080998062,335.61494252873564,108.54283547541345
2020-09-30,240.0,226.0,,226.0,Support,226.0,344.0,-118.0,-1.009877271481129,335.61494252873564,108.54283547541345
2020-10-13,238.0,226.0,,226.0,Support,226.0,344.0,-118.0,-1.009877271481129,335.61494252873564,108.54283547541345
2020-10-22,248.0,240.0,,240.0,Support,240.0,344.0,-104.0,-0.8808959348624519,335.61494252873564,108.54283547541345
2020-11-02,242.0,230.0,,230.0,Support,230.0,344.0,-114.0,-0.9730254610186498,335.61494252873564,108.54283547541345
2020-11-13,256.0,246.0,,246.0,Support,246.0,344.0,-98.0,-0.825618219168733,335.61494252873564,108.54283547541345
2020-12-01,450.0,400.0,450.0,,Resistance,450.0,344.0,106.0,1.053824114417706,335.61494252873564,108.54283547541345
2020-12-03,430.0,408.0,430.0,,Resistance,430.0,344.0,86.0,0.8695650621053101,335.61494252873564,108.54283547541345
2020-12-08,466.0,418.0,466.0,,Resistance,466.0,344.0,122.0,1.201231356267623,335.61494252873564,108.54283547541345
2020-12-21,434.0,412.0,434.0,,Resistance,434.0,344.0,90.0,0.9064168725677894,335.61494252873564,108.54283547541345
2021-01-04,362.0,328.0,,328.0,Support,328.0,344.0,-16.0,-0.07015610468790946,335.61494252873564,108.54283547541345
2021-01-05,396.0,362.0,396.0,,Resistance,396.0,344.0,52.0,0.556324673174237,335.61494252873564,108.54283547541345
