Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-02,310.0,300.0,,300.0,Support,300.0,390.0,-90.0,-0.08521819704148592,306.7529411764706,79.24294823068269
2020-02-05,260.0,254.0,,254.0,Support,254.0,390.0,-136.0,-0.665711490477392,306.7529411764706,79.24294823068269
2020-02-17,250.0,242.0,,242.0,Support,242.0,390.0,-148.0,-0.8171445235476283,306.7529411764706,79.24294823068269
2020-02-28,222.0,200.0,,200.0,Support,200.0,390.0,-190.0,-1.3471601392934558,306.7529411764706,79.24294823068269
2020-03-09,218.0,199.0,,199.0,Support,199.0,390.0,-191.0,-1.3597795587159753,306.7529411764706,79.24294823068269
2020-03-13,177.0,162.0,,162.0,Support,162.0,390.0,-228.0,-1.8266980773492043,306.7529411764706,79.24294823068269
2020-03-20,142.0,124.0,,124.0,Support,124.0,390.0,-266.0,-2.3062360154049526,306.7529411764706,79.24294823068269
2020-03-24,140.0,128.0,,128.0,Support,128.0,390.0,-262.0,-2.255758337714874,306.7529411764706,79.24294823068269
2020-03-30,153.0,144.0,,144.0,Support,144.0,390.0,-246.0,-2.0538476269545587,306.7529411764706,79.24294823068269
2020-04-02,188.0,139.0,,139.0,Support,139.0,390.0,-251.0,-2.116944724067157,306.7529411764706,79.24294823068269
2020-04-07,224.0,202.0,224.0,202.0,Support,202.0,390.0,-188.0,-1.3219213004484163,306.7529411764706,79.24294823068269
2020-04-16,202.0,188.0,,188.0,Support,188.0,390.0,-202.0,-1.498593172363692,306.7529411764706,79.24294823068269
2020-04-22,184.0,172.0,,172.0,Support,172.0,390.0,-218.0,-1.7005038831240071,306.7529411764706,79.24294823068269
2020-04-28,191.0,182.0,,182.0,Support,182.0,390.0,-208.0,-1.5743096888988102,306.7529411764706,79.24294823068269
2020-05-04,202.0,189.0,,189.0,Support,189.0,390.0,-201.0,-1.4859737529411723,306.7529411764706,79.24294823068269
