Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-06-22,55.0,52.0,,52.0,Support,52.0,220.0,-168.0,-1.7650874018354636,197.88311688311688,82.64923126833109
2020-06-25,54.0,51.0,,51.0,Support,51.0,220.0,-169.0,-1.777186727923003,197.88311688311688,82.64923126833109
2020-09-18,57.0,51.0,,51.0,Support,51.0,220.0,-169.0,-1.777186727923003,197.88311688311688,82.64923126833109
2020-09-24,53.0,51.0,,51.0,Support,51.0,220.0,-169.0,-1.777186727923003,197.88311688311688,82.64923126833109
2020-09-30,56.0,52.0,,52.0,Support,52.0,220.0,-168.0,-1.7650874018354636,197.88311688311688,82.64923126833109
2020-11-02,54.0,50.0,,50.0,Support,50.0,220.0,-170.0,-1.7892860540105424,197.88311688311688,82.64923126833109
2020-11-10,59.0,55.0,,55.0,Support,55.0,220.0,-165.0,-1.7287894235728452,197.88311688311688,82.64923126833109
2020-12-03,101.0,84.0,101.0,84.0,Support,84.0,220.0,-136.0,-1.377908967034201,197.88311688311688,82.64923126833109
2020-12-16,96.0,87.0,,87.0,Support,87.0,220.0,-133.0,-1.3416109887715826,197.88311688311688,82.64923126833109
2020-12-23,118.0,105.0,,105.0,Support,105.0,220.0,-115.0,-1.1238231191958725,197.88311688311688,82.64923126833109
2021-01-06,142.0,127.0,,127.0,Support,127.0,220.0,-93.0,-0.8576379452700045,197.88311688311688,82.64923126833109
2021-01-12,134.0,127.0,,127.0,Support,127.0,220.0,-93.0,-0.8576379452700045,197.88311688311688,82.64923126833109
2021-01-18,171.0,137.0,171.0,137.0,Support,137.0,220.0,-83.0,-0.73664468439461,197.88311688311688,82.64923126833109
2021-01-20,145.0,133.0,,133.0,Support,133.0,220.0,-87.0,-0.7850419887447677,197.88311688311688,82.64923126833109
2021-02-01,105.0,93.0,,93.0,Support,93.0,220.0,-127.0,-1.2690150322463458,197.88311688311688,82.64923126833109
2021-02-04,114.0,105.0,,105.0,Support,105.0,220.0,-115.0,-1.1238231191958725,197.88311688311688,82.64923126833109
2021-02-17,121.0,114.0,,114.0,Support,114.0,220.0,-106.0,-1.0149291844080173,197.88311688311688,82.64923126833109
2021-03-01,122.0,113.0,,113.0,Support,113.0,220.0,-107.0,-1.0270285104955568,197.88311688311688,82.64923126833109
2021-03-04,120.0,114.0,,114.0,Support,114.0,220.0,-106.0,-1.0149291844080173,197.88311688311688,82.64923126833109
2021-03-09,121.0,114.0,,114.0,Support,114.0,220.0,-106.0,-1.0149291844080173,197.88311688311688,82.64923126833109
2021-03-17,120.0,117.0,,117.0,Support,117.0,220.0,-103.0,-0.978631206145399,197.88311688311688,82.64923126833109
2021-03-19,126.0,113.0,126.0,113.0,Support,113.0,220.0,-107.0,-1.0270285104955568,197.88311688311688,82.64923126833109
2021-03-25,115.0,104.0,115.0,104.0,Support,104.0,220.0,-116.0,-1.135922445283412,197.88311688311688,82.64923126833109
2021-03-31,109.0,100.0,,100.0,Support,100.0,220.0,-120.0,-1.1843197496335698,197.88311688311688,82.64923126833109
2021-04-06,105.0,102.0,,102.0,Support,102.0,220.0,-118.0,-1.1601210974584908,197.88311688311688,82.64923126833109
2021-04-14,112.0,106.0,112.0,106.0,Support,106.0,220.0,-114.0,-1.111723793108333,197.88311688311688,82.64923126833109
2021-05-20,110.0,102.0,,102.0,Support,102.0,220.0,-118.0,-1.1601210974584908,197.88311688311688,82.64923126833109
2021-05-24,106.0,99.0,,99.0,Support,99.0,220.0,-121.0,-1.1964190757211093,197.88311688311688,82.64923126833109
2021-06-08,113.0,103.0,113.0,103.0,Support,103.0,220.0,-117.0,-1.1480217713709513,197.88311688311688,82.64923126833109
2021-06-15,112.0,107.0,,107.0,Support,107.0,220.0,-113.0,-1.0996244670207935,197.88311688311688,82.64923126833109
2021-06-21,103.0,99.0,,99.0,Support,99.0,220.0,-121.0,-1.1964190757211093,197.88311688311688,82.64923126833109
2021-06-29,119.0,112.0,,112.0,Support,112.0,220.0,-108.0,-1.0391278365830963,197.88311688311688,82.64923126833109
2021-07-08,124.0,118.0,,118.0,Support,118.0,220.0,-102.0,-0.9665318800578596,197.88311688311688,82.64923126833109
2021-07-12,131.0,119.0,,119.0,Support,119.0,220.0,-101.0,-0.9544325539703201,197.88311688311688,82.64923126833109
2021-07-21,113.0,106.0,,106.0,Support,106.0,220.0,-114.0,-1.111723793108333,197.88311688311688,82.64923126833109
2021-08-10,125.0,117.0,,117.0,Support,117.0,220.0,-103.0,-0.978631206145399,197.88311688311688,82.64923126833109
2021-09-02,111.0,106.0,,106.0,Support,106.0,220.0,-114.0,-1.111723793108333,197.88311688311688,82.64923126833109
2021-09-09,122.0,112.0,,112.0,Support,112.0,220.0,-108.0,-1.0391278365830963,197.88311688311688,82.64923126833109
2021-09-14,123.0,114.0,,114.0,Support,114.0,220.0,-106.0,-1.0149291844080173,197.88311688311688,82.64923126833109
2021-09-21,121.0,116.0,,116.0,Support,116.0,220.0,-104.0,-0.9907305322329385,197.88311688311688,82.64923126833109
2021-09-27,129.0,124.0,,124.0,Support,124.0,220.0,-96.0,-0.8939359235326229,197.88311688311688,82.64923126833109
2021-10-01,130.0,120.0,,120.0,Support,120.0,220.0,-100.0,-0.9423332278827806,197.88311688311688,82.64923126833109
2021-10-13,126.0,117.0,,117.0,Support,117.0,220.0,-103.0,-0.978631206145399,197.88311688311688,82.64923126833109
2021-10-22,124.0,120.0,,120.0,Support,120.0,220.0,-100.0,-0.9423332278827806,197.88311688311688,82.64923126833109
2021-10-29,122.0,117.0,,117.0,Support,117.0,220.0,-103.0,-0.978631206145399,197.88311688311688,82.64923126833109
2021-11-09,121.0,115.0,,115.0,Support,115.0,220.0,-105.0,-1.002829858320478,197.88311688311688,82.64923126833109
2021-11-23,118.0,114.0,,114.0,Support,114.0,220.0,-106.0,-1.0149291844080173,197.88311688311688,82.64923126833109
2021-11-29,118.0,112.0,,112.0,Support,112.0,220.0,-108.0,-1.0391278365830963,197.88311688311688,82.64923126833109
2021-12-09,124.0,104.0,124.0,104.0,Support,104.0,220.0,-116.0,-1.135922445283412,197.88311688311688,82.64923126833109
2021-12-14,109.0,104.0,,104.0,Support,104.0,220.0,-116.0,-1.135922445283412,197.88311688311688,82.64923126833109
2021-12-29,105.0,101.0,,101.0,Support,101.0,220.0,-119.0,-1.1722204235460303,197.88311688311688,82.64923126833109
2022-01-03,106.0,101.0,,101.0,Support,101.0,220.0,-119.0,-1.1722204235460303,197.88311688311688,82.64923126833109
2022-01-12,100.0,96.0,,96.0,Support,96.0,220.0,-124.0,-1.2327170539837276,197.88311688311688,82.64923126833109
2022-02-03,115.0,111.0,,111.0,Support,111.0,220.0,-109.0,-1.0512271626706358,197.88311688311688,82.64923126833109
2022-02-24,191.0,162.0,191.0,162.0,Support,162.0,220.0,-58.0,-0.4341615322061236,197.88311688311688,82.64923126833109
2022-03-01,179.0,170.0,,170.0,Support,170.0,220.0,-50.0,-0.33736692350580794,197.88311688311688,82.64923126833109
2022-03-10,150.0,139.0,,139.0,Support,139.0,220.0,-81.0,-0.7124460322195311,197.88311688311688,82.64923126833109
2022-03-15,144.0,137.0,,137.0,Support,137.0,220.0,-83.0,-0.73664468439461,197.88311688311688,82.64923126833109
2022-03-21,163.0,154.0,,154.0,Support,154.0,220.0,-66.0,-0.5309561409064392,197.88311688311688,82.64923126833109
2022-03-30,168.0,156.0,,156.0,Support,156.0,220.0,-64.0,-0.5067574887313603,197.88311688311688,82.64923126833109
2022-04-04,179.0,161.0,,161.0,Support,161.0,220.0,-59.0,-0.446260858293663,197.88311688311688,82.64923126833109
2022-04-08,188.0,172.0,,172.0,Support,172.0,220.0,-48.0,-0.313168271330729,197.88311688311688,82.64923126833109
2022-04-12,187.0,174.0,,174.0,Support,174.0,220.0,-46.0,-0.2889696191556501,197.88311688311688,82.64923126833109
2022-04-18,185.0,170.0,,170.0,Support,170.0,220.0,-50.0,-0.33736692350580794,197.88311688311688,82.64923126833109
2022-04-25,180.0,169.0,,169.0,Support,169.0,220.0,-51.0,-0.3494662495933474,197.88311688311688,82.64923126833109
2022-05-09,254.0,197.0,254.0,,Resistance,254.0,220.0,34.0,0.6789764678475063,197.88311688311688,82.64923126833109
2022-05-12,254.0,224.0,254.0,224.0,Resistance,254.0,220.0,34.0,0.6789764678475063,197.88311688311688,82.64923126833109
2022-05-18,258.0,230.0,258.0,,Resistance,258.0,220.0,38.0,0.7273737721976641,197.88311688311688,82.64923126833109
2022-05-23,226.0,212.0,,212.0,Support,212.0,220.0,-8.0,0.17080477217084916,197.88311688311688,82.64923126833109
2022-05-25,236.0,222.0,236.0,,Resistance,236.0,220.0,16.0,0.4611885982717961,197.88311688311688,82.64923126833109
2022-06-06,236.0,216.0,,216.0,Support,216.0,220.0,-4.0,0.21920207652100698,197.88311688311688,82.64923126833109
2022-06-09,334.0,274.0,334.0,,Resistance,334.0,220.0,114.0,1.6469225548506627,197.88311688311688,82.64923126833109
2022-06-15,320.0,286.0,320.0,,Resistance,320.0,220.0,100.0,1.4775319896251102,197.88311688311688,82.64923126833109
2022-06-27,258.0,244.0,258.0,,Resistance,258.0,220.0,38.0,0.7273737721976641,197.88311688311688,82.64923126833109
2022-07-04,226.0,208.0,,208.0,Support,208.0,220.0,-12.0,0.12240746782069135,197.88311688311688,82.64923126833109
2022-07-12,254.0,236.0,254.0,,Resistance,254.0,220.0,34.0,0.6789764678475063,197.88311688311688,82.64923126833109
2022-07-15,232.0,218.0,,218.0,Support,218.0,220.0,-2.0,0.2434007286960859,197.88311688311688,82.64923126833109
2022-07-26,306.0,280.0,306.0,,Resistance,306.0,220.0,86.0,1.308141424399558,197.88311688311688,82.64923126833109
2022-08-03,284.0,266.0,284.0,,Resistance,284.0,220.0,64.0,1.04195625047369,197.88311688311688,82.64923126833109
2022-08-09,290.0,268.0,290.0,,Resistance,290.0,220.0,70.0,1.1145522069989267,197.88311688311688,82.64923126833109
2022-08-11,298.0,278.0,298.0,,Resistance,298.0,220.0,78.0,1.2113468156992422,197.88311688311688,82.64923126833109
2022-08-15,294.0,276.0,294.0,,Resistance,294.0,220.0,74.0,1.1629495113490844,197.88311688311688,82.64923126833109
2022-08-18,292.0,276.0,292.0,,Resistance,292.0,220.0,72.0,1.1387508591740056,197.88311688311688,82.64923126833109
2022-08-25,238.0,218.0,,218.0,Support,218.0,220.0,-2.0,0.2434007286960859,197.88311688311688,82.64923126833109
2022-08-30,270.0,252.0,270.0,,Resistance,270.0,220.0,50.0,0.8725656852481375,197.88311688311688,82.64923126833109
2022-09-08,306.0,286.0,306.0,,Resistance,306.0,220.0,86.0,1.308141424399558,197.88311688311688,82.64923126833109
2022-09-13,298.0,288.0,298.0,,Resistance,298.0,220.0,78.0,1.2113468156992422,197.88311688311688,82.64923126833109
2022-09-21,280.0,262.0,280.0,,Resistance,280.0,220.0,60.0,0.9935589461235321,197.88311688311688,82.64923126833109
2022-09-23,284.0,262.0,284.0,,Resistance,284.0,220.0,64.0,1.04195625047369,197.88311688311688,82.64923126833109
2022-10-05,282.0,270.0,282.0,,Resistance,282.0,220.0,62.0,1.017757598298611,197.88311688311688,82.64923126833109
2022-10-10,296.0,280.0,296.0,,Resistance,296.0,220.0,76.0,1.1871481635241634,197.88311688311688,82.64923126833109
2022-10-17,276.0,256.0,276.0,256.0,Resistance,276.0,220.0,56.0,0.9451616417733743,197.88311688311688,82.64923126833109
2022-11-03,398.0,370.0,398.0,,Resistance,398.0,220.0,178.0,2.421279424453188,197.88311688311688,82.64923126833109
2022-11-08,404.0,376.0,404.0,,Resistance,404.0,220.0,184.0,2.4938753809784244,197.88311688311688,82.64923126833109
2022-11-16,354.0,332.0,354.0,,Resistance,354.0,220.0,134.0,1.8889090766014518,197.88311688311688,82.64923126833109
2022-11-21,350.0,334.0,350.0,,Resistance,350.0,220.0,130.0,1.8405117722512938,197.88311688311688,82.64923126833109
