Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-06,262.0,222.0,262.0,,Resistance,262.0,114.0,148.0,-0.1603344944094346,300.89473684210526,242.58495955825066
2020-01-10,436.0,314.0,436.0,,Resistance,436.0,114.0,322.0,0.5569399826103094,300.89473684210526,242.58495955825066
2020-01-17,328.0,256.0,328.0,,Resistance,328.0,114.0,214.0,0.11173513480495106,300.89473684210526,242.58495955825066
2020-01-24,246.0,224.0,246.0,,Resistance,246.0,114.0,132.0,-0.2262907681583766,300.89473684210526,242.58495955825066
2020-01-29,236.0,216.0,236.0,,Resistance,236.0,114.0,122.0,-0.2675134392514653,300.89473684210526,242.58495955825066
2020-02-04,189.0,159.0,189.0,,Resistance,189.0,114.0,75.0,-0.4612599933889824,300.89473684210526,242.58495955825066
2020-02-07,177.0,156.0,177.0,,Resistance,177.0,114.0,63.0,-0.5107271987006888,300.89473684210526,242.58495955825066
2020-02-12,171.0,158.0,171.0,,Resistance,171.0,114.0,57.0,-0.5354608013565422,300.89473684210526,242.58495955825066
2020-02-20,150.0,129.0,150.0,129.0,Resistance,150.0,114.0,36.0,-0.6220284106520285,300.89473684210526,242.58495955825066
2020-02-28,95.0,76.0,,76.0,Support,76.0,114.0,-38.0,-0.9270761767408852,300.89473684210526,242.58495955825066
2020-03-06,206.0,145.0,206.0,,Resistance,206.0,114.0,92.0,-0.39118145253073155,300.89473684210526,242.58495955825066
2020-03-23,108.0,83.0,,83.0,Support,83.0,114.0,-31.0,-0.898220306975723,300.89473684210526,242.58495955825066
2020-03-27,162.0,130.0,162.0,,Resistance,162.0,114.0,48.0,-0.572561205340322,300.89473684210526,242.58495955825066
2020-04-01,148.0,128.0,148.0,,Resistance,148.0,114.0,34.0,-0.6302729448706462,300.89473684210526,242.58495955825066
2020-04-03,145.0,123.0,145.0,123.0,Resistance,145.0,114.0,31.0,-0.6426397461985729,300.89473684210526,242.58495955825066
2020-04-07,149.0,135.0,149.0,,Resistance,149.0,114.0,35.0,-0.6261506777613374,300.89473684210526,242.58495955825066
2020-04-13,145.0,122.0,145.0,122.0,Resistance,145.0,114.0,31.0,-0.6426397461985729,300.89473684210526,242.58495955825066
2020-04-23,138.0,115.0,138.0,,Resistance,138.0,114.0,24.0,-0.671495615963735,300.89473684210526,242.58495955825066
2020-04-27,119.0,110.0,,110.0,Support,110.0,114.0,-4.0,-0.7869190950243834,300.89473684210526,242.58495955825066
2020-04-28,124.0,115.0,124.0,,Resistance,124.0,114.0,10.0,-0.7292073554940592,300.89473684210526,242.58495955825066
2020-05-04,119.0,112.0,119.0,112.0,Resistance,119.0,114.0,5.0,-0.7498186910406036,300.89473684210526,242.58495955825066
2020-05-04,119.0,112.0,119.0,112.0,Support,112.0,114.0,-2.0,-0.7786745608057657,300.89473684210526,242.58495955825066
2020-05-08,130.0,114.0,130.0,,Resistance,130.0,114.0,16.0,-0.7044737528382059,300.89473684210526,242.58495955825066
2020-05-15,146.0,110.0,146.0,110.0,Resistance,146.0,114.0,32.0,-0.6385174790892639,300.89473684210526,242.58495955825066
2020-05-15,146.0,110.0,146.0,110.0,Support,110.0,114.0,-4.0,-0.7869190950243834,300.89473684210526,242.58495955825066
2020-05-20,134.0,114.0,134.0,,Resistance,134.0,114.0,20.0,-0.6879846844009705,300.89473684210526,242.58495955825066
2020-05-26,123.0,113.0,,113.0,Support,113.0,114.0,-1.0,-0.7745522936964568,300.89473684210526,242.58495955825066
2020-05-29,129.0,116.0,129.0,,Resistance,129.0,114.0,15.0,-0.7085960199475149,300.89473684210526,242.58495955825066
2020-06-09,133.0,118.0,133.0,,Resistance,133.0,114.0,19.0,-0.6921069515102793,300.89473684210526,242.58495955825066
2020-06-11,122.0,112.0,122.0,,Resistance,122.0,114.0,8.0,-0.737451889712677,300.89473684210526,242.58495955825066
2020-06-12,117.0,111.0,,111.0,Support,111.0,114.0,-3.0,-0.7827968279150745,300.89473684210526,242.58495955825066
2020-06-17,119.0,114.0,119.0,,Resistance,119.0,114.0,5.0,-0.7498186910406036,300.89473684210526,242.58495955825066
2020-06-23,116.0,111.0,,111.0,Support,111.0,114.0,-3.0,-0.7827968279150745,300.89473684210526,242.58495955825066
2020-06-25,114.0,111.0,,111.0,Support,111.0,114.0,-3.0,-0.7827968279150745,300.89473684210526,242.58495955825066
2020-06-26,117.0,112.0,117.0,,Resistance,117.0,114.0,3.0,-0.7580632252592213,300.89473684210526,242.58495955825066
2020-06-30,115.0,111.0,115.0,,Resistance,115.0,114.0,1.0,-0.766307759477839,300.89473684210526,242.58495955825066
2020-07-03,110.0,100.0,,100.0,Support,100.0,114.0,-14.0,-0.8281417661174721,300.89473684210526,242.58495955825066
2020-07-13,120.0,104.0,120.0,104.0,Resistance,120.0,114.0,6.0,-0.7456964239312946,300.89473684210526,242.58495955825066
2020-07-13,120.0,104.0,120.0,104.0,Support,104.0,114.0,-10.0,-0.8116526976802366,300.89473684210526,242.58495955825066
2020-07-24,171.0,128.0,171.0,,Resistance,171.0,114.0,57.0,-0.5354608013565422,300.89473684210526,242.58495955825066
2020-08-03,155.0,116.0,155.0,116.0,Resistance,155.0,114.0,41.0,-0.6014170751054841,300.89473684210526,242.58495955825066
2020-08-06,152.0,127.0,152.0,,Resistance,152.0,114.0,38.0,-0.6137838764334107,300.89473684210526,242.58495955825066
2020-08-19,134.0,128.0,134.0,,Resistance,134.0,114.0,20.0,-0.6879846844009705,300.89473684210526,242.58495955825066
2020-08-25,143.0,131.0,143.0,,Resistance,143.0,114.0,29.0,-0.6508842804171906,300.89473684210526,242.58495955825066
2020-08-28,140.0,132.0,140.0,,Resistance,140.0,114.0,26.0,-0.6632510817451172,300.89473684210526,242.58495955825066
2020-09-02,156.0,134.0,156.0,,Resistance,156.0,114.0,42.0,-0.5972948079961752,300.89473684210526,242.58495955825066
2020-09-07,144.0,131.0,144.0,,Resistance,144.0,114.0,30.0,-0.6467620133078817,300.89473684210526,242.58495955825066
2020-09-15,131.0,125.0,131.0,,Resistance,131.0,114.0,17.0,-0.700351485728897,300.89473684210526,242.58495955825066
2020-09-21,162.0,133.0,162.0,,Resistance,162.0,114.0,48.0,-0.572561205340322,300.89473684210526,242.58495955825066
2020-09-28,330.0,252.0,330.0,,Resistance,330.0,114.0,216.0,0.11997966902356881,300.89473684210526,242.58495955825066
2020-10-01,332.0,272.0,332.0,,Resistance,332.0,114.0,218.0,0.12822420324218656,300.89473684210526,242.58495955825066
2020-10-05,318.0,292.0,318.0,,Resistance,318.0,114.0,204.0,0.07051246371186233,300.89473684210526,242.58495955825066
2020-10-13,270.0,248.0,270.0,,Resistance,270.0,114.0,156.0,-0.1273563575349636,300.89473684210526,242.58495955825066
2020-10-16,306.0,260.0,306.0,,Resistance,306.0,114.0,192.0,0.021045258400155843,300.89473684210526,242.58495955825066
2020-11-03,270.0,240.0,270.0,,Resistance,270.0,114.0,156.0,-0.1273563575349636,300.89473684210526,242.58495955825066
2020-11-06,322.0,260.0,322.0,,Resistance,322.0,114.0,208.0,0.08700153214909782,300.89473684210526,242.58495955825066
2020-11-12,296.0,268.0,296.0,,Resistance,296.0,114.0,182.0,-0.020177412692932897,300.89473684210526,242.58495955825066
2020-11-19,360.0,312.0,360.0,,Resistance,360.0,114.0,246.0,0.24364768230283504,300.89473684210526,242.58495955825066
2020-11-23,386.0,340.0,386.0,,Resistance,386.0,114.0,272.0,0.35082662714486573,300.89473684210526,242.58495955825066
2020-12-10,1550.0,1195.0,1550.0,,Resistance,1550.0,114.0,1436.0,5.149145542380395,300.89473684210526,242.58495955825066
2020-12-18,1365.0,1160.0,1365.0,,Resistance,1365.0,114.0,1251.0,4.386526127158254,300.89473684210526,242.58495955825066
2021-01-18,1340.0,1230.0,1340.0,,Resistance,1340.0,114.0,1226.0,4.283469449425532,300.89473684210526,242.58495955825066
2021-01-22,1195.0,930.0,1195.0,,Resistance,1195.0,114.0,1081.0,3.6857407185757447,300.89473684210526,242.58495955825066
2021-02-02,755.0,585.0,755.0,,Resistance,755.0,114.0,641.0,1.8719431904798403,300.89473684210526,242.58495955825066
2021-02-10,765.0,670.0,765.0,,Resistance,765.0,114.0,651.0,1.913165861572929,300.89473684210526,242.58495955825066
2021-02-16,805.0,645.0,805.0,645.0,Resistance,805.0,114.0,691.0,2.0780565459452838,300.89473684210526,242.58495955825066
2021-02-24,875.0,795.0,875.0,,Resistance,875.0,114.0,761.0,2.3666152435969052,300.89473684210526,242.58495955825066
2021-03-09,695.0,625.0,695.0,,Resistance,695.0,114.0,581.0,1.6246071639213078,300.89473684210526,242.58495955825066
2021-03-19,670.0,620.0,670.0,,Resistance,670.0,114.0,556.0,1.5215504861885858,300.89473684210526,242.58495955825066
2021-03-23,685.0,625.0,685.0,,Resistance,685.0,114.0,571.0,1.583384492828219,300.89473684210526,242.58495955825066
2021-04-05,550.0,480.0,550.0,,Resistance,550.0,114.0,436.0,1.026878433071521,300.89473684210526,242.58495955825066
2021-04-08,525.0,478.0,525.0,,Resistance,525.0,114.0,411.0,0.9238217553387992,300.89473684210526,242.58495955825066
2021-04-16,710.0,555.0,710.0,,Resistance,710.0,114.0,596.0,1.6864411705609408,300.89473684210526,242.58495955825066
2021-04-28,555.0,520.0,555.0,,Resistance,555.0,114.0,441.0,1.0474897686180653,300.89473684210526,242.58495955825066
2021-05-03,555.0,525.0,555.0,,Resistance,555.0,114.0,441.0,1.0474897686180653,300.89473684210526,242.58495955825066
2021-05-06,565.0,515.0,565.0,,Resistance,565.0,114.0,451.0,1.088712439711154,300.89473684210526,242.58495955825066
2021-05-11,530.0,510.0,530.0,,Resistance,530.0,114.0,416.0,0.9444330908853436,300.89473684210526,242.58495955825066
2021-05-21,500.0,486.0,500.0,,Resistance,500.0,114.0,386.0,0.8207650776060773,300.89473684210526,242.58495955825066
2021-05-25,515.0,464.0,515.0,464.0,Resistance,515.0,114.0,401.0,0.8825990842457104,300.89473684210526,242.58495955825066
2021-06-02,520.0,470.0,520.0,,Resistance,520.0,114.0,406.0,0.9032104197922548,300.89473684210526,242.58495955825066
2021-06-07,498.0,480.0,498.0,,Resistance,498.0,114.0,384.0,0.8125205433874596,300.89473684210526,242.58495955825066
2021-06-14,685.0,565.0,685.0,,Resistance,685.0,114.0,571.0,1.583384492828219,300.89473684210526,242.58495955825066
2021-06-22,510.0,466.0,510.0,,Resistance,510.0,114.0,396.0,0.8619877486991661,300.89473684210526,242.58495955825066
2021-06-24,525.0,482.0,525.0,,Resistance,525.0,114.0,411.0,0.9238217553387992,300.89473684210526,242.58495955825066
2021-07-01,492.0,468.0,492.0,,Resistance,492.0,114.0,378.0,0.7877869407316064,300.89473684210526,242.58495955825066
2021-07-06,494.0,464.0,494.0,,Resistance,494.0,114.0,380.0,0.7960314749502241,300.89473684210526,242.58495955825066
2021-07-09,478.0,470.0,478.0,,Resistance,478.0,114.0,364.0,0.7300752012012821,300.89473684210526,242.58495955825066
2021-07-14,486.0,466.0,486.0,,Resistance,486.0,114.0,372.0,0.7630533380757532,300.89473684210526,242.58495955825066
2021-07-19,486.0,468.0,486.0,,Resistance,486.0,114.0,372.0,0.7630533380757532,300.89473684210526,242.58495955825066
2021-07-23,615.0,545.0,615.0,,Resistance,615.0,114.0,501.0,1.2948257951765978,300.89473684210526,242.58495955825066
2021-07-28,565.0,482.0,565.0,,Resistance,565.0,114.0,451.0,1.088712439711154,300.89473684210526,242.58495955825066
2021-08-02,545.0,498.0,545.0,,Resistance,545.0,114.0,431.0,1.0062670975249768,300.89473684210526,242.58495955825066
2021-08-06,510.0,490.0,510.0,,Resistance,510.0,114.0,396.0,0.8619877486991661,300.89473684210526,242.58495955825066
2021-08-12,540.0,492.0,540.0,,Resistance,540.0,114.0,426.0,0.9856557619784323,300.89473684210526,242.58495955825066
2021-08-26,530.0,468.0,530.0,468.0,Resistance,530.0,114.0,416.0,0.9444330908853436,300.89473684210526,242.58495955825066
2021-09-01,510.0,490.0,510.0,,Resistance,510.0,114.0,396.0,0.8619877486991661,300.89473684210526,242.58495955825066
2021-09-03,575.0,492.0,575.0,,Resistance,575.0,114.0,461.0,1.1299351108042428,300.89473684210526,242.58495955825066
2021-09-10,510.0,486.0,510.0,,Resistance,510.0,114.0,396.0,0.8619877486991661,300.89473684210526,242.58495955825066
2021-09-15,530.0,496.0,530.0,,Resistance,530.0,114.0,416.0,0.9444330908853436,300.89473684210526,242.58495955825066
2021-09-24,580.0,515.0,580.0,,Resistance,580.0,114.0,466.0,1.1505464463507873,300.89473684210526,242.58495955825066
2021-09-29,650.0,550.0,650.0,,Resistance,650.0,114.0,536.0,1.4391051440024085,300.89473684210526,242.58495955825066
2021-10-06,755.0,670.0,755.0,,Resistance,755.0,114.0,641.0,1.8719431904798403,300.89473684210526,242.58495955825066
2021-10-12,735.0,695.0,735.0,,Resistance,735.0,114.0,621.0,1.7894978482936628,300.89473684210526,242.58495955825066
2021-10-15,710.0,665.0,710.0,665.0,Resistance,710.0,114.0,596.0,1.6864411705609408,300.89473684210526,242.58495955825066
2021-11-09,575.0,550.0,575.0,,Resistance,575.0,114.0,461.0,1.1299351108042428,300.89473684210526,242.58495955825066
2021-11-24,560.0,530.0,560.0,,Resistance,560.0,114.0,446.0,1.0681011041646098,300.89473684210526,242.58495955825066
2021-12-15,484.0,470.0,484.0,,Resistance,484.0,114.0,370.0,0.7548088038571353,300.89473684210526,242.58495955825066
2021-12-20,474.0,458.0,474.0,,Resistance,474.0,114.0,360.0,0.7135861327640466,300.89473684210526,242.58495955825066
2021-12-24,470.0,456.0,470.0,,Resistance,470.0,114.0,356.0,0.6970970643268112,300.89473684210526,242.58495955825066
2021-12-28,510.0,458.0,510.0,,Resistance,510.0,114.0,396.0,0.8619877486991661,300.89473684210526,242.58495955825066
2022-01-05,470.0,456.0,470.0,,Resistance,470.0,114.0,356.0,0.6970970643268112,300.89473684210526,242.58495955825066
2022-01-10,450.0,424.0,450.0,,Resistance,450.0,114.0,336.0,0.6146517221406337,300.89473684210526,242.58495955825066
2022-01-17,412.0,342.0,412.0,,Resistance,412.0,114.0,298.0,0.45800557198689645,300.89473684210526,242.58495955825066
2022-01-20,390.0,362.0,390.0,,Resistance,390.0,114.0,276.0,0.36731569558210125,300.89473684210526,242.58495955825066
2022-01-25,446.0,402.0,446.0,,Resistance,446.0,114.0,332.0,0.5981626537033982,300.89473684210526,242.58495955825066
2022-02-09,396.0,368.0,396.0,,Resistance,396.0,114.0,282.0,0.3920492982379545,300.89473684210526,242.58495955825066
2022-02-14,386.0,368.0,386.0,368.0,Resistance,386.0,114.0,272.0,0.35082662714486573,300.89473684210526,242.58495955825066
2022-02-16,386.0,370.0,386.0,,Resistance,386.0,114.0,272.0,0.35082662714486573,300.89473684210526,242.58495955825066
2022-02-21,374.0,350.0,374.0,,Resistance,374.0,114.0,260.0,0.3013594218331593,300.89473684210526,242.58495955825066
2022-02-25,428.0,360.0,428.0,,Resistance,428.0,114.0,314.0,0.5239618457358385,300.89473684210526,242.58495955825066
2022-03-22,332.0,316.0,332.0,,Resistance,332.0,114.0,218.0,0.12822420324218656,300.89473684210526,242.58495955825066
2022-04-01,346.0,294.0,346.0,,Resistance,346.0,114.0,232.0,0.1859359427725108,300.89473684210526,242.58495955825066
2022-04-06,308.0,284.0,308.0,,Resistance,308.0,114.0,194.0,0.02928979261877359,300.89473684210526,242.58495955825066
2022-04-13,278.0,260.0,278.0,,Resistance,278.0,114.0,164.0,-0.09437822066049262,300.89473684210526,242.58495955825066
2022-04-26,236.0,226.0,236.0,,Resistance,236.0,114.0,122.0,-0.2675134392514653,300.89473684210526,242.58495955825066
2022-04-28,264.0,226.0,264.0,,Resistance,264.0,114.0,150.0,-0.15208996019081686,300.89473684210526,242.58495955825066
2022-05-12,246.0,228.0,246.0,,Resistance,246.0,114.0,132.0,-0.2262907681583766,300.89473684210526,242.58495955825066
2022-05-18,248.0,230.0,248.0,,Resistance,248.0,114.0,134.0,-0.21804623393975883,300.89473684210526,242.58495955825066
2022-05-23,236.0,230.0,236.0,,Resistance,236.0,114.0,122.0,-0.2675134392514653,300.89473684210526,242.58495955825066
2022-05-25,242.0,232.0,242.0,,Resistance,242.0,114.0,128.0,-0.2427798365956121,300.89473684210526,242.58495955825066
